Account No,Customer Name,Phone,Credit Limit,Outstanding Balance,Salesman,Payment Terms,TRN
CN-00754,Union Interiors LLC,0519379750,,-,Rakesh,COD,157544707274597
CN-00755,Al Reem Real Estate Development,0555421774,10000,AED 5132.25,Anwar,30 days,153765173760390
CN-00756,Desert Builders LLC,0598091644,50000,24265.53,Khaled,30 days,189899433225905
CN-00757,Al Manara Real Estate Development,0545106741,25000,"3,968.42",Khaled,Cash,156673525166616
CN-00758,Gulf Construction Co,0539153430,10000,"29.668,97",Anwar,30 days,133888905351828
CN-00759,National Fit-out Co,0566803268,10000,26460.69,Anwar,60 days,184379387207955
CN-00760,Al Reem Fit-out Co,0529622092,50000,9144.91,Anwar,60 days,144387891325083
CN-00761,Al Manara Real Estate Development,0537699203,50000,AED 23146.07,Mahmoud,Cash,172603808130362
CN-00762,Falcon Fit-out Co,0530083846,50000,11956.19,Anwar,45 days,153219670287173
CN-00763,Oasis Maintenance Co,0514204536,10000,"37,018.56",Suresh,Cash,106725830382385
CN-00764,Union Fit-out Co,0560319067,100000,"57.499,18",Suresh,45 days,193455281587189
CN-00765,Modern Interiors LLC,0570860812,25000,35819.52,Anwar,30 days,140690305557315
CN-00766,Oasis MEP Services,0543975222,10000,45393.08,Mahmoud,Cash,168572747146931
CN-00767,Gulf Construction Co,0512302830,25000,AED 22659.24,Anwar,COD,158894317113731
CN-00768,Reliable Trading Est,0561099634,100000,4327.99,Anwar,COD,183285142597628
CN-00769,Union Construction Co,0556243914,,"49,054.86",Anwar,60 days,160316507636978
CN-00770,Al Manara Maintenance Co,0514728713,25000,"17.464,72",Anwar,90 days,
CN-00771,National Real Estate Development,0531842672,25000,36762.99,Joseph,45 days,149095970316145
CN-00772,Marina Trading Est,0571762515,50000,6592.29,Anwar,60 days,123459573409406
CN-00773,Reliable Interiors LLC,0596128204,25000,AED 20031.37,Mahmoud,Cash,188371678371824
CN-00774,Capital MEP Services,0582029270,25000,19528.76,Joseph,90 days,166523451589634
CN-00775,Al Reem MEP Services,0538936967,25000,"3,780.24",Mahmoud,30 days,181960700661605
CN-00776,Modern Construction Co,0586101398,,"7.179,37",Khaled,Cash,181353639964177
CN-00777,Reliable MEP Services,0577916864,50000,535.75,Anwar,45 days,
CN-00778,Gulf Real Estate Development,0591717871,50000,10520.83,Suresh,60 days,114112321185422
CN-00779,Reliable Contracting LLC,0556277522,,AED 39342.51,Anwar,30 days,198638208461945
CN-00780,Meraas Construction Co,0541521385,10000,15503.68,Anwar,60 days,150580634715940
CN-00781,Capital Engineering Consultants,0540502450,,"57,866.56",Anwar,30 days,171618500811623
CN-00782,Meraas Engineering Consultants,0525254173,10000,"49.835,09",Rakesh,COD,132281087926302
CN-00783,Union Trading Est,0547745878,50000,6544.74,Khaled,90 days,102055863110678
CN-00784,Al Manara Fit-out Co,0561042561,50000,39633.07,Khaled,90 days,146498971433782
CN-00785,National Real Estate Development,0527057891,100000,AED 420.13,Mahmoud,90 days,148974155468455
CN-00786,Emirates Builders LLC,0534727712,10000,37390.71,Suresh,Cash,118134960566265
CN-00787,Prime Engineering Consultants,0520686645,10000,"29,858.50",Joseph,30 days,162627367521950
CN-00788,Reliable Engineering Consultants,0522920852,,"50.668,84",Anwar,90 days,130082975393099
CN-00789,Capital MEP Services,0548909448,50000,49829.87,Rakesh,90 days,102572451241211
CN-00790,Pearl Builders LLC,0589069159,,53112.12,Mahmoud,45 days,172804486029675
CN-00791,Modern Construction Co,0534058970,25000,AED 29379.89,Joseph,45 days,188594504279921
CN-00792,Pearl MEP Services,0585413663,100000,36824.69,Mahmoud,45 days,137648494182021
CN-00793,Modern Maintenance Co,0543626717,25000,"45,889.87",Mahmoud,30 days,165619082896065
CN-00794,Prime Interiors LLC,0590740419,,"16.993,08",Khaled,60 days,112024868523838
CN-00795,Modern Contracting LLC,0513740915,,46751.10,Rakesh,COD,108780998028255
CN-00796,Union Engineering Consultants,0580965339,25000,58478.15,Mahmoud,60 days,111551429532485
CN-00797,Capital Maintenance Co,0556388680,10000,AED 4325.70,Suresh,90 days,173016546575248
CN-00798,Union Builders LLC,0511029157,25000,49241.26,Suresh,Cash,111297981433451
CN-00799,Modern Real Estate Development,0542521312,50000,"40,425.41",Joseph,60 days,119094731805893
CN-00800,Desert Interiors LLC,0572307811,,"28.450,77",Suresh,Cash,117403828028453
CN-00801,Gulf Maintenance Co,0542272755,100000,2613.24,Anwar,Cash,116106305448158
CN-00802,Union Builders LLC,0521813656,,26397.21,Khaled,30 days,152819856547456
CN-00803,Reliable Construction Co,0599026398,50000,AED 2246.85,Suresh,COD,167988196797824
CN-00804,Reliable MEP Services,0573657722,25000,25189.94,Suresh,Cash,154754651444037
CN-00805,Pearl Trading Est,0515830570,100000,"15,247.34",Suresh,45 days,195319936117754
CN-00806,Falcon Builders LLC,0566577673,100000,"38.110,61",Rakesh,90 days,191876809598509
CN-00807,Modern Builders LLC,0515535791,,29827.71,Rakesh,Cash,113400970374135
CN-00808,Gulf Builders LLC,0567445382,25000,8028.14,Anwar,60 days,160552834612433
CN-00809,Marina Interiors LLC,0532617039,50000,AED 2133.27,Joseph,45 days,153118213977099
CN-00810,Modern Real Estate Development,0513464498,50000,55135.13,Rakesh,90 days,
CN-00811,Al Reem Contracting LLC,0586117272,50000,"5,744.05",Rakesh,45 days,172726626935738
CN-00812,Pearl Contracting LLC,0543242714,50000,"23.314,32",Suresh,90 days,197705189632483
CN-00813,Oasis Engineering Consultants,0593726385,100000,40377.00,Mahmoud,45 days,167949874165003
CN-00814,Falcon Engineering Consultants,0553237097,100000,51630.38,Rakesh,60 days,132941121226335
CN-00815,Prime Construction Co,0550039267,25000,AED 34057.69,Mahmoud,COD,199809585003762
CN-00816,Falcon Trading Est,0537438184,25000,51995.68,Khaled,COD,180884551710060
CN-00817,Gulf Contracting LLC,0551497278,100000,"50,066.10",Mahmoud,45 days,199450043925668
CN-00818,Capital Engineering Consultants,0539041594,50000,"48.814,32",Suresh,COD,145055074082380
CN-00819,Al Reem Real Estate Development,0558627105,10000,41149.07,Suresh,COD,158662845880577
CN-00820,Al Manara Fit-out Co,0598927295,100000,13948.25,Rakesh,Cash,112402655630366
CN-00821,Al Manara Interiors LLC,0520162028,,AED 22784.76,Khaled,90 days,168966200732160
CN-00822,Al Manara MEP Services,0577901621,25000,23803.07,Suresh,30 days,137479470180616
CN-00823,Oasis Trading Est,0526259062,,"6,883.47",Khaled,90 days,137676542367063
CN-00824,Al Manara Contracting LLC,0523331691,100000,"11.968,08",Suresh,30 days,170082172088089
CN-00825,Marina Trading Est,0543522711,50000,12922.28,Anwar,45 days,152868890401853
CN-00826,Falcon Trading Est,0568089022,100000,17637.05,Suresh,45 days,119233282107710
CN-00827,Marina MEP Services,0580344330,25000,AED 2936.41,Suresh,45 days,192392068355290
CN-00828,Pearl Trading Est,0564751629,50000,34319.49,Suresh,Cash,163026787227780
CN-00829,Emirates Trading Est,0541434574,,"21,468.26",Mahmoud,90 days,102367458533678
CN-00830,Modern Real Estate Development,0547461412,50000,"42.541,61",Khaled,30 days,138304995910162
CN-00831,Gulf MEP Services,0552756625,25000,20236.27,Suresh,45 days,142662008680284
CN-00832,Desert MEP Services,0515553174,,51269.90,Anwar,30 days,104496968764334
CN-00833,Falcon Engineering Consultants,0523620577,25000,AED 21493.39,Mahmoud,Cash,173385609904566
CN-00834,Marina Engineering Consultants,0589930100,10000,1398.10,Joseph,30 days,175125685875734
CN-00835,Oasis Fit-out Co,0590695278,25000,"56,473.28",Khaled,COD,145144198285573
CN-00836,National Maintenance Co,0526821456,50000,"15.196,48",Mahmoud,30 days,118045952872463
CN-00837,Meraas Contracting LLC,0571468088,,28412.44,Suresh,60 days,138568541115107
CN-00838,Modern Trading Est,0575361386,10000,32827.22,Joseph,COD,177679954686850
CN-00839,Gulf Maintenance Co,0548546300,,AED 18336.47,Rakesh,45 days,174026557944184
CN-00840,Falcon Engineering Consultants,0584162214,10000,55993.99,Khaled,Cash,127722070865051
CN-00841,Reliable Engineering Consultants,0552144821,50000,"48,693.41",Joseph,60 days,106933774525763
CN-00842,Meraas Builders LLC,0555579195,50000,"25.346,74",Anwar,60 days,174945010234890
CN-00843,Emirates MEP Services,0593832240,25000,49987.70,Joseph,30 days,186351832876771
CN-00844,Oasis Real Estate Development,0596682520,50000,17859.96,Suresh,60 days,135736727487362
CN-00845,Falcon Construction Co,0552920284,50000,AED 1954.02,Mahmoud,Cash,198814776105237
CN-00846,Oasis Contracting LLC,0585528737,10000,21394.95,Anwar,COD,188872596824152
CN-00847,National Contracting LLC,0520848684,,"9,625.85",Mahmoud,COD,164138493213961
CN-00848,National Engineering Consultants,0589503655,10000,"42.042,51",Joseph,45 days,160635338907181
CN-00849,Modern Fit-out Co,0549865950,10000,11240.68,Mahmoud,90 days,101086359491259
CN-00850,Emirates Real Estate Development,0559669274,25000,17830.11,Rakesh,45 days,124381514197596
CN-00851,Meraas Builders LLC,0532281453,10000,AED 10701.39,Suresh,60 days,157547895527507
CN-00852,Gulf Interiors LLC,0569928234,50000,24694.39,Joseph,60 days,138615365112187
CN-00853,Modern Maintenance Co,0534789088,10000,"31,955.29",Suresh,45 days,169112119500659
CN-00854,Oasis Real Estate Development,0559861047,50000,"34.361,89",Rakesh,60 days,104449126761833
CN-00855,Pearl MEP Services,0591365947,,1039.29,Joseph,60 days,146142333228428
CN-00856,Oasis Contracting LLC,0526691662,50000,52198.77,Joseph,45 days,104096370052963
CN-00857,Modern Builders LLC,0514371263,,AED 41651.30,Joseph,90 days,174487434233737
CN-00858,Emirates Construction Co,0544731462,100000,4438.21,Mahmoud,Cash,162687990575921
CN-00859,Oasis Construction Co,0556124089,25000,"3,524.48",Anwar,90 days,193199663139083
CN-00860,Meraas Maintenance Co,0588134703,100000,"54.413,56",Anwar,60 days,172221934056906
CN-00861,Emirates Engineering Consultants,0599242627,10000,10826.63,Rakesh,45 days,139392006467710
CN-00862,Union Interiors LLC,0563830667,,14012.29,Anwar,60 days,134096172819816
CN-00863,Meraas Construction Co,0538488729,,AED 10458.37,Khaled,45 days,186916135862465
CN-00864,Reliable Maintenance Co,0530626322,50000,38638.40,Rakesh,COD,108877623285373
CN-00865,Emirates Trading Est,0510088183,50000,"35,582.95",Joseph,Cash,
CN-00866,National Maintenance Co,0587366151,10000,"287,22",Suresh,60 days,111457032771480
CN-00867,Falcon Interiors LLC,0543703710,100000,47906.23,Mahmoud,Cash,147595661442245
CN-00868,Gulf Real Estate Development,0545630267,50000,37728.48,Rakesh,45 days,117654411618100
CN-00869,Union Contracting LLC,0572287242,10000,AED 6625.85,Joseph,60 days,176430883695488
CN-00870,Al Manara Real Estate Development,0567216721,10000,51633.91,Anwar,30 days,126104313616833
CN-00871,Capital Engineering Consultants,0580768417,,"56,610.53",Anwar,30 days,164724589464091
CN-00872,Oasis Engineering Consultants,0571362755,,"6.233,11",Anwar,COD,
CN-00873,Pearl Contracting LLC,0511211976,25000,55964.88,Khaled,45 days,117482133326335
CN-00874,Modern Trading Est,0511517547,100000,23063.92,Joseph,60 days,180016697663591
CN-00875,Falcon Maintenance Co,0580119549,100000,AED 49486.17,Anwar,30 days,140615778043861
CN-00876,National Interiors LLC,0560472174,25000,44754.96,Khaled,90 days,173336187001423
CN-00877,Emirates Builders LLC,0540669193,10000,"27,733.76",Rakesh,Cash,160299736704111
CN-00878,Al Manara Maintenance Co,0530063740,25000,"2.030,67",Suresh,45 days,170539777616752
CN-00879,Modern Engineering Consultants,0515909970,,38108.10,Rakesh,Cash,197518325782934
CN-00880,Union Real Estate Development,0516753502,10000,4644.02,Rakesh,90 days,191094917996316
CN-00881,Pearl Fit-out Co,0552399871,10000,AED 266.32,Rakesh,30 days,149419082390157
CN-00882,Modern MEP Services,0577187432,25000,6262.80,Suresh,30 days,159378398418781
CN-00883,Falcon Maintenance Co,0561873155,25000,"43,899.58",Rakesh,60 days,146398259460820
CN-00884,Union Interiors LLC,0531567642,100000,"34.750,89",Joseph,90 days,174548001224750
CN-00885,Falcon Real Estate Development,0531330065,,33043.97,Anwar,45 days,189320835035041
CN-00886,Prime Fit-out Co,0588899717,100000,57726.84,Mahmoud,COD,
CN-00887,National Contracting LLC,0534596174,10000,AED 55249.37,Khaled,60 days,167773484022333
CN-00888,Modern Maintenance Co,0592508281,25000,5394.68,Suresh,COD,132247940181709
CN-00889,Falcon MEP Services,0529780376,,"22,385.11",Suresh,Cash,189724776005669
CN-00890,Al Manara Engineering Consultants,0515488978,,"42.425,63",Anwar,45 days,112392607860447
CN-00891,Emirates Trading Est,0544100837,,47513.94,Mahmoud,COD,175182906678380
CN-00892,Prime Fit-out Co,0555000173,10000,9546.56,Suresh,90 days,169586593539034
CN-00893,Reliable Fit-out Co,0541214961,50000,AED 8078.33,Mahmoud,90 days,127076726134498
CN-00894,Oasis Construction Co,0552931758,25000,20086.83,Anwar,30 days,134244918463705
CN-00895,Oasis Engineering Consultants,0515454782,25000,"1,987.29",Anwar,45 days,167126538746047
CN-00896,Meraas Trading Est,0553724343,50000,"40.272,20",Khaled,COD,189462115836558
CN-00897,Oasis Trading Est,0589423617,50000,25639.65,Khaled,90 days,161779460214581
CN-00898,Al Reem Maintenance Co,0510427576,,51044.80,Anwar,30 days,145955962167039
CN-00899,Oasis Engineering Consultants,0594525786,,AED 30359.17,Suresh,45 days,174895591845204
CN-00900,Modern Fit-out Co,0510668920,100000,28165.07,Joseph,30 days,111738437947921
CN-00901,Capital Fit-out Co,0530273918,,"13,627.13",Anwar,60 days,114568608420992
CN-00902,Oasis Construction Co,0564163548,50000,"36.866,23",Khaled,90 days,157295562388350
CN-00903,Capital Maintenance Co,0578448513,50000,41402.18,Joseph,60 days,139979706566596
CN-00904,Capital Construction Co,0561131020,25000,41681.85,Anwar,60 days,135548746550323
CN-00905,Emirates Construction Co,0583182527,10000,AED 35006.60,Mahmoud,Cash,130295712169688
CN-00906,Oasis Engineering Consultants,0586767949,10000,47897.18,Joseph,60 days,180025745038273
CN-00907,Gulf Maintenance Co,0581047365,,"36,495.56",Rakesh,90 days,135909730973323
CN-00908,Reliable Interiors LLC,0551294091,50000,"25.698,13",Rakesh,45 days,114603669770543
CN-00909,Al Reem Maintenance Co,0556604874,50000,59723.62,Mahmoud,COD,123528968780971
CN-00910,Capital Contracting LLC,0522516765,,15992.02,Anwar,COD,180761806636481
CN-00911,Meraas Construction Co,0520362163,50000,AED 8725.60,Joseph,45 days,
CN-00912,Emirates MEP Services,0580588209,100000,1216.46,Rakesh,COD,154881839569476
CN-00913,Marina Real Estate Development,0510612324,,"34,071.31",Suresh,COD,183425966491670
CN-00914,Gulf Trading Est,0536555459,25000,"7.829,82",Anwar,60 days,118009543933405
CN-00915,Desert Builders LLC,0598672365,,46691.13,Suresh,45 days,166415345196944
CN-00916,Pearl Maintenance Co,0565372282,,41163.26,Khaled,COD,146554063700960
CN-00917,Falcon Maintenance Co,0530698585,,AED 26859.56,Rakesh,60 days,
CN-00918,Prime Builders LLC,0547741316,50000,18695.10,Suresh,45 days,101999911163450
CN-00919,Capital Trading Est,0547134381,50000,"43,436.01",Rakesh,30 days,
CN-00920,Modern Construction Co,0513096557,50000,"53.935,01",Rakesh,45 days,193197760894960
CN-00921,Marina MEP Services,0557588195,10000,41563.97,Anwar,60 days,151479116800557
CN-00922,Reliable Interiors LLC,0580592699,25000,4155.28,Rakesh,90 days,141743100511647
CN-00923,Al Reem Interiors LLC,0564054304,,AED 45088.98,Suresh,Cash,186449301882760
CN-00924,Al Manara Trading Est,0573628934,,50105.81,Suresh,90 days,100108274421996
CN-00925,Capital Construction Co,0539113180,10000,"52,117.93",Anwar,90 days,187563134869846
CN-00926,Al Manara Trading Est,0588427993,,"26.850,84",Joseph,COD,167839131312940
CN-00927,Oasis Trading Est,0558497386,,30897.26,Anwar,30 days,184553074832930
CN-00928,Al Reem Real Estate Development,0524883106,100000,51522.69,Suresh,45 days,130531119492991
CN-00929,Pearl Engineering Consultants,0519049971,,AED 7520.42,Mahmoud,60 days,117509767220631
CN-00930,Desert Engineering Consultants,0565294532,25000,32486.58,Joseph,45 days,128856608795520
CN-00931,Desert Fit-out Co,0518665737,25000,"36,054.62",Mahmoud,Cash,175873103237928
CN-00932,Desert Trading Est,0539798045,,"53.119,97",Rakesh,45 days,189012618523904
CN-00933,Gulf Construction Co,0588981495,50000,38078.60,Joseph,COD,185451971545698
CN-00934,Union Builders LLC,0519773728,25000,9185.35,Suresh,90 days,104430836811977
CN-00935,Al Manara Builders LLC,0539745778,50000,AED 49910.62,Joseph,Cash,119304617888745
CN-00936,Modern Construction Co,0562172694,10000,30798.63,Anwar,30 days,178649225715809
CN-00937,Al Manara Trading Est,0580257571,100000,"21,313.47",Rakesh,60 days,166353873785603
CN-00938,Union Contracting LLC,0510759322,10000,"37.079,20",Rakesh,30 days,110255423973992
CN-00939,Falcon Builders LLC,0532305596,10000,22150.08,Khaled,90 days,172305645773820
CN-00940,Meraas Real Estate Development,0578687372,100000,6467.71,Suresh,COD,159094088832845
CN-00941,Capital Real Estate Development,0518576921,,AED 12495.93,Suresh,45 days,126374427631916
CN-00942,National Builders LLC,0532503673,25000,44205.59,Khaled,90 days,196000142264163
CN-00943,Oasis Trading Est,0535333359,25000,"20,312.95",Khaled,Cash,103384329429773
CN-00944,Reliable Interiors LLC,0563490747,10000,"2.794,81",Joseph,Cash,191929928459444
CN-00945,National Real Estate Development,0557269546,25000,31703.97,Anwar,90 days,193404019286390
CN-00946,Emirates Trading Est,0537264095,10000,32569.48,Anwar,Cash,177211087612062
CN-00947,Marina Fit-out Co,0513620135,25000,AED 31667.98,Suresh,90 days,173061321457618
CN-00948,National Builders LLC,0537091578,,55202.48,Mahmoud,60 days,179902534351720
CN-00949,Desert Construction Co,0535560847,100000,"40,821.95",Suresh,45 days,164907301585471
CN-00950,Desert Fit-out Co,0526476171,100000,"18.842,96",Joseph,60 days,114283879602018
CN-00951,Modern Interiors LLC,0592982013,25000,12756.09,Rakesh,30 days,160857580374470
CN-00952,Marina Contracting LLC,0523899503,25000,14251.35,Suresh,60 days,124615888624872
CN-00953,Capital Trading Est,0539552492,100000,AED 54524.83,Anwar,90 days,185030125411963
CN-00954,Al Reem Real Estate Development,0529169384,50000,48596.99,Mahmoud,Cash,160332745399418
CN-00955,Al Reem Interiors LLC,0596015860,100000,"31,180.53",Mahmoud,60 days,177423529561078
CN-00956,Gulf Interiors LLC,0515537058,10000,"8.240,70",Khaled,COD,196051457649023
CN-00957,Pearl Contracting LLC,0534715525,50000,10057.30,Khaled,30 days,172231227113603
CN-00958,Oasis Interiors LLC,0577191487,,37235.81,Rakesh,90 days,143556089172225
CN-00959,Capital MEP Services,0510863169,50000,AED 32619.81,Suresh,90 days,165579070230409
CN-00960,National Real Estate Development,0551105953,10000,20106.95,Joseph,Cash,137970449464779
CN-00961,Emirates Interiors LLC,0551943075,100000,"3,937.57",Suresh,45 days,191080425607975
CN-00962,Emirates MEP Services,0562249580,,"55.916,63",Mahmoud,COD,168066304501348
CN-00963,Reliable Maintenance Co,0561700686,25000,468.60,Suresh,30 days,167689446505906
CN-00964,Modern Trading Est,0563716770,50000,28055.78,Anwar,90 days,
CN-00965,Al Reem Real Estate Development,0546675017,100000,AED 41658.61,Rakesh,30 days,
CN-00966,Pearl Construction Co,0585894650,50000,44559.22,Rakesh,Cash,120526838181763
CN-00967,Al Reem Trading Est,0521180276,25000,"7,141.59",Rakesh,Cash,107119560281014
CN-00968,Al Manara Maintenance Co,0567424380,10000,"7.334,20",Mahmoud,30 days,178921768424816
CN-00969,Prime Builders LLC,0560167648,25000,42195.96,Khaled,45 days,184823884719015
CN-00970,Pearl Interiors LLC,0520418128,25000,32864.95,Anwar,30 days,175558968514064
CN-00971,Emirates MEP Services,0572868959,10000,AED 44588.93,Anwar,COD,117864890729154
CN-00972,Emirates Contracting LLC,0540460303,25000,11180.20,Anwar,60 days,184174843021295
CN-00973,Oasis Interiors LLC,0597637779,10000,"55,132.45",Khaled,COD,161211914022665
CN-00974,Prime Trading Est,0573182910,25000,"5.755,25",Rakesh,90 days,149656813580228
CN-00975,Gulf Builders LLC,0518800327,50000,26432.49,Anwar,Cash,136213939244042
CN-00976,Prime Construction Co,0549149328,100000,24968.94,Joseph,30 days,103321249153366
CN-00977,Modern Contracting LLC,0594255986,50000,AED 36313.42,Rakesh,60 days,112075690591776
CN-00978,Capital Fit-out Co,0542850116,100000,30712.19,Rakesh,COD,155814768894655
CN-00979,Gulf Fit-out Co,0581515912,100000,"2,087.79",Mahmoud,30 days,108575753465308
CN-00980,Emirates Fit-out Co,0580980709,50000,"51.800,85",Rakesh,Cash,184399880206694
CN-00981,Union Fit-out Co,0560910283,50000,52389.56,Mahmoud,45 days,186937427092796
CN-00982,Al Reem Construction Co,0532177781,50000,-,Joseph,60 days,138195691680843
CN-00983,Emirates Fit-out Co,0586158636,10000,AED 17538.56,Khaled,90 days,106044470314767
CN-00984,Pearl Construction Co,0578055451,100000,19197.35,Joseph,Cash,113146169240403
CN-00985,National Construction Co,0564526347,50000,"22,052.53",Anwar,90 days,133232208234142
CN-00986,Gulf Maintenance Co,0570899858,50000,"17.403,22",Anwar,30 days,194520916589865
CN-00987,Falcon Construction Co,0513820806,10000,53222.97,Anwar,45 days,115116503030696
CN-00988,Marina Engineering Consultants,0578981376,,39760.55,Rakesh,45 days,172417754903845
CN-00989,Al Reem Real Estate Development,0531580321,,AED 41835.84,Rakesh,Cash,105325443527495
CN-00990,Oasis Interiors LLC,0522748575,,1942.05,Rakesh,60 days,101742179754051
CN-00991,Al Manara Engineering Consultants,0542032289,100000,"29,571.87",Joseph,COD,109228179581405
CN-00992,Al Reem Engineering Consultants,0526664829,100000,"4.644,14",Mahmoud,30 days,155173968887791
CN-00993,Meraas Interiors LLC,0551963220,10000,29023.96,Rakesh,90 days,180480449133928
CN-00994,Modern Engineering Consultants,0521505152,25000,45650.12,Khaled,45 days,157039972952936
CN-00995,Gulf Trading Est,0596700679,25000,AED 31788.75,Anwar,30 days,149395751710354
CN-00996,Modern Real Estate Development,0536192677,50000,4358.57,Suresh,COD,140240438658836
CN-00997,Marina Engineering Consultants,0518255280,100000,"42,983.95",Khaled,30 days,121931238670116
CN-00998,Reliable Maintenance Co,0539910742,25000,"25.517,90",Anwar,30 days,138751224990841
CN-00999,Al Manara Builders LLC,0522323417,50000,30267.64,Mahmoud,90 days,170230949013369
CN-01000,Reliable MEP Services,0569931544,100000,33515.41,Joseph,60 days,170333376241862
CN-01001,Emirates MEP Services,0523104427,,AED 28443.73,Rakesh,COD,111377848665517
CN-01002,Pearl MEP Services,0514266128,10000,27499.78,Mahmoud,Cash,161881863886018
CN-01003,Marina Construction Co,0597617893,100000,"6,096.49",Anwar,COD,184205955005831
CN-01004,Prime Real Estate Development,0566517007,50000,"35.613,99",Mahmoud,Cash,117839448934457
CN-01005,Meraas Fit-out Co,0579785180,10000,41230.01,Anwar,30 days,171083834458423
CN-01006,Emirates Maintenance Co,0560033784,100000,24877.56,Rakesh,Cash,169206660295431
CN-01007,Pearl Contracting LLC,0574975392,,AED 57556.02,Anwar,30 days,145716026348362
CN-01008,Marina Contracting LLC,0533813192,,34100.56,Joseph,30 days,113949910155645
CN-01009,Modern Fit-out Co,0518553727,50000,"3,492.59",Joseph,90 days,148843835671673
CN-01010,Reliable Engineering Consultants,0527329980,50000,"23.189,19",Khaled,COD,101856784550353
CN-01011,Modern Interiors LLC,0522219539,10000,16029.10,Anwar,90 days,135982102382158
CN-01012,Emirates Interiors LLC,0555285534,10000,19742.84,Anwar,30 days,162202883057294
CN-01013,Falcon Contracting LLC,0591048778,50000,AED 33903.46,Suresh,COD,172817547728797
CN-01014,Reliable Contracting LLC,0544459868,50000,7571.89,Suresh,60 days,161863555314646
CN-01015,Prime Fit-out Co,0554550190,25000,"58,528.61",Khaled,60 days,135655406719969
CN-01016,Union MEP Services,0531463042,25000,"42.854,14",Khaled,Cash,153058770239367
CN-01017,Marina Engineering Consultants,0588488982,50000,33453.01,Khaled,COD,182401282080260
CN-01018,Capital Engineering Consultants,0529950225,,51356.56,Khaled,Cash,167076749408741
CN-01019,Meraas Real Estate Development,0543220300,10000,AED 48810.04,Rakesh,30 days,190106957233470
CN-01020,Reliable Maintenance Co,0579683363,10000,54863.44,Suresh,Cash,186206958667173
CN-01021,Union Fit-out Co,0521349179,100000,"53,874.99",Suresh,60 days,103349245720874
CN-01022,Desert Real Estate Development,0579798167,50000,"44.356,06",Joseph,45 days,
CN-01023,Desert MEP Services,0550768942,100000,58501.47,Rakesh,COD,157148438543470
CN-01024,Pearl Engineering Consultants,0595721050,10000,23801.62,Joseph,90 days,109521949501101
CN-01025,Oasis Real Estate Development,0517167835,25000,AED 20664.23,Suresh,Cash,153997823857256
CN-01026,Falcon Trading Est,0551995436,50000,40176.60,Mahmoud,Cash,191700876518193
CN-01027,Modern Fit-out Co,0533142883,10000,628.33,Rakesh,Cash,172282813274937
CN-01028,National Builders LLC,0588887319,,"25.192,42",Joseph,90 days,170796525392421
CN-01029,Oasis Contracting LLC,0549277212,50000,16676.07,Mahmoud,90 days,185578143258896
CN-01030,Desert Maintenance Co,0515854035,100000,48551.47,Khaled,30 days,118160705151166
CN-01031,Falcon Engineering Consultants,0593673414,100000,AED 25231.49,Rakesh,90 days,189972375429031
CN-01032,Falcon Builders LLC,0553657486,25000,34447.74,Rakesh,60 days,114930912060267
CN-01033,Reliable Real Estate Development,0564708637,100000,"45,447.79",Anwar,30 days,103256481257841
CN-01034,Capital Interiors LLC,0537981436,10000,"51.339,32",Suresh,90 days,151259372512854
CN-01035,Al Reem Interiors LLC,0573686441,,5171.42,Khaled,60 days,157736344852839
CN-01036,Gulf Trading Est,0526344651,50000,37214.19,Mahmoud,COD,110369961163918
CN-01037,Falcon MEP Services,0551167579,50000,AED 40154.14,Khaled,Cash,116139337289114
CN-01038,Modern Builders LLC,0524199465,100000,58133.09,Khaled,Cash,125182003015866
CN-01039,Gulf Engineering Consultants,0576301051,50000,"51,419.66",Suresh,90 days,193585469820366
CN-01040,Al Manara Trading Est,0563274249,25000,"34.669,68",Anwar,90 days,
CN-01041,Prime Builders LLC,0588360606,10000,27226.03,Rakesh,Cash,185885456912785
CN-01042,Prime Maintenance Co,0523056126,50000,34252.50,Anwar,Cash,193146122313157
CN-01043,Meraas Engineering Consultants,0598145645,10000,AED 18145.57,Anwar,COD,124141885181744
CN-01044,Pearl Real Estate Development,0559128330,100000,2073.03,Rakesh,60 days,173594861725681
CN-01045,Pearl Real Estate Development,0590942080,10000,"39,691.57",Rakesh,60 days,
CN-01046,Al Reem Construction Co,0512235227,10000,"37.719,54",Suresh,Cash,189401918333785
CN-01047,Modern Construction Co,0517610056,50000,58267.40,Suresh,90 days,174753691928450
CN-01048,Gulf Construction Co,0553053943,100000,16364.94,Suresh,COD,169333906727575
CN-01049,Pearl Construction Co,0580476964,100000,AED 9026.70,Suresh,90 days,199079574570267
CN-01050,Desert Real Estate Development,0589421828,50000,2002.23,Joseph,Cash,
CN-01051,Oasis Fit-out Co,0542917259,50000,"16,738.76",Khaled,45 days,
CN-01052,Modern MEP Services,0588282265,25000,"512,17",Anwar,60 days,119113831119059
CN-01053,Gulf Real Estate Development,0598957820,50000,50326.97,Anwar,Cash,174244290547694
CN-01054,Meraas Trading Est,0539382700,25000,20569.89,Anwar,90 days,109427925922484
CN-01055,Falcon Real Estate Development,0592962790,100000,AED 54900.11,Suresh,45 days,191401046021559
CN-01056,Union Construction Co,0516723475,,36041.36,Rakesh,30 days,147405742943572
CN-01057,Al Reem Maintenance Co,0542932343,50000,"22,034.82",Mahmoud,Cash,175847944793944
