namePrimary,nameSecondary,sku,barcode,categoryCode,taxGroup,trackingType,cost,sellPrice,baseUnit,brand,partNumber,reorderLevel,valuationMethod,wholesalePrice
DeWalt Wall Primer 20 Gauge,برايمر 20 Gauge,HW-101274,6213145735346,CAT046,,batch,7.109,10.367,Pieces,DeWalt,,20,wac,8.365
Karcher Tool Kit 9L Pieces,طقم عدة 9L,HW-101275,6978311788508,CAT016,,none,4.009,6.209,PCS,Karcher,KAR-41122,25,wac,4.786
Black+Decker Drawer Slide Medium,تجهيزات خزائن Medium,HW-101276,6749939612127,CAT078,,none,23.505,29.490,PCS,Black+Decker,BLA-28825,50,wac,25.398
Truper PVC Conduit Pipe 10mm.,مواسير كهرباء 10mm,HW-101277,6622751087862,CAT041,,none,206.555,272.901,PCS,,TRU-20833,5,wac,224.235
Crown Galvanized Metal Sheet Medium,صفائح معدنية Medium,HW-101278,6372501815465,CAT097,,none,18.240,22.557,PCS,Crown,,15,wac,20.943
Stanley Wheelbarrow 8mm,عربات يدوية 8mm,HW-101279,6744396033555,CAT073,,none,3.255,4.630,PC,Stanley,STA-68951,15,fifo,3.620
Skil PPR Pipe 22 Gauge,مواسير بي بي آر 22 Gauge,HW-101280,6993071025651,CAT031,,none,276.403,KD 386.969,PCS,Skil,,25,fifo,302.952
Sata Screwdriver Set 1kg,مفكات 1kg,HW-101281,6458682702912,CAT011,,none,11.209,14.789,pc,Sata,SAT-40918,20,wac,12.941
Black+Decker Copper Elbow 5kg,وصلات نحاس 5kg,HW-101282,6403209199095,CAT030,,none,5.888,7.900,PCS,Black+Decker,BLA-40353,50,wac,6.841
Gulf Star Machine Screw 16 Gauge,براغي آلات 16 Gauge,HW-101283,6543007627122,CAT020,,none,10.860,13.207,PCS,Gulf Star,,50,wac,12.185
Black+Decker Emulsion Paint Small,دهان مائي Small,HW-101284,6207742320908,CAT044,,batch,23.350,30.741,PCS,Black+Decker,BLA-7619,25,wac,25.945
Ridgid Combination Wrench 6mm,مفاتيح ربط 6mm,HW-101285,6840191006647,CAT010,,none,14.147,19.693,pcs,Ridgid,RID-81128,20,wac,16.685
Makita Wall Switch 20L,,HW-101286,6189865930056,CAT038,,none,19.907,30.370,PCS,,MAK-92505,50,wac,22.929
Gulf Star Safety Helmet 20mm,خوذات 20mm,HW-101287,6348486155707,CAT051,,none,12.411,KWD 14.937,PCS,Gulf Star,GUL-28015,15,fifo,13.517
Ingco PVC Conduit Pipe 20L,مواسير كهرباء 20L,HW-101288,6999493516971,CAT041,,none,23.679,34.779,PCS,Ingco,ING-66416,15,fifo,26.160
Hitachi PPR Pipe 10kg  ,مواسير بي بي آر 10kg,HW-101289,6990313613803,CAT031,,none,16.279,23.313,Pieces,,HIT-40870,25,wac,19.101
Tolsen Flood Light 10mm,إنارة 10mm,HW-101290,6572239141405,CAT040,,none,5.727,8.201,PCS,,TOL-97746,25,fifo,6.404
Hilti Hex Bolt 3/8 inch,صواميل وبراغي 3/8 inch,HW-101291,6950188735827,CAT022,,none,20.177,30.982,PCS,Hilti,HIL-69257,5,wac,22.896
metabo spray paint can 50kg,,HW-101292,6151198623545,CAT047,,batch,KWD 20.037,30.368,PCS,Metabo,MET-71639,10,wac,22.628
Black+Decker Wall Primer 20 Gauge,برايمر 20 Gauge,HW-101293,6434642316615,CAT046,,batch,20.920,26.950,PCS,Black+Decker,BLA-65216,10,wac,23.375
Gulf Star Door Handle 1kg,مقابض أبواب 1kg,HW-101294,6475817892201,CAT077,,none,23.983,32.229,pc,Gulf Star,GUL-66037,10,fifo,28.034
Bosch Wheelbarrow 1L  ,عربات يدوية 1L,HW-101295,6209656629949,CAT073,,none,16.362,23.038,PCS,Bosch,,50,wac,18.438
Tolsen PVC Pipe 25kg,مواسير بي في سي 25kg,HW-101296,6616468427427,CAT029,,none,KD 4.072,4.823,PCS,Tolsen,TOL-32735,10,wac,4.841
Hilti Pop Rivet 9L,مسامير برشام 9L,HW-101297,6991026570854,CAT026,,none,15.695,24.072,Nos,Hilti,,10,wac,18.450
Hilti Cutting Disc 25kg,أقراص قطع 25kg,HW-101298,6412317638562,CAT066,,none,16.718,24.276,Nos,Hilti,HIL-54691,20,fifo,18.831
Ingco  Safety Goggles 18L,نظارات واقية 18L,HW-101299,6908550880864,CAT054,,none,1.822,2.394,Nos,Ingco,ING-99842,20,wac,2.143
Hilti Epoxy Adhesive 10mm,إيبوكسي 10mm,HW-101300,6974465404500,CAT060,,batch,23.453,29.218,PCS,Hilti,HIL-41902,25,fifo,26.315
"Al-Fanar Garden Cart 25kg,",عربات حديقة 25kg,HW-101301,6176901587791,CAT084,,none,17.783,27.070,PCS,Al-Fanar,AL--85256,50,wac,21.236
Hilti Super Glue 5kg,لاصق سريع 5kg,HW-101302,6486319835299,CAT061,,batch,15.820,21.127,PCS,Hilti,HIL-51663,20,wac,18.436
 Stanley Emulsion Paint 750W ,دهان مائي 750W,HW-101303,6895550850470,CAT044,,batch,5.063,7.332,PCS,Stanley,STA-85171,20,wac,5.698
Gulf Star Epoxy Adhesive 650W,,HW-101304,6169031970240,CAT060,,batch,24.477,34.449,PCS,Gulf Star,GUL-29676,50,wac,29.142
Metabo Spirit Level 20 Gauge,ميزان مياه 20 Gauge,HW-101305,6705111107060,CAT087,,none,57.193,74.428,PCS,Metabo,MET-86584,50,fifo,KWD 67.048
Makita Wall Primer Large,برايمر Large,HW-101306,6366470170061,CAT046,,batch,1.142,1.619,pc,Makita,MAK-44785,'50,fifo,1.359
Black+Decker Hex Nut 50kg,صواميل وبراغي 50kg,HW-101307,6444972118079,CAT022,,none,7.558,9.881,Nos,Black+Decker,BLA-39545,5,wac,8.984
Hilti Wire Brush 25kg,فرش سلك 25kg,HW-101308,6528370029276,CAT067,,none,6.782,9.829,PCS,Hilti,HIL-22168,15,wac,7.478
Crown PPR Pipe 1L,,HW-101309,6128034674117,CAT031,,none,48.706,72.231,PCS,Crown,CRO-90250,25,wac,53.559
Truper Cutting Disc 25kg,أقراص قطع 25kg,HW-101310,6432356843634,CAT066,,none,12.367,17.306,PCS,Truper,TRU-70459,20,fifo,14.134
Karcher  Welding Gloves Small,,HW-101311,6774124216801,CAT096,,none,KD 16.663,22.465,PCS,Karcher,KAR-23581,5,wac,18.937
Tolsen Spray Paint Can 1200W,بخاخ دهان 1200W,HW-101312,6974667191500,CAT047,,batch,21.217,27.214,PCS,Tolsen,TOL-41440,20,wac,24.302
CROWN PVC CONDUIT PIPE 22 GAUGE,مواسير كهرباء 22 Gauge,HW-101313,6838463863974,CAT041,,none,20.187,KWD 24.697,PCS,Crown,CRO-96248,25,fifo,22.869
Metabo Extension Cord 1200W,وصلات كهرباء 1200W,HW-101314,6900448092638,CAT042,,none,24.599,33.008,PCS,,MET-46635,20,fifo,26.887
Ingco Door Handle 1500W,مقابض أبواب 1500W,HW-101315,6745164093066,CAT077,,none,22.748,34.420,PCS,Ingco,,50,wac,24.781
Al-Fanar Paint Thinner 1kg,تنر 1kg,HW-101316,6886367030062,CAT049,,batch,7.129,9.508,pc,Al-Fanar,AL--66279,5,fifo,8.527
Ridgid Extension Cord 1 inch,وصلات كهرباء 1 inch,HW-101317,6724699416529,CAT042,,none,4.399,5.629,PCS,Ridgid,RID-34273,20,wac,4.785
Metabo Cement Bag 20 Gauge,أسمنت وملاط 20 Gauge,HW-101318,6363893489575,CAT069,,none,16.535,22.388,PCS,Metabo,MET-98891,15,wac,19.354
SKIL STEEL TOE SAFETY BOOTS 900W,أحذية سلامة 900W,HW-101319,6855904775515,CAT053,,none,KWD 21.143,KD 31.925,PCS,Skil,SKI-71981,5,wac,24.439
METABO THERMAL INSULATION SHEET 18L,عزل 18L,HW-101320,6922030153180,CAT070,,none,13.597,KD 19.952,PCS,Metabo,MET-87238,5,wac,15.994
"Sata  Spring Washer Large,",حلقات Large,HW-101321,6740551340356,CAT023,,none,22.961,35.550,PCS,Sata,SAT-55594,25,wac,27.128
Sata Hand Saw 18L,مناشير يدوية 18L,HW-101322,6709691153435,CAT014,,none,22.834,33.388,PCS,Sata,SAT-95913,25,fifo,25.804
Bosch Thermal Insulation Sheet 18 Gauge,عزل 18 Gauge,HW-101323,6647573785690,CAT070,,none,7.967,9.918,PCS,Bosch,BOS-97021,10,wac,9.022
Makita Door Hinge 3/8 inch,مفصلات أبواب 3/8 inch,HW-101324,6246498381168,CAT075,,none,10.768,15.482,PCS,Makita,MAK-62277,5,wac,12.797
Stanley Wire Brush Large,فرش سلك Large,HW-101325,6808976428758,CAT067,,none,21.797,31.183,PCS,Stanley,STA-95787,25,wac,25.829
Stanley Pipe Sealant Medium,شريط لحام وسدادات Medium,HW-101326,6285550503424,CAT035,,none,16.643,KD 21.988,PCS,Stanley,STA-76639,25,wac,18.840
Gulf Star Long Nose Pliers 5kg,زرادية 5kg,HW-101327,6557340982686,CAT012,,none,113.627,173.455,PCS,Gulf Star,GUL-26856,10,wac,KWD 133.696
Al-Fanar Combination Pliers 32mm,زرادية 32mm,HW-101328,6303810741835,CAT012,,none,146.187,177.668,pcs,Al-Fanar,,15,wac,172.257
Hitachi Welding Electrode XL,أسياخ لحام XL,HW-101329,6118406808508,CAT095,,none,KWD 159.066,KD 202.671,Pieces,Hitachi,HIT-71012,50,wac,174.645
Metabo Door Lock 1kg,أقفال 1kg,HW-101330,6170920284233,CAT076,,none,KD 10.401,KD 14.500,PCS,Metabo,MET-86896,20,wac,11.600
Sata Tool Kit 4L Pieces,طقم عدة 4L,HW-101331,6958404514600,CAT016,,none,KD 23.862,29.623,Pieces,Sata,SAT-28725,15,wac,27.668
Crown Spirit Level 1L,ميزان مياه 1L,HW-101332,6279755101991,CAT087,,none,24.308,KWD 30.580,PCS,Crown,CRO-31465,20,wac,27.013
Hilti Construction Adhesive 4L,لاصق إنشائي 4L,HW-101333,6680206935950,CAT059,,batch,4.230,5.008,PCS,Hilti,HIL-11131,25,wac,4.850
Yato Wall Primer 16 Gauge,برايمر 16 Gauge,HW-101334,6677451329649,CAT046,,batch,18.838,26.484,pcs,Yato,,15,wac,20.923
Al-Fanar PVC Conduit Pipe XL,,HW-101335,6893124275990,CAT041,,none,5.442,7.748,Pieces,Al-Fanar,AL--52320,25,wac,6.429
Karcher Aluminium Ladder Large,سلالم ألمنيوم Large,HW-101336,6917231326409,CAT091,,none,12.594,17.335,pcs,Karcher,KAR-83982,25,wac,13.924
 Sata Tape Measure 3/4 inch ,أشرطة قياس 3/4 inch,HW-101337,6529631782856,CAT086,,none,KWD 12.535,KWD 18.671,pc,Sata,SAT-13204,25,wac,13.630
Truper PVC Conduit Pipe 1/2 inch,مواسير كهرباء 1/2 inch,HW-101338,6214159583425,CAT041,,none,0.610,0.888,PCS,Truper,TRU-79853,15,wac,0.731
Bosch Welding Electrode 50mm,أسياخ لحام 50mm,HW-101339,6983120805743,CAT095,,none,77.520,96.650,Pieces,Bosch,BOS-66843,50,wac,91.633
Stanley Grinding Disc 3/8 inch.,أقراص جلخ 3/8 inch,HW-101340,6940315775266,CAT065,,none,22.748,32.037,PCS,Stanley,,25,fifo,25.202
Karcher Safety Goggles 1/2 inch,نظارات واقية 1/2 inch,HW-101341,6188690763835,CAT054,,none,19.974,28.900,PCS,Karcher,KAR-79611,15,wac,22.285
Makita ARC Welding Machine 1200W,ماكينات لحام 1200W,HW-101342,6758462237029,CAT008,,none,18.189,27.815,PCS,Makita,MAK-87385,10,wac,19.658
"Metabo Mini Grinder Small,",صنفرة زاوية Small,HW-101343,6627958234035,CAT003,,none,22.734,30.429,PCS,Metabo,MET-22400,'10,wac,24.708
Hitachi Tape Measure 20mm,أشرطة قياس 20mm,HW-101344,6391657841427,CAT086,,none,5.658,8.441,PCS,Hitachi,,5,wac,6.612
Gulf Star Paint Brush Medium,فرش ورولات Medium,HW-101345,6754697367019,CAT048,,none,20.662,KWD 30.132,PCS,Gulf Star,,25,wac,24.577
 Makita Pruning Shears Small ,مقصات تقليم Small,HW-101346,6242678700101,CAT083,,none,4.082,6.031,PCS,Makita,MAK-52065,50,wac,4.470
Yato Cutting Disc Medium.,,HW-101347,6327621310717,CAT066,,none,23.052,28.554,PCS,Yato,YAT-69111,5,wac,25.625
Ridgid Power Socket 5kg,مفاتيح وأفياش 5kg,HW-101348,6168726182843,CAT038,,none,18.788,24.480,PCS,Ridgid,RID-2291,20,wac,20.641
Ingco Inverter Generator 25mm,مولدات كهرباء 25mm,HW-101349,6434136092687,CAT007,,none,20.491,24.741,PCS,Ingco,ING-10139,10,wac,23.836
Black+Decker Hand Saw 50kg,,HW-101350,6214591814580,CAT014,,none,12.388,17.899,PCS,Black+Decker,BLA-43464,15,wac,14.454
Total LED Bulb 12mm,إنارة 12mm,HW-101351,6905858336648,CAT040,,none,7.721,10.525,PCS,Total,TOT-79075,15,wac,8.433
Gulf Star Hand Saw 50mm,مناشير يدوية 50mm,HW-101352,6849894605967,CAT014,,none,9.247,14.299,PCS,Gulf Star,GUL-23543,50,wac,11.070
Skil PVC Conduit Pipe 4L,,HW-101353,6562121829023,CAT041,,none,257.466,386.313,PCS,Skil,SKI-96533,50,wac,294.612
DeWalt Garden Cart 22 Gauge,,HW-101354,6942192094660,CAT084,,none,14.110,20.880,PCS,DeWalt,DEW-84028,15,wac,16.048
Ingco Wood Screw 4L,براغي خشب 4L,HW-101355,6889280528721,CAT019,,none,4.439,5.733,PCS,Ingco,ING-23490,10,wac,5.231
Yato Silicone Sealant Tube 20L  ,سيليكون 20L,HW-101356,6164537123681,CAT058,,batch,16.896,25.951,PCS,Yato,YAT-28676,50,wac,18.335
Hilti Pruning Shears 18 Gauge,مقصات تقليم 18 Gauge,HW-101357,6592309598839,CAT083,,none,20.455,KD 27.148,pcs,Hilti,HIL-77494,5,fifo,KWD 23.355
Metabo Paint Roller 20mm,فرش ورولات 20mm,HW-101358,6994409414738,CAT048,,none,KD 21.787,KWD 28.822,PCS,Metabo,MET-83380,50,wac,25.997
Metabo Hammer Drill 20L  ,مثاقب 20L,HW-101359,6343467486226,CAT002,,none,3.177,KD 4.134,PCS,Metabo,,'50,fifo,3.770
Tolsen Flexible Wire 25mm,كابلات وأسلاك 25mm,HW-101360,6848263475993,CAT037,,none,17.626,26.763,PCS,Tolsen,TOL-65866,5,fifo,KD 19.882
Karcher Safety Goggles 40mm,نظارات واقية 40mm,HW-101361,6703968014767,CAT054,,none,117.067,154.485,PCS,Karcher,KAR-63223,15,fifo,128.693
Bosch Sledge Hammer 50kg,مطارق 50kg,HW-101362,6990630517409,CAT013,,none,13.172,KD 16.592,pcs,Bosch,BOS-42881,50,wac,14.310
Makita Circular Saw 1kg,مناشير دائرية 1kg,HW-101363,6191003032482,CAT004,,none,8.071,10.934,PCS,,,25,fifo,9.624
Metabo Door Hinge 1/2 inch,مفصلات أبواب 1/2 inch,HW-101364,6705054351274,CAT075,,none,8.544,10.251,PCS,Metabo,,50,fifo,10.102
Metabo Copper Tee 450W,وصلات نحاس 450W,HW-101365,6279967602216,CAT030,,none,12.798,18.796,PCS,Metabo,MET-21788,50,wac,14.088
Hilti Aluminium Ladder 900W,سلالم ألمنيوم 900W,HW-101366,6282935366921,CAT091,,none,14.270,21.594,Nos,Hilti,HIL-94715,15,wac,16.592
KARCHER FLAT SCREWDRIVER 3/8 INCH,مفكات 3/8 inch,HW-101367,6448077765036,CAT011,,none,23.222,34.352,PCS,Karcher,KAR-15981,20,fifo,27.186
Gulf Star Self Tapping Screw 1/4 inch,براغي ذاتية التنصيت 1/4 inch,HW-101368,6475507724169,CAT021,,none,9.541,13.220,PCS,Gulf Star,GUL-57232,25,wac,11.248
Makita Jigsaw 1/4 inch,مناشير منحنية 1/4 inch,HW-101369,6230345590047,CAT005,,none,15.190,23.523,PCS,Makita,MAK-98582,5,fifo,16.938
Black+Decker Work Gloves 750W,قفازات 750W,HW-101370,6382594462464,CAT052,,none,16.582,22.302,PCS,Black+Decker,,25,fifo,19.541
Tolsen Dust Mask Respirator Medium,أقنعة تنفس Medium,HW-101371,6509364589530,CAT056,,none,5.319,6.320,PCS,Tolsen,TOL-89497,5,wac,KD 6.211
Truper Electric Planer 24 Gauge,مسويات وروترات 24 Gauge,HW-101372,6970943069992,CAT006,,none,24.589,32.147,Pieces,Truper,TRU-38983,20,wac,26.850
TOTAL CIRCULAR SAW MEDIUM,مناشير دائرية Medium,HW-101373,6801044207478,CAT004,,none,20.033,28.093,Pieces,Total,TOT-1227,50,wac,22.756
Metabo Pop Rivet 1L,مسامير برشام 1L,HW-101374,6843569018929,CAT026,,none,20.547,30.241,PCS,,MET-86217,5,fifo,24.492
Gulf Star Wall Primer 1L,,HW-101375,6472353501069,CAT046,,batch,191.585,264.179,PCS,Gulf Star,GUL-5424,10,wac,212.326
Al-Fanar Spring Washer 650W,,HW-101376,6497049047880,CAT023,,none,KWD 11.061,17.011,PCS,Al-Fanar,AL--99596,15,wac,12.547
Total Laser Level 10mm,,HW-101377,6500389980163,CAT088,,none,9.465,13.162,Nos,Total,TOT-57930,10,fifo,10.452
DeWalt Extension Cord 1L,وصلات كهرباء 1L,HW-101378,6406451746265,CAT042,,none,8.401,10.566,PCS,DeWalt,DEW-68940,50,wac,9.332
Yato PU Foam Filler 50kg,رغوة عازلة 50kg,HW-101379,6494518965142,CAT062,,batch,1.882,2.243,PCS,Yato,YAT-40065,15,wac,2.091
Yato Galvanized Metal Sheet 1200W  ,صفائح معدنية 1200W,HW-101380,6684190586784,CAT097,,none,10.191,13.396,PCS,,YAT-55236,25,fifo,12.171
Metabo PPR Pipe 12mm,مواسير بي بي آر 12mm,HW-101381,6175995457483,CAT031,,none,10.157,12.470,PCS,Metabo,,'5,fifo,11.754
Tolsen Ball Valve 1Kg,صمامات 1kg,HW-101382,6447986319746,CAT032,,none,6.048,8.164,PCS,Tolsen,TOL-13807,5,wac,6.688
Hilti Combination Pliers 450W,زرادية 450W,HW-101383,6848484131117,CAT012,,none,10.607,12.643,PCS,Hilti,HIL-81865,50,wac,12.048
Crown Drawer Slide 3/4 inch,تجهيزات خزائن 3/4 inch,HW-101384,6944741381535,CAT078,,none,4.482,5.528,Pieces,Crown,CRO-37207,'10,wac,5.018
DeWalt Wood Router Large,مسويات وروترات Large,HW-101385,6142212375659,CAT006,,none,18.999,25.140,PCS,DeWalt,DEW-21897,5,fifo,20.713
Ridgid Screwdriver Set 1200W,,HW-101386,6548948913100,CAT011,,none,18.681,26.282,PCS,Ridgid,RID-81586,50,wac,20.555
Tolsen Pop Rivet 16 Gauge,,HW-101387,6222495311032,CAT026,,none,KWD 9.978,12.222,PCS,Tolsen,TOL-26191,15,fifo,11.277
Hitachi Paint Thinner 6mm,تنر 6mm,HW-101388,6884619179350,CAT049,,batch,18.924,25.232,pcs,Hitachi,HIT-85990,25,wac,KD 21.981
Total Tool Kit Medium Pieces,طقم عدة Medium,HW-101389,6104737333743,CAT016,,none,4.626,5.926,pc,Total,,50,fifo,5.545
DeWalt Kitchen Mixer 16mm,حنفيات وخلاطات 16mm,HW-101390,6347047679819,CAT033,,none,13.023,19.666,PCS,DeWalt,DEW-64653,20,wac,14.373
Sata Locking Pliers 1L,زرادية 1L,HW-101391,6184199836271,CAT012,,none,2.449,3.180,PCS,Sata,SAT-29956,15,wac,2.858
Yato Tile Adhesive Bag 25mm,لاصق بلاط 25mm,HW-101392,6543392427426,CAT071,,none,19.303,29.707,PCS,Yato,,15,wac,22.490
Tolsen Garden Shovel Large,مجارف Large,HW-101393,6772523249035,CAT081,,none,236.617,KWD 345.334,PC,Tolsen,TOL-27257,25,fifo,267.433
Truper Wood Screw Medium,براغي خشب Medium,HW-101394,6175612478281,CAT019,,none,8.001,10.942,PCS,Truper,TRU-79665,5,wac,9.464
Stanley Flat Screwdriver 750W,مفكات 750W,HW-101395,6586593057522,CAT011,,none,2.108,2.602,PCS,Stanley,STA-11334,20,fifo,2.476
Hitachi Welding Mask XL,ملحقات لحام XL,HW-101396,6202304268170,CAT096,,none,14.478,KWD 18.434,PCS,Hitachi,,15,fifo,KWD 17.305
Total Safety Helmet 10mm,خوذات 10mm,HW-101397,6836201779220,CAT051,,none,1.039,1.544,Nos,Total,,10,wac,1.229
Makita PPR Pipe 24 Gauge,مواسير بي بي آر 24 Gauge,HW-101398,6685186257129,CAT031,,none,3.055,KWD 4.441,pcs,Makita,MAK-42157,50,wac,3.428
Hilti Safety Goggles 18L,نظارات واقية 18L,HW-101399,6923273448016,CAT054,,none,2.677,3.192,pcs,Hilti,HIL-39888,15,wac,3.051
Ingco Cabinet Hinge 12mm,تجهيزات خزائن 12mm,HW-101400,6114166140504,CAT078,,none,4.808,5.692,PCS,Ingco,ING-75189,5,fifo,5.525
Stanley Laser Level 1/4 inch,ميزان ليزر 1/4 inch,HW-101401,6961315921098,CAT088,,none,8.208,10.102,Pieces,Stanley,STA-84883,25,wac,9.324
Ridgid Safety Helmet 25kg,خوذات 25kg,HW-101402,6261521564482,CAT051,,none,2.538,3.623,pc,Ridgid,,20,wac,2.799
Ingco Safety Helmet 25kg,خوذات 25kg,HW-101403,6755304329019,CAT051,,none,10.472,15.927,PCS,Ingco,ING-82389,25,wac,11.911
Al-Fanar Angle Grinder 450W,صنفرة زاوية 450W,HW-101404,6252719935926,CAT003,,none,14.074,18.439,pcs,Al-Fanar,,15,wac,15.952
Ingco MIG Welder 900W.,ماكينات لحام 900W,HW-101405,6268586792985,CAT008,,none,15.896,23.825,PCS,Ingco,ING-72297,'20,fifo,KD 17.947
Total Plastic Water Tank 20L,خزانات مياه 20L,HW-101406,6446198361264,CAT034,,none,18.947,29.273,pc,Total,TOT-14919,20,wac,21.222
DeWalt PVC Pipe XL,مواسير بي في سي XL,HW-101407,6529731209229,CAT029,,none,0.778,0.932,PCS,DeWalt,DEW-38154,15,fifo,0.921
DeWalt Copper Tee Small,وصلات نحاس Small,HW-101408,6762787118425,CAT030,,none,5.710,7.126,pc,DeWalt,DEW-68997,'5,fifo,6.494
Tolsen Cutting Disc 40mm,,HW-101409,6179672455015,CAT066,,none,7.691,10.829,PCS,Tolsen,TOL-77687,10,wac,8.942
Hitachi PVC Conduit Pipe 50kg,مواسير كهرباء 50kg,HW-101410,6866365733639,CAT041,,none,20.295,26.189,PCS,,HIT-60711,50,fifo,24.241
Metabo Combination Pliers 32mm.,زرادية 32mm,HW-101411,6177933540408,CAT012,,none,0.232,0.278,PCS,Metabo,,25,wac,0.261
MAKITA  TEFLON TAPE 2000W,شريط لحام وسدادات 2000W,HW-101412,6260853994421,CAT035,,none,7.887,10.130,PCS,Makita,MAK-31965,15,fifo,9.256
Tolsen Welding Mask Large,ملحقات لحام Large,HW-101413,6687678063990,CAT096,,none,10.374,15.543,PCS,Tolsen,TOL-6139,15,wac,12.051
Karcher Cutting Disc Medium,أقراص قطع Medium,HW-101414,6613570634237,CAT066,,none,15.252,18.011,Nos,Karcher,KAR-37713,20,wac,17.888
 Total Spirit Level 18L ,ميزان مياه 18L,HW-101415,6874340528052,CAT087,,none,20.806,27.940,PCS,Total,TOT-69523,'20,wac,24.033
Stanley Aluminium Ladder 650W,سلالم ألمنيوم 650W,HW-101416,6941735567629,CAT091,,none,239.851,370.515,Pieces,Stanley,STA-47749,20,wac,264.004
Ingco Machine Screw 650W,براغي آلات 650W,HW-101417,6351907165413,CAT020,,none,4.768,6.707,PCS,Ingco,ING-29895,25,wac,5.680
Crown Spray Paint Can 900W,بخاخ دهان 900W,HW-101418,6865846182321,CAT047,,batch,KD 8.309,12.384,PCS,Crown,CRO-89551,15,wac,9.031
MAKITA READY MIX MORTAR 20 GAUGE,,HW-101419,6340839566732,CAT069,,none,6.859,9.920,pc,,MAK-31114,10,wac,7.505
Hitachi Plastic Water Tank 3/4 inch,خزانات مياه 3/4 inch,HW-101420,6628939360728,CAT034,,none,22.470,26.525,PC,Hitachi,HIT-9181,5,wac,25.673
Hilti Screwdriver Set 22 Gauge,مفكات 22 Gauge,HW-101421,6268690610538,CAT011,,none,9.003,12.329,PCS,Hilti,,15,wac,KD 10.724
Tolsen Scaffolding Frame 22 Gauge,سقالات 22 Gauge,HW-101422,6529926947222,CAT072,,none,11.944,17.463,Pieces,Tolsen,TOL-48432,20,wac,14.218
DEWALT CEMENT BAG 1L,أسمنت وملاط 1L,HW-101423,6755981830021,CAT069,,none,23.712,36.408,PCS,DeWalt,DEW-6046,20,wac,26.590
Gulf Star Epoxy Adhesive 18 Gauge,,HW-101424,6306843409389,CAT060,,batch,11.539,15.514,PCS,Gulf Star,GUL-80203,10,fifo,13.067
Sata  Teflon Tape 16 Gauge,شريط لحام وسدادات 16 Gauge,HW-101425,6360315022955,CAT035,,none,17.295,24.467,PCS,Sata,SAT-63111,15,wac,20.527
Total Enamel Paint 1/2 inch,دهان زيتي 1/2 inch,HW-101426,6473075337834,CAT045,,batch,24.868,34.398,PCS,Total,,50,wac,28.290
Tolsen Flat Washer 2000W,,HW-101427,6303594423440,CAT023,,none,11.093,16.529,PCS,Tolsen,TOL-96450,15,wac,12.039
Skil Grinding Disc 6mm,أقراص جلخ 6mm,HW-101428,6610161279412,CAT065,,none,7.690,9.883,PCS,Skil,SKI-29402,5,wac,8.673
Makita Tile Adhesive Bag 25mm,لاصق بلاط 25mm,HW-101429,6217717350221,CAT071,,none,11.450,17.458,pc,Makita,MAK-69351,20,wac,13.372
Black+Decker MCB Circuit Breaker 1/2 inch,قواطع كهربائية 1/2 inch,HW-101430,6370561812171,CAT039,,none,12.956,18.488,PCS,Black+Decker,BLA-94662,10,fifo,14.597
Karcher Cold Chisel 1L,إزميل 1L,HW-101431,6678844428445,CAT015,,none,9.404,12.480,pcs,Karcher,KAR-28858,15,wac,KD 10.340
DeWalt Electric Planer 4L,مسويات وروترات 4L,HW-101432,6418954766618,CAT006,,none,KWD 8.336,12.575,PCS,DeWalt,DEW-33046,20,wac,9.723
Sata Dust Mask Respirator 1/2 inch,أقنعة تنفس 1/2 inch,HW-101433,6271232614024,CAT056,,none,15.592,22.355,PCS,Sata,SAT-41903,25,fifo,18.498
Tolsen Flood Light 1kg,إنارة 1kg,HW-101434,6528231842903,CAT040,,none,4.810,6.294,pcs,Tolsen,TOL-40182,50,wac,5.759
hitachi thermal insulation sheet 450w,عزل 450W,HW-101435,6976506538652,CAT070,,none,262.442,337.250,PCS,Hitachi,HIT-82189,15,fifo,288.264
Hitachi Flat Screwdriver 450W,مفكات 450W,HW-101436,6644038497572,CAT011,,none,14.302,18.223,PCS,Hitachi,HIT-74134,15,wac,16.808
Hilti Enamel Paint 25mm,,HW-101437,6827625142971,CAT045,,batch,6.033,7.541,PCS,Hilti,,'5,wac,6.569
Tolsen Epoxy Adhesive 18L,إيبوكسي 18L,HW-101438,6335274569490,CAT060,,batch,16.888,KD 20.703,PCS,Tolsen,TOL-84952,20,fifo,19.491
Tolsen Machine Screw 4L,براغي آلات 4L,HW-101439,6285707279144,CAT020,,none,14.225,21.203,pcs,Tolsen,,20,fifo,16.195
Hitachi Cement Bag 8mm,أسمنت وملاط 8mm,HW-101440,6157560359141,CAT069,,none,KWD 0.389,0.597,Pieces,Hitachi,HIT-76045,25,wac,0.463
Metabo Drawer Slide 3/8 inch,تجهيزات خزائن 3/8 inch,HW-101441,6797610917736,CAT078,,none,3.170,4.317,PCS,Metabo,MET-75755,20,wac,3.633
Black+Decker Door Handle 650W,مقابض أبواب 650W,HW-101442,6482445378081,CAT077,,none,5.917,9.069,PCS,Black+Decker,BLA-77383,20,fifo,6.719
Makita Adjustable Wrench 20L,مفاتيح ربط 20L,HW-101443,6742240614881,CAT010,,none,9.424,12.627,PC,Makita,MAK-44599,25,wac,10.952
