itemSku,altCode,codeType,note
HW-101474,ALT-29854,aftermarket,
HW-104073,ALT-47319,other,Old catalogue code for Sata
HW-103165,ALT-79267,oem,
HW-104992,ALT-68072,oem,Old catalogue code for Total
HW-104196,ALT-79004,oem,
HW-103574,ALT-75838,aftermarket,Old catalogue code for Karcher
HW-100803,ALT-40139,other,
HW-104224,ALT-16463,other,
HW-103181,ALT-35538,other,
HW-103118,ALT-33629,aftermarket,Old catalogue code for Crown
HW-101468,ALT-59096,oem,Old catalogue code for Gulf Star
HW-101270,ALT-91825,superseded,Old catalogue code for Skil
HW-104136,ALT-63822,other,Old catalogue code for Skil
HW-104577,ALT-25257,oem,Old catalogue code for Black+Decker
HW-102938,ALT-71872,other,Old catalogue code for Truper
HW-102718,ALT-96916,superseded,
HW-104616,ALT-70107,other,Old catalogue code for Sata
HW-104616,ALT-88618,aftermarket,
HW-101136,ALT-94833,other,
HW-103616,ALT-25230,aftermarket,Old catalogue code for Total
HW-101251,ALT-88135,oem,Old catalogue code for Sata
HW-104025,ALT-70762,aftermarket,Old catalogue code for Total
HW-102991,ALT-95932,other,
HW-103163,ALT-15086,aftermarket,Old catalogue code for Total
HW-102205,ALT-66746,aftermarket,Old catalogue code for Skil
HW-100644,ALT-26482,aftermarket,Old catalogue code for Karcher
HW-102191,ALT-98695,aftermarket,
HW-102198,ALT-72095,other,Old catalogue code for Karcher
HW-104340,ALT-31506,other,
HW-104463,ALT-37872,oem,Old catalogue code for Total
HW-104463,ALT-17552,oem,
HW-103186,ALT-40669,superseded,Old catalogue code for Tolsen
HW-103186,ALT-79680,aftermarket,
HW-101044,ALT-78804,aftermarket,Old catalogue code for Ridgid
HW-100091,ALT-98040,other,Old catalogue code for Hitachi
HW-102668,ALT-62010,other,
HW-102668,ALT-87837,oem,
HW-101857,ALT-61223,oem,Old catalogue code for Bosch
HW-102023,ALT-62406,superseded,
HW-100862,ALT-14478,superseded,Old catalogue code for Black+Decker
HW-102065,ALT-56220,superseded,Old catalogue code for Tolsen
HW-100945,ALT-95598,aftermarket,
HW-100866,ALT-89371,aftermarket,Old catalogue code for Black+Decker
HW-100819,ALT-36182,oem,Old catalogue code for Skil
HW-100819,ALT-37607,aftermarket,
HW-102167,ALT-19621,superseded,Old catalogue code for Makita
HW-101107,ALT-16239,other,Old catalogue code for Total
HW-103782,ALT-98518,superseded,
HW-103236,ALT-49202,oem,Old catalogue code for Karcher
HW-103141,ALT-78005,other,Old catalogue code for Tolsen
HW-103141,ALT-28205,aftermarket,
HW-100489,ALT-16864,aftermarket,
HW-100518,ALT-71206,aftermarket,Old catalogue code for Crown
HW-100518,ALT-75910,oem,
HW-103157,ALT-71774,other,Old catalogue code for Stanley
HW-103171,ALT-79039,superseded,Old catalogue code for Crown
HW-101440,ALT-76717,oem,Old catalogue code for Hitachi
HW-101440,ALT-33054,aftermarket,
HW-102574,ALT-89838,superseded,Old catalogue code for Yato
HW-101247,ALT-38584,other,
HW-101694,ALT-81678,superseded,Old catalogue code for Hilti
HW-102281,ALT-83221,other,
HW-102752,ALT-34220,other,
HW-102752,ALT-61151,oem,
HW-101626,ALT-59412,other,
HW-101984,ALT-31923,oem,
HW-101788,ALT-68824,oem,Old catalogue code for DeWalt
HW-104748,ALT-82240,aftermarket,Old catalogue code for Bosch
HW-104108,ALT-57715,aftermarket,Old catalogue code for Ingco
HW-104934,ALT-40280,oem,Old catalogue code for Skil
HW-102077,ALT-41788,superseded,Old catalogue code for Truper
HW-100535,ALT-49196,superseded,Old catalogue code for Metabo
HW-101332,ALT-52415,superseded,
HW-103625,ALT-29156,other,
HW-103841,ALT-74066,oem,
HW-104485,ALT-95570,superseded,
HW-104485,ALT-35757,oem,
HW-103374,ALT-99373,superseded,
HW-100887,ALT-17070,aftermarket,Old catalogue code for Total
HW-104997,ALT-16932,other,Old catalogue code for Tolsen
HW-100842,ALT-83458,superseded,
HW-100968,ALT-85525,aftermarket,Old catalogue code for Black+Decker
HW-100244,ALT-82849,oem,
HW-104180,ALT-30857,superseded,Old catalogue code for Hilti
HW-104661,ALT-64083,aftermarket,Old catalogue code for Makita
HW-102030,ALT-57182,aftermarket,Old catalogue code for Gulf Star
HW-102552,ALT-65654,superseded,Old catalogue code for Makita
HW-101341,ALT-83941,other,
HW-103693,ALT-99894,superseded,
HW-100532,ALT-16658,other,Old catalogue code for Truper
HW-103455,ALT-76696,other,Old catalogue code for Hitachi
HW-104969,ALT-57310,other,Old catalogue code for Crown
HW-103789,ALT-41935,oem,
HW-103789,ALT-49486,oem,
HW-101687,ALT-81939,aftermarket,Old catalogue code for Gulf Star
HW-102165,ALT-39651,aftermarket,
HW-104832,ALT-11943,oem,Old catalogue code for Truper
HW-102700,ALT-72499,other,
HW-104624,ALT-63413,oem,Old catalogue code for Truper
HW-102795,ALT-78635,oem,Old catalogue code for Ingco
HW-104575,ALT-76932,superseded,
HW-100349,ALT-28025,superseded,
HW-100349,ALT-95994,oem,
HW-104823,ALT-40500,aftermarket,
HW-101825,ALT-56644,superseded,
HW-104975,ALT-32056,other,Old catalogue code for Black+Decker
HW-103854,ALT-15858,other,
HW-101576,ALT-66304,aftermarket,
HW-100956,ALT-13175,aftermarket,
HW-100230,ALT-28642,aftermarket,Old catalogue code for Yato
HW-101479,ALT-39147,other,
HW-103174,ALT-92354,oem,
HW-100164,ALT-35593,aftermarket,
HW-101518,ALT-90686,superseded,Old catalogue code for Yato
HW-104999,ALT-71107,other,Old catalogue code for Makita
HW-104999,ALT-32034,aftermarket,
HW-101881,ALT-29026,aftermarket,
HW-104791,ALT-36161,oem,Old catalogue code for Crown
HW-102584,ALT-41870,aftermarket,Old catalogue code for Ingco
HW-100595,ALT-74259,oem,Old catalogue code for Al-Fanar
HW-102226,ALT-18122,superseded,
HW-102184,ALT-36272,aftermarket,Old catalogue code for Metabo
HW-101278,ALT-41630,superseded,Old catalogue code for Crown
HW-103223,ALT-68227,aftermarket,Old catalogue code for Black+Decker
HW-100259,ALT-35202,oem,Old catalogue code for Metabo
HW-102253,ALT-46175,aftermarket,Old catalogue code for Tolsen
HW-102332,ALT-59276,aftermarket,
HW-102332,ALT-85541,aftermarket,
HW-102207,ALT-41902,aftermarket,
HW-102721,ALT-80470,aftermarket,
HW-102254,ALT-20156,other,Old catalogue code for Bosch
HW-104589,ALT-64751,oem,
HW-104449,ALT-38658,superseded,Old catalogue code for Hitachi
HW-103051,ALT-22713,superseded,Old catalogue code for Yato
HW-103547,ALT-19126,oem,Old catalogue code for Tolsen
HW-101937,ALT-55636,aftermarket,
HW-100411,ALT-48033,oem,
HW-102696,ALT-34648,other,Old catalogue code for Total
HW-104169,ALT-63095,other,Old catalogue code for Makita
HW-101190,ALT-77132,oem,Old catalogue code for Metabo
HW-101203,ALT-60370,superseded,
HW-100940,ALT-71186,other,Old catalogue code for Yato
HW-103803,ALT-16929,other,Old catalogue code for Gulf Star
HW-103664,ALT-88851,superseded,Old catalogue code for Gulf Star
HW-101068,ALT-78562,other,
HW-104338,ALT-23898,other,Old catalogue code for Truper
HW-104111,ALT-86746,aftermarket,
HW-103884,ALT-51207,oem,
HW-100730,ALT-86579,aftermarket,
HW-101786,ALT-23222,other,
HW-104714,ALT-50328,other,Old catalogue code for Makita
HW-104714,ALT-46380,aftermarket,
HW-104746,ALT-37162,superseded,Old catalogue code for Stanley
HW-103697,ALT-48589,oem,Old catalogue code for Al-Fanar
HW-103516,ALT-52962,aftermarket,
HW-104072,ALT-93866,other,Old catalogue code for Yato
HW-100863,ALT-87836,oem,Old catalogue code for Hilti
HW-101766,ALT-76701,superseded,Old catalogue code for Karcher
HW-101766,ALT-56947,aftermarket,
HW-104598,ALT-24628,superseded,Old catalogue code for Al-Fanar
HW-104742,ALT-59406,other,
HW-104742,ALT-97925,oem,
HW-104628,ALT-36983,other,Old catalogue code for Truper
HW-100252,ALT-17228,superseded,
HW-103791,ALT-55636,other,Old catalogue code for Makita
HW-102945,ALT-91836,other,
HW-104512,ALT-46718,superseded,
HW-104022,ALT-46052,oem,Old catalogue code for Metabo
HW-103699,ALT-81951,superseded,Old catalogue code for Bosch
HW-102874,ALT-17720,oem,Old catalogue code for Gulf Star
HW-104011,ALT-75822,other,Old catalogue code for Tolsen
HW-104011,ALT-34484,oem,
HW-100564,ALT-85215,aftermarket,Old catalogue code for Bosch
HW-103456,ALT-77951,superseded,
HW-104612,ALT-77689,oem,
HW-104612,ALT-36474,aftermarket,
HW-102403,ALT-36995,aftermarket,Old catalogue code for Stanley
HW-102140,ALT-20225,superseded,
HW-101979,ALT-32425,oem,Old catalogue code for Total
HW-100087,ALT-49350,other,Old catalogue code for Yato
HW-103960,ALT-19199,aftermarket,Old catalogue code for Crown
HW-101708,ALT-42736,superseded,Old catalogue code for Ingco
HW-102646,ALT-54253,aftermarket,
HW-101105,ALT-60532,oem,Old catalogue code for DeWalt
HW-102242,ALT-96187,other,
HW-102243,ALT-71958,other,Old catalogue code for Metabo
HW-103544,ALT-44873,superseded,
HW-101853,ALT-12062,other,Old catalogue code for Black+Decker
HW-101853,ALT-48201,oem,
HW-103956,ALT-80346,other,Old catalogue code for Stanley
HW-103956,ALT-60134,aftermarket,
HW-102946,ALT-30367,oem,Old catalogue code for Tolsen
HW-102687,ALT-54285,superseded,
HW-102791,ALT-93184,superseded,
HW-104545,ALT-15331,oem,Old catalogue code for Ingco
HW-104102,ALT-23423,other,Old catalogue code for Truper
HW-101647,ALT-14268,other,
HW-101647,ALT-75956,oem,
HW-104269,ALT-72470,superseded,Old catalogue code for Bosch
HW-104761,ALT-61350,other,Old catalogue code for Hilti
HW-104988,ALT-77398,oem,Old catalogue code for Truper
HW-104297,ALT-22389,oem,
HW-101450,ALT-29319,other,Old catalogue code for Al-Fanar
HW-103383,ALT-28804,other,
HW-103608,ALT-81681,oem,Old catalogue code for Tolsen
HW-103679,ALT-12476,superseded,
HW-101514,ALT-86138,superseded,
HW-103270,ALT-75753,superseded,
HW-103621,ALT-75026,oem,Old catalogue code for Al-Fanar
HW-103621,ALT-86461,oem,
HW-100505,ALT-54467,oem,
HW-100505,ALT-79660,oem,
HW-101907,ALT-84733,oem,Old catalogue code for Black+Decker
HW-104951,ALT-56941,aftermarket,Old catalogue code for Black+Decker
HW-104951,ALT-34952,oem,
HW-102903,ALT-11859,aftermarket,Old catalogue code for Makita
HW-102125,ALT-62118,oem,Old catalogue code for Stanley
HW-102100,ALT-47054,other,Old catalogue code for Karcher
HW-102801,ALT-71160,superseded,
HW-103998,ALT-46021,other,
HW-102472,ALT-72773,oem,
HW-102472,ALT-73049,oem,
HW-101382,ALT-95682,superseded,Old catalogue code for Tolsen
HW-101382,ALT-78762,oem,
HW-102919,ALT-47878,oem,Old catalogue code for Ingco
HW-102566,ALT-36768,superseded,
HW-101871,ALT-81881,oem,
HW-102005,ALT-17422,other,Old catalogue code for Hilti
HW-104593,ALT-48530,superseded,Old catalogue code for Hilti
HW-100875,ALT-31048,superseded,Old catalogue code for Skil
HW-104191,ALT-62189,oem,Old catalogue code for Al-Fanar
HW-100325,ALT-36951,superseded,
HW-104199,ALT-56066,aftermarket,Old catalogue code for Truper
HW-100381,ALT-53119,aftermarket,Old catalogue code for DeWalt
HW-101802,ALT-22318,oem,Old catalogue code for Ridgid
HW-103539,ALT-94740,oem,
HW-101227,ALT-65827,other,Old catalogue code for DeWalt
HW-104947,ALT-93980,oem,Old catalogue code for Sata
HW-103362,ALT-49830,aftermarket,
HW-104432,ALT-40460,oem,Old catalogue code for Gulf Star
