Account No,Customer Name,Phone,Credit Limit,Outstanding Balance,Salesman,Payment Terms
CN-00912,Mubarak Maintenance Co,53081976,5000,898.87,Mahmoud,Cash
CN-00913,Marina Interiors,62004440,5000,"2,328.35",Anwar,30 days
CN-00914,Kazma Builders,66484652,10000,"160,86",Mahmoud,90 days
CN-00915,Marina Builders,96396386,1000,1110.89,Khaled,45 days
CN-00916,Kazma Interiors,93657559,1000,1463.62,Anwar,Cash
CN-00917,Salmi Trading Est,67794661,,KWD 3507.18,Mahmoud,Cash
CN-00918,Capital Interiors,69730893,10000,2029.16,Anwar,COD
CN-00919,Mubarak Real Estate,55655872,2500,666.82,Rakesh,Cash
CN-00920,Reliable Workshop,65881164,10000,"3,73",Anwar,90 days
CN-00921,Kazma Construction,91024114,10000,3478.31,Anwar,45 days
CN-00922,United Real Estate,62513544,,764.93,Joseph,60 days
CN-00923,Reliable Maintenance Co,98613731,5000,KWD 1882.42,Suresh,COD
CN-00924,Marina Workshop,91578599,,2242.03,Anwar,COD
CN-00925,National Workshop,63537217,,729.46,Joseph,90 days
CN-00926,Kazma Trading Est,53762847,,"272,81",Mahmoud,COD
CN-00927,Falcon Interiors,97960764,2500,962.45,Mahmoud,Cash
CN-00928,Prime Trading Est,61446746,2500,801.48,Mahmoud,Cash
CN-00929,Pearl Workshop,67447561,2500,KWD 1455.91,Suresh,Cash
CN-00930,Reliable Interiors,95091001,10000,3042.12,Anwar,Cash
CN-00931,Salmi Maintenance Co,58480359,,"3,212.99",Suresh,COD
CN-00932,Mubarak Real Estate,99174431,5000,"958,15",Joseph,30 days
CN-00933,Marina Real Estate,94059773,1000,3135.17,Rakesh,90 days
CN-00934,Mubarak Interiors,64616780,1000,1291.70,Mahmoud,45 days
CN-00935,United Trading Est,98633276,1000,KWD 3993.71,Rakesh,60 days
CN-00936,Prime Engineering,52567056,,1480.39,Joseph,60 days
CN-00937,Kazma Interiors,93912877,,"2,717.76",Mahmoud,30 days
CN-00938,Al Manar Trading Est,58794600,2500,"3.644,00",Khaled,45 days
CN-00939,Reliable Workshop,61406039,10000,2746.49,Suresh,45 days
CN-00940,Mubarak Real Estate,55039965,1000,2768.22,Anwar,45 days
CN-00941,Oasis Engineering,95030133,5000,KWD 145.09,Mahmoud,90 days
CN-00942,Desert Engineering,95151450,,367.97,Joseph,60 days
CN-00943,Salmi Maintenance Co,61904548,10000,"1,186.01",Suresh,90 days
CN-00944,Burgan Interiors,91027478,,"645,61",Joseph,COD
CN-00945,Oasis Engineering,59395619,5000,2679.90,Suresh,60 days
CN-00946,National Construction,64403638,10000,3090.40,Anwar,60 days
CN-00947,Salmi Interiors,52054238,10000,KWD 1517.03,Rakesh,COD
CN-00948,Kazma MEP Services,57120503,10000,1976.10,Anwar,45 days
CN-00949,Falcon Engineering,55386759,2500,932.89,Mahmoud,COD
CN-00950,Capital Workshop,67447343,,"1.474,02",Mahmoud,90 days
CN-00951,Burgan Workshop,53501531,1000,1451.15,Mahmoud,Cash
CN-00952,Oasis Interiors,94296750,,653.10,Anwar,Cash
CN-00953,Fahad MEP Services,96635196,1000,KWD 2592.52,Khaled,45 days
CN-00954,United Construction,69470449,,326.65,Suresh,60 days
CN-00955,Modern Maintenance Co,61710280,5000,"3,046.19",Mahmoud,COD
CN-00956,Reliable Workshop,67266749,,"2.109,52",Suresh,45 days
CN-00957,Desert Interiors,95790280,10000,3309.08,Joseph,COD
CN-00958,Falcon Engineering,57431752,,1752.13,Khaled,60 days
CN-00959,Desert Contracting Co,62118725,,KWD 3580.97,Khaled,30 days
CN-00960,Oasis Contracting Co,98851963,10000,3618.84,Mahmoud,COD
CN-00961,Prime Workshop,68218195,1000,"3,590.22",Rakesh,COD
CN-00962,Pearl Builders,53530039,,"1.324,30",Khaled,COD
CN-00963,Fahad Builders,59079594,2500,93.14,Khaled,90 days
CN-00964,Pearl Interiors,53634128,,3381.95,Khaled,30 days
CN-00965,Reliable Builders,91376285,2500,KWD 3606.65,Khaled,60 days
CN-00966,Reliable Trading Est,65863255,1000,583.56,Anwar,Cash
CN-00967,Modern Trading Est,98153679,5000,"3,795.53",Khaled,30 days
CN-00968,Oasis Real Estate,96587958,2500,"31,07",Khaled,30 days
CN-00969,Gulf MEP Services,59997983,,3878.39,Anwar,30 days
CN-00970,Capital Construction,57128514,,1089.18,Joseph,45 days
CN-00971,Al Rai Maintenance Co,69278366,2500,KWD 817.73,Anwar,30 days
CN-00972,Reliable Construction,64925902,10000,1038.70,Khaled,60 days
CN-00973,Modern Builders,66765319,2500,"2,550.90",Anwar,30 days
CN-00974,Marina MEP Services,54878168,10000,"1.417,28",Anwar,Cash
CN-00975,National Interiors,62765343,10000,2920.51,Joseph,COD
CN-00976,Mubarak Trading Est,67870574,2500,2301.81,Rakesh,45 days
CN-00977,Reliable Construction,98902052,1000,KWD 1662.71,Suresh,30 days
CN-00978,Marina Interiors,55195351,2500,1863.46,Anwar,90 days
CN-00979,Fahad Real Estate,66419551,10000,"3,375.37",Rakesh,30 days
CN-00980,Salmi Construction,92999140,,"343,93",Khaled,45 days
CN-00981,Gulf Builders,52973003,1000,275.81,Joseph,30 days
CN-00982,Kazma Workshop,93623550,,1989.83,Suresh,90 days
CN-00983,National Construction,62766822,2500,KWD 3045.77,Mahmoud,45 days
CN-00984,Pearl Builders,56878304,2500,2076.32,Suresh,45 days
CN-00985,Fahad Trading Est,53740940,1000,"2,465.60",Anwar,Cash
CN-00986,Prime Builders,54005730,,"2.034,73",Joseph,90 days
CN-00987,Al Rai Construction,58296599,1000,2571.47,Mahmoud,60 days
CN-00988,Desert Interiors,64534889,5000,2595.88,Joseph,Cash
CN-00989,Burgan Maintenance Co,53120636,,KWD 2106.19,Mahmoud,90 days
CN-00990,Sabah Contracting Co,62711802,10000,2637.57,Rakesh,90 days
CN-00991,Falcon Workshop,61154997,5000,"3,835.43",Suresh,60 days
CN-00992,Al Manar Workshop,53613805,1000,"2.028,33",Khaled,45 days
CN-00993,Mubarak Construction,93359251,5000,2813.67,Rakesh,30 days
CN-00994,Sabah Workshop,97420719,10000,2064.32,Anwar,Cash
CN-00995,Falcon Contracting Co,94565924,,KWD 1285.79,Mahmoud,COD
CN-00996,National Construction,99170453,,100.15,Anwar,COD
CN-00997,Fahad Builders,58851119,5000,"2,389.34",Rakesh,90 days
CN-00998,Mubarak Real Estate,55533388,5000,"1.852,92",Mahmoud,60 days
CN-00999,Modern Interiors,63360083,,1226.07,Suresh,Cash
CN-01000,United Workshop,96746726,2500,3966.96,Anwar,60 days
CN-01001,Mubarak Interiors,61912644,10000,KWD 3188.38,Suresh,Cash
CN-01002,Falcon Contracting Co,97101673,10000,1522.56,Anwar,45 days
CN-01003,Salmi Maintenance Co,56606241,2500,"1,050.31",Anwar,45 days
CN-01004,Fahad Construction,66141044,10000,"3.943,27",Joseph,Cash
CN-01005,Marina Builders,65978910,,2303.02,Anwar,Cash
CN-01006,Pearl Builders,62930945,2500,1002.12,Rakesh,Cash
CN-01007,Falcon MEP Services,52670183,,KWD 3218.30,Suresh,30 days
CN-01008,National Real Estate,65078641,5000,2493.02,Suresh,90 days
CN-01009,Fahad Trading Est,67257174,2500,190.90,Khaled,90 days
CN-01010,United Interiors,54845761,2500,"286,35",Rakesh,45 days
CN-01011,Kazma Builders,99514500,,3156.78,Joseph,45 days
CN-01012,Al Manar Construction,53404760,2500,1018.03,Rakesh,90 days
CN-01013,Desert Workshop,56320851,10000,KWD 3793.54,Rakesh,45 days
CN-01014,Mubarak Builders,54573736,2500,1505.13,Anwar,60 days
CN-01015,Salmi Construction,54595914,2500,"3,640.77",Suresh,Cash
CN-01016,Al Rai Construction,56277462,5000,"1.671,14",Joseph,Cash
CN-01017,National Contracting Co,95198953,10000,2723.17,Joseph,COD
CN-01018,Gulf Workshop,67367413,1000,2378.09,Anwar,30 days
CN-01019,Gulf Builders,92738366,10000,KWD 1264.87,Mahmoud,30 days
CN-01020,Sabah Workshop,68081665,5000,3578.47,Anwar,30 days
CN-01021,Burgan Construction,94581671,,"1,817.85",Suresh,60 days
CN-01022,Fahad Engineering,69707276,2500,"1.271,45",Khaled,45 days
CN-01023,Sabah Contracting Co,91893188,5000,720.71,Anwar,90 days
CN-01024,National Construction,91027464,1000,-,Joseph,Cash
CN-01025,Marina MEP Services,59193813,,KWD 2723.19,Rakesh,Cash
CN-01026,Reliable Trading Est,91030260,,630.93,Mahmoud,60 days
CN-01027,Fahad Trading Est,52906307,,"1,243.41",Anwar,60 days
CN-01028,Mubarak Builders,95737312,,"1.097,23",Mahmoud,60 days
CN-01029,Marina Real Estate,52034903,2500,1723.56,Anwar,90 days
CN-01030,Pearl Real Estate,68288060,2500,1325.76,Rakesh,45 days
CN-01031,Marina Contracting Co,51455164,1000,KWD 3490.57,Anwar,COD
CN-01032,Al Rai Maintenance Co,91213388,,1330.53,Mahmoud,Cash
CN-01033,National Workshop,56322698,10000,"1,346.09",Suresh,45 days
CN-01034,United Real Estate,65903077,10000,"1.525,18",Suresh,60 days
CN-01035,Sabah Maintenance Co,93868077,,2290.28,Mahmoud,90 days
CN-01036,Capital Construction,51932500,2500,1962.02,Khaled,Cash
CN-01037,Sabah Interiors,65511394,1000,KWD 2573.05,Joseph,COD
CN-01038,Oasis Interiors,57425038,10000,2447.64,Mahmoud,30 days
CN-01039,Fahad Trading Est,94640869,1000,"3,108.59",Joseph,60 days
CN-01040,Al Manar Maintenance Co,58842978,1000,"2.770,54",Rakesh,Cash
CN-01041,Capital Trading Est,91209151,,2023.41,Joseph,45 days
CN-01042,Desert Trading Est,55436793,5000,1604.75,Joseph,90 days
CN-01043,Oasis Engineering,61494932,5000,KWD 646.07,Anwar,COD
CN-01044,Sabah Construction,58648048,1000,2029.29,Joseph,30 days
CN-01045,National Contracting Co,59656816,10000,"3,233.77",Suresh,30 days
CN-01046,Desert Interiors,58576976,,"3.909,80",Khaled,45 days
CN-01047,Desert Trading Est,67643639,10000,2614.12,Joseph,COD
CN-01048,Reliable Construction,65669100,1000,679.38,Suresh,45 days
CN-01049,National MEP Services,92215918,1000,KWD 1459.63,Mahmoud,Cash
CN-01050,Sabah Maintenance Co,55819449,5000,2814.26,Khaled,45 days
CN-01051,Sabah Contracting Co,91192077,2500,"3,748.70",Suresh,90 days
CN-01052,National MEP Services,59843125,1000,"3.445,33",Khaled,60 days
CN-01053,Salmi Interiors,96757881,2500,374.04,Rakesh,90 days
CN-01054,Reliable MEP Services,68246881,2500,763.15,Joseph,60 days
CN-01055,Kazma Contracting Co,99092865,2500,KWD 444.04,Mahmoud,30 days
CN-01056,Burgan Contracting Co,64533721,1000,22.40,Mahmoud,COD
CN-01057,Fahad Maintenance Co,64412732,,"3,457.58",Suresh,60 days
CN-01058,Reliable MEP Services,65012534,5000,"2.391,12",Rakesh,45 days
CN-01059,Gulf Real Estate,55018767,10000,2150.53,Suresh,Cash
CN-01060,Sabah Maintenance Co,99697193,1000,1828.79,Mahmoud,Cash
CN-01061,Falcon Builders,63226136,5000,KWD 807.36,Joseph,45 days
CN-01062,Mubarak Workshop,64996569,,105.24,Khaled,90 days
CN-01063,Al Rai Construction,99867930,1000,"2,621.61",Suresh,COD
CN-01064,Burgan Builders,95648321,5000,"3.730,65",Rakesh,30 days
CN-01065,Salmi Construction,55683035,,2352.94,Khaled,45 days
CN-01066,Al Rai Construction,99177894,10000,-,Rakesh,30 days
CN-01067,Mubarak Builders,51538139,,KWD 3822.93,Mahmoud,45 days
CN-01068,Oasis Interiors,67569505,,744.80,Khaled,COD
CN-01069,Capital Interiors,55151652,1000,730.02,Joseph,Cash
CN-01070,Oasis Interiors,93308095,10000,"649,19",Khaled,30 days
CN-01071,Desert Engineering,97891435,,1185.16,Mahmoud,30 days
CN-01072,Kazma Builders,57393952,2500,1967.56,Rakesh,COD
CN-01073,Prime Engineering,61984328,2500,KWD 1874.73,Mahmoud,30 days
CN-01074,Falcon Workshop,62888140,2500,768.37,Rakesh,90 days
CN-01075,Reliable Trading Est,97190583,1000,"2,703.54",Joseph,Cash
CN-01076,Capital Workshop,93472865,10000,"3.668,52",Mahmoud,90 days
CN-01077,Burgan Engineering,96997704,10000,847.34,Khaled,45 days
CN-01078,Reliable Interiors,94380050,2500,3204.30,Joseph,45 days
CN-01079,United MEP Services,55971536,1000,KWD 2243.82,Suresh,COD
CN-01080,Falcon Trading Est,57796755,10000,3463.41,Suresh,Cash
CN-01081,Desert Builders,58764949,2500,"1,729.44",Rakesh,45 days
CN-01082,Mubarak Workshop,93966403,10000,"463,19",Joseph,COD
CN-01083,Reliable MEP Services,55413821,1000,899.49,Suresh,45 days
CN-01084,Al Rai Engineering,99063115,10000,2640.11,Khaled,90 days
CN-01085,Salmi Interiors,93466300,1000,KWD 3859.35,Mahmoud,COD
CN-01086,Modern Engineering,64355995,2500,3195.92,Khaled,COD
CN-01087,Fahad Construction,51529389,10000,"1,702.40",Mahmoud,60 days
CN-01088,Desert Real Estate,91520072,2500,"1.816,29",Khaled,COD
CN-01089,Sabah Engineering,57008704,5000,3051.52,Rakesh,Cash
CN-01090,Falcon Construction,59008985,10000,2750.90,Anwar,45 days
CN-01091,Prime Maintenance Co,58535020,,KWD 1260.10,Khaled,60 days
CN-01092,Mubarak Workshop,55198475,5000,2724.28,Rakesh,90 days
CN-01093,United Engineering,93938286,5000,"3,257.78",Rakesh,45 days
CN-01094,United Maintenance Co,53285964,2500,"2.027,93",Mahmoud,45 days
CN-01095,Fahad MEP Services,92500584,1000,872.42,Rakesh,45 days
CN-01096,Mubarak Trading Est,69033550,5000,1055.93,Mahmoud,60 days
CN-01097,Burgan Construction,96352602,5000,KWD 784.41,Khaled,COD
CN-01098,Prime Engineering,91353751,5000,398.47,Joseph,COD
CN-01099,Modern Trading Est,51119423,1000,"2,482.22",Khaled,30 days
CN-01100,Mubarak Workshop,95587392,1000,"716,50",Khaled,COD
CN-01101,Sabah MEP Services,62166359,1000,1131.15,Joseph,60 days
CN-01102,Marina Workshop,96960611,10000,1722.30,Joseph,COD
CN-01103,United Contracting Co,61841235,1000,KWD 1227.94,Anwar,30 days
CN-01104,United Builders,59461291,5000,3950.48,Anwar,45 days
CN-01105,Desert Interiors,57148139,5000,"2,026.31",Rakesh,60 days
CN-01106,Prime Trading Est,53716098,1000,"583,70",Mahmoud,60 days
CN-01107,Gulf Interiors,69664019,1000,400.37,Mahmoud,60 days
CN-01108,Pearl Trading Est,63451552,1000,2221.89,Khaled,Cash
CN-01109,Al Rai Engineering,98849945,,KWD 1534.40,Rakesh,Cash
CN-01110,Mubarak MEP Services,92465768,1000,340.94,Joseph,Cash
CN-01111,Capital Maintenance Co,64974160,1000,"3,319.40",Anwar,Cash
CN-01112,Capital Maintenance Co,96892626,,"167,93",Anwar,Cash
CN-01113,Al Rai MEP Services,65491591,5000,2060.01,Anwar,45 days
CN-01114,National Real Estate,97345515,10000,1917.70,Suresh,Cash
CN-01115,Gulf Interiors,53611811,5000,KWD 765.71,Rakesh,COD
CN-01116,Al Rai Workshop,62704786,2500,2614.32,Khaled,90 days
CN-01117,Reliable Builders,52239666,2500,"1,753.59",Khaled,Cash
CN-01118,Falcon Builders,56820114,1000,"3.416,38",Suresh,90 days
CN-01119,Burgan Interiors,98596478,2500,955.04,Khaled,30 days
CN-01120,Sabah Builders,69594516,10000,3016.08,Anwar,30 days
CN-01121,Reliable Interiors,64999669,1000,KWD 1373.23,Mahmoud,COD
CN-01122,Desert Construction,57934796,2500,1735.68,Rakesh,45 days
CN-01123,Reliable Engineering,56190938,5000,"1,708.13",Anwar,Cash
CN-01124,Sabah Real Estate,62566681,10000,"469,41",Rakesh,Cash
CN-01125,United MEP Services,68487507,10000,3806.07,Rakesh,90 days
CN-01126,Marina Construction,67286500,,343.61,Khaled,90 days
CN-01127,Sabah Engineering,52841483,,KWD 2810.25,Mahmoud,COD
CN-01128,Modern Contracting Co,95795312,,2674.97,Anwar,30 days
CN-01129,Al Manar Contracting Co,69205222,1000,"1,934.31",Anwar,COD
CN-01130,Falcon Interiors,52142907,,"3.500,97",Mahmoud,COD
CN-01131,Capital Interiors,65915753,,2849.56,Anwar,45 days
CN-01132,Al Manar Contracting Co,91091239,2500,271.59,Khaled,30 days
CN-01133,Mubarak Builders,62886692,5000,KWD 812.26,Anwar,Cash
CN-01134,Al Rai Engineering,92876299,2500,2386.46,Joseph,45 days
CN-01135,Pearl Builders,98133133,,"2,555.99",Joseph,45 days
CN-01136,National Trading Est,62008925,,"3.650,07",Suresh,45 days
CN-01137,Capital Real Estate,98262858,,1468.92,Suresh,90 days
CN-01138,Capital Construction,63616110,,2434.97,Suresh,90 days
CN-01139,United Builders,55605199,1000,KWD 2911.92,Mahmoud,COD
CN-01140,Marina Trading Est,64876051,,1103.88,Rakesh,30 days
CN-01141,Burgan MEP Services,63734646,10000,53.24,Khaled,Cash
CN-01142,Oasis Maintenance Co,64190713,10000,"2.857,21",Anwar,Cash
CN-01143,Fahad Real Estate,62872852,2500,1213.50,Rakesh,45 days
CN-01144,Desert Contracting Co,56546863,2500,3908.95,Rakesh,Cash
CN-01145,Pearl MEP Services,52394115,2500,KWD 442.27,Anwar,Cash
CN-01146,Al Manar Builders,65213932,10000,2782.45,Joseph,45 days
CN-01147,Pearl Contracting Co,67480473,,"3,503.49",Rakesh,60 days
CN-01148,Prime Construction,69227616,10000,"1.707,60",Anwar,90 days
CN-01149,Reliable Builders,54691608,10000,356.50,Suresh,60 days
CN-01150,National MEP Services,65889819,5000,3118.22,Anwar,45 days
CN-01151,Gulf Interiors,94807630,2500,KWD 2976.57,Joseph,60 days
CN-01152,Capital Real Estate,69735186,5000,2074.45,Joseph,90 days
CN-01153,Kazma Interiors,64693903,2500,"3,375.96",Mahmoud,Cash
CN-01154,Mubarak Maintenance Co,98452997,10000,"3.655,36",Anwar,60 days
CN-01155,Gulf Maintenance Co,53501912,5000,1012.18,Suresh,Cash
CN-01156,Falcon Construction,61658078,10000,1451.20,Mahmoud,COD
CN-01157,Fahad Maintenance Co,58571767,10000,KWD 2023.79,Khaled,Cash
CN-01158,Gulf Builders,62370112,10000,3429.19,Rakesh,30 days
CN-01159,Fahad Interiors,52117030,5000,381.72,Suresh,45 days
CN-01160,Kazma Interiors,57691063,10000,"1.690,21",Joseph,COD
CN-01161,Reliable Construction,93887778,2500,3698.86,Rakesh,45 days
CN-01162,Sabah Real Estate,53139067,2500,2240.50,Anwar,90 days
CN-01163,Burgan Interiors,51642435,,KWD 2642.67,Suresh,COD
CN-01164,Salmi Trading Est,66299621,1000,30.55,Anwar,Cash
CN-01165,Mubarak Trading Est,97787131,5000,"3,519.51",Rakesh,30 days
CN-01166,Fahad Workshop,99625666,,"3.442,34",Khaled,Cash
CN-01167,Mubarak Trading Est,95460784,1000,2342.89,Joseph,45 days
CN-01168,Mubarak MEP Services,93913508,10000,1369.27,Anwar,Cash
CN-01169,Fahad Construction,99283979,2500,KWD 3060.40,Rakesh,COD
CN-01170,Mubarak MEP Services,56509490,,3916.23,Anwar,60 days
CN-01171,Modern Workshop,59251000,,366.26,Mahmoud,45 days
CN-01172,United Real Estate,91449979,,"3.866,83",Rakesh,Cash
CN-01173,United Builders,69952704,,488.38,Khaled,30 days
CN-01174,Mubarak Builders,97154355,5000,2040.32,Khaled,30 days
CN-01175,Sabah Engineering,63844835,,KWD 15.64,Joseph,60 days
CN-01176,Fahad Trading Est,66042048,,3540.21,Khaled,45 days
CN-01177,Mubarak Workshop,55116856,5000,"2,985.76",Joseph,60 days
CN-01178,Al Rai Builders,62159049,1000,"945,33",Anwar,COD
CN-01179,United Maintenance Co,62022956,2500,451.46,Anwar,Cash
CN-01180,Al Manar Builders,96160922,2500,2548.53,Suresh,90 days
CN-01181,Modern Builders,93078884,10000,KWD 3421.33,Joseph,60 days
CN-01182,Pearl MEP Services,94961632,2500,3090.21,Rakesh,Cash
CN-01183,Reliable Builders,67867248,5000,"2,024.15",Khaled,COD
CN-01184,Reliable MEP Services,64983446,5000,"3.866,14",Rakesh,Cash
CN-01185,Salmi Contracting Co,67535921,5000,1009.06,Khaled,45 days
CN-01186,Desert Contracting Co,63752520,,1199.89,Khaled,Cash
CN-01187,Oasis Workshop,64417624,2500,KWD 2707.00,Mahmoud,Cash
CN-01188,Mubarak Trading Est,97519930,,2169.35,Khaled,60 days
CN-01189,Gulf MEP Services,61979221,5000,"3,131.30",Suresh,COD
CN-01190,Desert Workshop,57041664,2500,"2.764,25",Mahmoud,60 days
CN-01191,Capital Construction,64546600,1000,589.61,Suresh,Cash
CN-01192,Falcon Engineering,99095121,5000,2759.01,Anwar,COD
CN-01193,Mubarak Maintenance Co,64658209,10000,KWD 2254.79,Anwar,45 days
CN-01194,Oasis Maintenance Co,92591403,2500,753.27,Anwar,Cash
CN-01195,Capital Contracting Co,57904150,10000,"3,476.89",Joseph,Cash
CN-01196,Al Rai Interiors,61170479,1000,"3.820,02",Rakesh,90 days
CN-01197,Sabah Contracting Co,67368586,10000,724.94,Joseph,90 days
CN-01198,Burgan Trading Est,92715479,1000,868.60,Mahmoud,90 days
CN-01199,Modern MEP Services,98147951,10000,KWD 1861.75,Joseph,60 days
CN-01200,Capital Maintenance Co,97176811,,8.26,Joseph,45 days
CN-01201,Falcon Contracting Co,68922193,2500,"1,484.32",Mahmoud,Cash
CN-01202,National MEP Services,63508296,5000,"1.722,41",Joseph,60 days
CN-01203,Fahad Construction,69288589,5000,2523.45,Rakesh,90 days
CN-01204,Falcon Interiors,65844966,5000,2783.83,Anwar,45 days
CN-01205,National Workshop,69140099,,KWD 1463.51,Mahmoud,30 days
CN-01206,Oasis Trading Est,65353226,,2044.57,Khaled,Cash
CN-01207,Burgan Interiors,92619126,5000,"2,468.63",Rakesh,COD
CN-01208,Al Manar Builders,67140185,10000,"2.711,03",Joseph,COD
CN-01209,Gulf Builders,57734067,,3790.52,Rakesh,45 days
CN-01210,Falcon Maintenance Co,97577027,5000,2960.12,Suresh,90 days
CN-01211,Kazma Contracting Co,65239061,1000,KWD 1617.92,Suresh,90 days
CN-01212,Salmi Interiors,96465838,10000,2040.75,Suresh,90 days
CN-01213,Falcon MEP Services,98663825,2500,"1,103.34",Anwar,90 days
CN-01214,National Builders,53806915,1000,"3.412,23",Joseph,30 days
CN-01215,Sabah Contracting Co,57237581,1000,131.31,Joseph,Cash
CN-01216,Burgan Maintenance Co,95324648,1000,3852.77,Rakesh,90 days
CN-01217,Falcon Trading Est,99108015,10000,KWD 1265.97,Anwar,30 days
CN-01218,Desert Construction,99284466,1000,3803.57,Rakesh,90 days
CN-01219,Al Rai Trading Est,64646519,1000,"2,935.19",Anwar,45 days
CN-01220,Oasis Builders,69028936,5000,"1.883,74",Khaled,COD
CN-01221,Modern Real Estate,52478906,2500,858.82,Mahmoud,30 days
CN-01222,Desert MEP Services,51388312,1000,1692.04,Khaled,45 days
CN-01223,Burgan Real Estate,57171672,10000,KWD 2176.23,Anwar,30 days
CN-01224,Modern Workshop,56292377,1000,2620.87,Khaled,90 days
CN-01225,Salmi Trading Est,67047713,5000,"1,382.03",Anwar,60 days
CN-01226,Desert MEP Services,56734953,,"2.528,28",Suresh,60 days
CN-01227,Salmi Engineering,54079946,2500,2150.49,Suresh,45 days
CN-01228,Desert Construction,58649228,5000,2708.69,Rakesh,90 days
CN-01229,Oasis Builders,64039350,,KWD 3721.89,Khaled,90 days
CN-01230,Fahad Construction,54567445,10000,965.85,Anwar,COD
CN-01231,National Engineering,93485121,1000,"1,784.52",Joseph,COD
CN-01232,Prime Real Estate,52011410,,"886,48",Rakesh,90 days
CN-01233,Kazma Trading Est,94464752,,929.59,Khaled,30 days
CN-01234,Oasis Interiors,52807894,,237.58,Mahmoud,Cash
CN-01235,Burgan Builders,59350878,10000,KWD 2480.00,Suresh,Cash
CN-01236,Oasis Engineering,91648493,2500,1818.23,Anwar,45 days
CN-01237,Al Manar Workshop,58555508,10000,"3,016.56",Mahmoud,30 days
CN-01238,Sabah Engineering,92177212,,"142,00",Mahmoud,COD
CN-01239,Capital Maintenance Co,69372448,5000,606.98,Joseph,45 days
CN-01240,Capital Engineering,91082753,2500,2205.67,Mahmoud,COD
CN-01241,Sabah Contracting Co,96483149,1000,KWD 3920.41,Mahmoud,60 days
CN-01242,Capital Builders,51180384,,2528.04,Anwar,Cash
CN-01243,Pearl MEP Services,96052436,,834.01,Anwar,Cash
CN-01244,Gulf Trading Est,96635915,2500,"1.691,42",Rakesh,Cash
CN-01245,Oasis Workshop,59143480,5000,3296.36,Joseph,30 days
CN-01246,National Construction,52363622,1000,1261.84,Joseph,90 days
CN-01247,Kazma MEP Services,92102672,5000,KWD 1582.54,Mahmoud,30 days
CN-01248,Fahad Engineering,51300210,5000,2917.67,Suresh,90 days
CN-01249,Al Rai Interiors,68999060,1000,"3,855.11",Khaled,Cash
CN-01250,Falcon Real Estate,67451073,5000,"3.660,11",Joseph,COD
CN-01251,Kazma Real Estate,56551305,2500,2628.10,Anwar,45 days
CN-01252,Gulf Builders,96333365,5000,877.49,Anwar,Cash
CN-01253,Pearl Real Estate,57698265,10000,KWD 76.42,Suresh,45 days
CN-01254,Desert Maintenance Co,63300802,1000,458.32,Mahmoud,45 days
CN-01255,Oasis Construction,95960123,5000,"3,304.69",Khaled,COD
CN-01256,Falcon Builders,96656776,10000,"2.614,20",Khaled,45 days
CN-01257,Al Manar Engineering,51462024,5000,263.94,Anwar,Cash
CN-01258,Al Manar Construction,68669606,10000,737.72,Khaled,60 days
CN-01259,Oasis Contracting Co,96823471,10000,KWD 3759.48,Joseph,COD
CN-01260,Reliable Interiors,53868659,1000,1846.35,Suresh,COD
CN-01261,Sabah Trading Est,59890721,10000,72.76,Mahmoud,90 days
CN-01262,Marina Workshop,69198369,2500,"1.097,43",Joseph,60 days
CN-01263,Burgan Engineering,52840251,5000,3188.84,Suresh,Cash
CN-01264,Mubarak Trading Est,65992901,1000,231.85,Khaled,60 days
CN-01265,Al Rai Construction,92018261,10000,KWD 2181.84,Joseph,60 days
CN-01266,Fahad Trading Est,94140210,2500,961.40,Suresh,Cash
CN-01267,Sabah Interiors,57659008,10000,"1,259.35",Suresh,90 days
CN-01268,Kazma Maintenance Co,95079624,1000,"2.411,61",Mahmoud,45 days
CN-01269,Mubarak Real Estate,61353676,10000,1276.34,Suresh,90 days
CN-01270,Capital Construction,66907672,5000,2703.40,Suresh,30 days
CN-01271,National Maintenance Co,64727202,,KWD 2720.87,Mahmoud,90 days
CN-01272,United Trading Est,94074990,10000,3249.26,Suresh,Cash
CN-01273,Sabah Maintenance Co,97239225,1000,"1,812.71",Suresh,30 days
CN-01274,Pearl Engineering,65512000,2500,"2.193,71",Rakesh,45 days
CN-01275,Reliable Maintenance Co,55946186,1000,1081.05,Joseph,Cash
CN-01276,Sabah Construction,91746772,1000,627.83,Mahmoud,COD
CN-01277,Sabah Construction,69272851,1000,KWD 2590.27,Mahmoud,90 days
CN-01278,Fahad Real Estate,53165294,5000,1673.93,Suresh,Cash
CN-01279,United Contracting Co,94047234,5000,"2,203.96",Khaled,90 days
CN-01280,Pearl Workshop,98750775,,"1.103,81",Suresh,60 days
CN-01281,Kazma Builders,52299538,1000,2420.39,Khaled,60 days
CN-01282,United Contracting Co,63625662,1000,3460.69,Rakesh,Cash
CN-01283,Prime MEP Services,91173209,,KWD 2803.34,Anwar,COD
CN-01284,United Construction,58008701,,40.43,Anwar,90 days
CN-01285,United Contracting Co,54296673,2500,"1,833.64",Khaled,Cash
CN-01286,Sabah Engineering,94362534,5000,"753,01",Joseph,60 days
CN-01287,United Interiors,97972324,2500,1636.03,Suresh,90 days
CN-01288,Fahad Builders,97164555,1000,2089.72,Joseph,30 days
CN-01289,Capital Maintenance Co,69482777,10000,KWD 266.21,Anwar,90 days
