Code,Name,Shuwaikh WH,Ardiya Store,Fahaheel Store,Jahra Store,Central Warehouse
GARD-001113,Rake 1in,6,33,18,21,21
MEAS-001114,Tape Measure Large,4,16,19,43,15
HAND-001115,Hammer Yellow,26,39,8,5,38
ELEC-001116,Wall Socket 25kg,19,20,28,0,6
FAST-001117,Hex Nut 1L,32,39,19,7,12
FAST-001118,Self-Tapping Screw Pro,45,26,45,6,9
PAINT-001119,Emulsion Paint 150mm,5,29,7,4,14
POWR-001120,Circular Saw 8mm,4,38,26,22,36
ADHE-001121,Wood Glue 100mm,1,34,35,28,44
WELD-001122,Welding Rod Box of 100,27,34,5,20,6
ELEC-001123,Switch Large,7,6,9,45,22
ABRA-001124,Flap Disc 5L,14,14,34,9,1
POWR-001125,Impact Driver Pro,3,28,45,30,28
GARD-001126,Rake 10mm,0,5,4,10,6
HAND-001127,Chisel Medium,35,4,8,6,6
ELEC-001128,Wall Socket 1/2in,6,1,8,0,11
HAND-001129,Hammer Blue,31,24,23,45,26
ELEC-001130,Cable 2.5mm 1L,30,23,12,17,6
FAST-001131,Washer 25kg,33,35,34,7,19
HAND-001132,Hammer Large,7,14,7,43,3
ADHE-001133,Super Glue 8mm,7,11,41,30,28
FAST-001134,Rivet 100mm,40,3,30,39,35
FAST-001135,Anchor Box of 100,11,45,7,11,7
ADHE-001136,PU Foam 5L,24,22,27,15,14
ADHE-001137,Silicone Sealant Large,27,42,18,0,30
ELEC-001138,Cable 2.5mm 1/2in,6,25,15,22,30
SAFE-001139,Ear Muffs 8mm,5,16,25,30,0
GARD-001140,Garden Hose 12mm,39,7,25,16,17
PLUM-001141,PVC Pipe Large,27,41,2,32,24
ABRA-001142,Wire Brush Blue,22,5,29,40,16
ELEC-001143,Junction Box 100mm,44,15,7,26,32
GARD-001144,Wheelbarrow 10mm,28,41,37,25,5
ELEC-001145,Circuit Breaker 1/2in,2,28,18,38,40
WELD-001146,Welding Mask 6mm,18,8,36,25,37
HAND-001147,Hammer Heavy Duty,7,10,36,22,43
WELD-001148,Welding Rod Pro,39,26,26,30,36
WELD-001149,Welding Wire 1L,1,4,19,26,24
ADHE-001150,Super Glue Box of 50,21,24,42,32,9
POWR-001151,Drill 100mm,15,38,23,4,41
WELD-001152,Gas Regulator 1L,3,1,13,35,33
POWR-001153,Jigsaw Box of 50,36,2,45,27,44
ABRA-001154,Cutting Disc 1/2in,13,23,20,13,2
ABRA-001155,Flap Disc Red,22,5,25,42,4
ABRA-001156,Flap Disc 1/2in,31,25,16,36,15
SAFE-001157,Ear Muffs 12mm,22,44,43,18,41
PLUM-001158,Pipe Clamp 1in,12,1,5,40,0
GARD-001159,Wheelbarrow Box of 50,23,22,11,41,0
GARD-001160,Shovel Box of 50,37,2,32,5,28
POWR-001161,Drill 1/2in,23,15,8,12,23
GARD-001162,Rake 1/2in,4,43,0,15,10
POWR-001163,Impact Driver 3/4in,16,21,24,13,35
FAST-001164,Rivet Red,12,1,44,29,39
ELEC-001165,Junction Box Pro,13,12,25,16,26
PLUM-001166,PVC Pipe Small,33,31,7,44,13
ELEC-001167,Junction Box Blue,4,27,32,32,37
PLUM-001168,Tap Mixer 3/4in,22,3,4,33,25
POWR-001169,Angle Grinder 12mm,33,12,39,25,5
ABRA-001170,Wire Brush Medium,17,22,44,42,39
POWR-001171,Jigsaw 12mm,21,8,8,39,15
FAST-001172,Wood Screw 6mm,34,28,38,26,31
MEAS-001173,Square 12mm,41,17,39,23,2
SAFE-001174,Hi-Vis Vest 6mm,10,22,44,23,5
MEAS-001175,Spirit Level Box of 50,37,0,29,16,29
HAND-001176,Hammer 150mm,32,44,14,18,24
SAFE-001177,Hi-Vis Vest Small,42,20,23,12,0
PAINT-001178,Thinner 3/4in,13,31,30,10,6
HAND-001179,Utility Knife 100mm,42,43,26,24,45
GARD-001180,Shovel 6mm,11,31,38,5,8
POWR-001181,Drill Red,38,41,29,42,9
ABRA-001182,Wire Brush 12mm,39,17,3,13,39
ELEC-001183,Junction Box Box of 100,22,10,33,36,33
POWR-001184,Jigsaw 1L,8,29,10,5,23
WELD-001185,Welding Mask 12mm,43,18,32,38,26
PLUM-001186,Flexible Hose Box of 100,39,21,10,42,23
WELD-001187,Welding Wire 10mm,39,3,23,26,9
GARD-001188,Garden Hose Medium,18,24,32,44,28
HAND-001189,Chisel Box of 50,42,19,15,20,45
FAST-001190,Wood Screw Pro,9,3,13,23,33
SAFE-001191,Hi-Vis Vest Box of 50,13,28,39,31,3
SAFE-001192,Safety Goggles 25kg,7,39,3,23,18
SAFE-001193,Work Gloves Medium,0,15,43,23,24
MEAS-001194,Caliper 10mm,40,2,45,32,13
MEAS-001195,Caliper 1L,15,23,32,22,27
FAST-001196,Anchor Pro,2,17,0,13,6
FAST-001197,Washer 150mm,12,35,37,29,42
FAST-001198,Hex Nut Red,43,4,18,38,33
PLUM-001199,Ball Valve Blue,40,42,23,41,39
ABRA-001200,Sandpaper Red,31,15,13,7,26
MEAS-001201,Square Medium,18,10,41,1,29
ADHE-001202,Wood Glue 1L,8,25,36,14,23
PLUM-001203,Tap Mixer 5L,7,8,2,25,21
FAST-001204,Washer Heavy Duty,38,7,30,42,29
WELD-001205,Welding Mask Large,4,40,5,28,6
HAND-001206,Utility Knife 3/4in,13,44,8,21,38
MEAS-001207,Tape Measure Medium,32,36,31,23,23
PAINT-001208,Masking Tape 150mm,19,9,2,8,2
SAFE-001209,Work Gloves Box of 100,1,41,2,40,36
HAND-001210,Screwdriver Large,17,32,16,42,1
PAINT-001211,Thinner Pro,26,22,10,0,45
ADHE-001212,Epoxy 3/4in,35,41,28,19,5
MEAS-001213,Square 8mm,44,18,8,14,37
PLUM-001214,Tap Mixer 3/4in,44,38,43,40,22
MEAS-001215,Square 150mm,18,7,2,6,34
MEAS-001216,Spirit Level 10mm,32,15,1,9,27
MEAS-001217,Caliper 25kg,27,29,36,28,3
POWR-001218,Impact Driver 150mm,41,34,13,43,37
HAND-001219,Wrench Large,36,40,18,8,12
ELEC-001220,Junction Box Yellow,35,22,29,10,15
ADHE-001221,PU Foam 25kg,39,44,1,43,22
ABRA-001222,Sandpaper Blue,33,8,28,29,34
ABRA-001223,Sandpaper Box of 50,38,2,18,26,28
FAST-001224,Self-Tapping Screw Large,29,12,16,27,33
SAFE-001225,Safety Helmet Small,10,0,17,10,15
SAFE-001226,Safety Goggles 5L,20,5,35,37,25
SAFE-001227,Safety Helmet Box of 50,38,39,40,37,38
GARD-001228,Garden Hose 3/4in,22,45,2,35,44
PLUM-001229,PVC Pipe 3/4in,21,0,7,6,40
WELD-001230,Welding Wire Pro,34,29,41,37,18
HAND-001231,Spanner Set 10mm,2,14,34,17,37
GARD-001232,Pruning Shears 6mm,31,45,5,13,3
FAST-001233,Wood Screw 6mm,9,1,30,18,30
WELD-001234,Gas Regulator Small,23,2,27,22,21
PAINT-001235,Primer Blue,7,34,0,44,0
PLUM-001236,Tap Mixer 1L,12,21,18,33,27
WELD-001237,Welding Mask Box of 100,10,11,3,43,34
ADHE-001238,PU Foam 1L,44,42,23,27,9
SAFE-001239,Hi-Vis Vest Red,39,44,4,42,27
ABRA-001240,Sandpaper Box of 100,36,38,39,42,14
ADHE-001241,PU Foam Red,1,1,10,2,33
SAFE-001242,Safety Goggles 3/4in,16,23,36,14,20
HAND-001243,Chisel 5L,21,18,40,1,7
SAFE-001244,Hi-Vis Vest 1in,35,19,4,11,7
ABRA-001245,Flap Disc 10mm,1,39,14,39,8
PAINT-001246,Paint Roller 5L,41,27,45,22,22
MEAS-001247,Tape Measure 3/4in,33,39,25,39,26
GARD-001248,Garden Hose Red,19,37,1,38,14
PAINT-001249,Paint Roller 3/4in,40,33,39,2,27
ELEC-001250,LED Bulb 3/4in,41,9,39,34,14
POWR-001251,Angle Grinder Red,40,37,3,26,0
ELEC-001252,Wall Socket 1L,9,6,40,11,4
ABRA-001253,Flap Disc Heavy Duty,6,3,6,31,19
ELEC-001254,Circuit Breaker Large,15,27,24,23,19
FAST-001255,Self-Tapping Screw 3/4in,34,44,0,37,16
WELD-001256,Welding Rod Red,45,17,37,18,3
ADHE-001257,PU Foam Pro,23,39,23,39,13
GARD-001258,Wheelbarrow 1in,28,37,31,23,34
PAINT-001259,Paint Roller Large,34,23,15,31,31
ADHE-001260,Silicone Sealant 10mm,45,0,36,45,13
PAINT-001261,Brush 3/4in,13,2,25,43,30
GARD-001262,Garden Hose 5L,25,42,44,29,9
SAFE-001263,Work Gloves Medium,41,6,15,7,0
POWR-001264,Sander 8mm,34,38,2,43,42
ABRA-001265,Cutting Disc Blue,5,42,28,38,41
MEAS-001266,Tape Measure Box of 100,22,12,25,8,5
POWR-001267,Angle Grinder Blue,9,1,26,24,9
PAINT-001268,Primer 8mm,1,25,27,36,39
WELD-001269,Welding Mask Red,41,26,3,1,21
GARD-001270,Shovel 10mm,40,9,23,31,6
PAINT-001271,Emulsion Paint 100mm,18,42,30,39,18
ADHE-001272,PU Foam Yellow,6,28,35,7,38
HAND-001273,Hand Saw Box of 50,20,34,15,31,0
SAFE-001274,Ear Muffs Medium,37,11,17,26,9
HAND-001275,Chisel Box of 50,42,11,38,34,21
PLUM-001276,Pipe Fitting 100mm,12,9,40,19,9
WELD-001277,Welding Rod Box of 100,38,40,21,40,17
ABRA-001278,Sandpaper 100mm,14,11,19,8,2
WELD-001279,Welding Rod 10mm,11,18,29,24,45
MEAS-001280,Square Heavy Duty,7,25,42,3,26
GARD-001281,Shovel 150mm,18,26,20,10,35
MEAS-001282,Tape Measure Red,14,44,26,5,25
HAND-001283,Screwdriver Box of 50,5,42,36,8,43
FAST-001284,Washer 1L,29,2,0,11,14
PAINT-001285,Primer Large,21,26,5,11,44
WELD-001286,Welding Rod Yellow,28,2,18,5,12
SAFE-001287,Safety Helmet 150mm,37,40,7,31,15
ELEC-001288,Switch 1/2in,6,1,10,33,20
ABRA-001289,Grinding Wheel Blue,40,20,8,21,42
HAND-001290,Chisel Box of 50,8,20,32,38,26
PAINT-001291,Thinner Yellow,20,37,10,15,7
SAFE-001292,Ear Muffs 25kg,9,39,38,32,0
ELEC-001293,Cable 2.5mm Heavy Duty,29,5,33,38,45
SAFE-001294,Work Gloves Box of 100,20,13,7,6,10
GARD-001295,Shovel 1L,12,43,20,28,44
FAST-001296,Hex Nut 10mm,24,15,8,33,34
ADHE-001297,Super Glue 10mm,26,25,35,9,38
PAINT-001298,Emulsion Paint Red,12,27,31,28,16
PAINT-001299,Brush Pro,31,36,43,7,34
FAST-001300,Hex Nut 6mm,0,11,6,16,36
ELEC-001301,Circuit Breaker 5L,12,37,33,28,35
FAST-001302,Anchor 150mm,6,33,25,2,12
POWR-001303,Impact Driver Pro,40,36,29,11,31
HAND-001304,Hand Saw 3/4in,36,2,35,17,28
ABRA-001305,Flap Disc 8mm,43,4,15,21,27
POWR-001306,Impact Driver 8mm,26,26,9,30,27
WELD-001307,Gas Regulator Box of 50,9,6,8,43,15
ABRA-001308,Cutting Disc Large,20,9,6,10,14
GARD-001309,Wheelbarrow Blue,30,27,24,34,8
ABRA-001310,Sandpaper 100mm,32,31,29,4,33
ELEC-001311,Switch 1in,5,5,22,28,1
SAFE-001312,Safety Goggles Blue,29,37,35,12,22
HAND-001313,Chisel Pro,42,40,36,16,10
ADHE-001314,PU Foam 3/4in,39,40,32,1,13
ADHE-001315,Wood Glue Red,5,33,43,13,31
ELEC-001316,LED Bulb Heavy Duty,33,12,26,6,35
ADHE-001317,Wood Glue 100mm,39,19,24,17,1
ELEC-001318,LED Bulb 5L,36,7,21,8,44
SAFE-001319,Ear Muffs Box of 100,8,0,16,17,43
FAST-001320,Self-Tapping Screw 6mm,23,35,14,4,45
PAINT-001321,Paint Roller Large,19,37,28,15,10
GARD-001322,Rake Blue,25,45,13,11,1
FAST-001323,Washer 8mm,22,23,36,15,42
HAND-001324,Hammer Heavy Duty,9,12,6,40,32
PAINT-001325,Masking Tape 1/2in,9,36,0,1,35
PAINT-001326,Thinner Red,18,28,32,20,18
POWR-001327,Drill 10mm,9,3,23,30,42
ABRA-001328,Sandpaper 100mm,42,12,27,20,1
FAST-001329,Machine Bolt Box of 50,27,17,3,41,5
MEAS-001330,Tape Measure Box of 50,13,5,21,32,7
PLUM-001331,Pipe Fitting Red,29,31,23,40,38
PLUM-001332,Ball Valve 3/4in,14,29,3,17,31
POWR-001333,Drill Box of 50,2,15,34,35,35
WELD-001334,Gas Regulator Large,3,44,40,41,39
PAINT-001335,Primer 1/2in,1,14,10,27,42
WELD-001336,Welding Rod 5L,18,43,14,45,17
POWR-001337,Angle Grinder Pro,19,22,0,0,32
PAINT-001338,Paint Roller Red,6,40,12,8,17
MEAS-001339,Square 8mm,15,29,7,21,23
GARD-001340,Wheelbarrow 100mm,27,6,36,6,43
GARD-001341,Wheelbarrow Box of 50,12,7,5,6,26
WELD-001342,Gas Regulator Heavy Duty,17,31,20,32,3
MEAS-001343,Caliper Pro,7,13,30,2,3
WELD-001344,Welding Rod 100mm,24,35,22,21,30
PAINT-001345,Primer 1in,8,0,15,4,33
ADHE-001346,PU Foam Yellow,40,11,41,45,8
PLUM-001347,Pipe Clamp Small,9,43,20,20,41
ELEC-001348,Junction Box Small,4,2,18,35,23
MEAS-001349,Tape Measure Box of 50,31,29,39,10,9
HAND-001350,Hand Saw 8mm,42,30,18,8,15
ADHE-001351,PU Foam Small,24,14,40,19,0
POWR-001352,Circular Saw 100mm,3,38,36,44,28
POWR-001353,Angle Grinder 10mm,22,33,28,32,27
WELD-001354,Welding Wire 25kg,25,28,19,15,24
POWR-001355,Circular Saw 150mm,5,8,32,5,9
ABRA-001356,Sandpaper 8mm,1,4,39,36,13
MEAS-001357,Caliper Blue,19,19,22,11,40
HAND-001358,Hammer 150mm,44,41,11,29,29
HAND-001359,Hammer Pro,17,8,23,19,37
PAINT-001360,Paint Roller 150mm,14,34,1,43,4
PLUM-001361,Pipe Fitting Large,22,18,10,23,8
PLUM-001362,Pipe Fitting Box of 100,1,5,17,23,33
PLUM-001363,Tap Mixer Pro,34,19,41,22,38
POWR-001364,Heat Gun Blue,1,17,5,1,31
FAST-001365,Washer Yellow,1,37,25,22,26
WELD-001366,Gas Regulator 1L,43,35,4,30,44
PAINT-001367,Paint Roller 5L,39,23,2,10,4
PLUM-001368,Pipe Clamp Blue,17,27,1,26,24
ADHE-001369,Epoxy 1/2in,5,2,22,11,29
PLUM-001370,Ball Valve 100mm,6,28,19,25,43
PAINT-001371,Primer 3/4in,22,14,3,3,22
GARD-001372,Garden Hose Box of 50,6,7,2,8,32
ABRA-001373,Wire Brush 1L,42,28,36,30,15
WELD-001374,Welding Mask 12mm,32,43,0,16,29
WELD-001375,Welding Rod 150mm,35,15,12,27,39
PAINT-001376,Thinner Medium,43,42,1,16,41
MEAS-001377,Tape Measure 8mm,34,26,41,44,30
WELD-001378,Welding Mask 1in,6,7,6,43,8
ABRA-001379,Grinding Wheel Heavy Duty,45,1,33,25,35
PAINT-001380,Thinner 5L,32,35,29,28,27
MEAS-001381,Laser Measure Large,6,17,33,38,16
FAST-001382,Wood Screw Red,3,7,13,28,20
MEAS-001383,Tape Measure Large,7,9,20,36,16
HAND-001384,Hammer Heavy Duty,21,28,16,9,45
WELD-001385,Welding Mask 25kg,30,29,9,27,33
POWR-001386,Angle Grinder Pro,37,24,1,8,17
SAFE-001387,Hi-Vis Vest Heavy Duty,37,5,21,45,22
ABRA-001388,Wire Brush Small,39,7,40,16,40
PLUM-001389,Pipe Fitting 150mm,3,3,36,16,33
PLUM-001390,Tap Mixer Pro,10,31,15,10,13
FAST-001391,Machine Bolt 8mm,7,25,13,25,4
WELD-001392,Gas Regulator 1in,22,20,35,25,9
ABRA-001393,Grinding Wheel 8mm,41,15,19,37,1
ADHE-001394,Epoxy Blue,32,4,41,31,20
POWR-001395,Impact Driver 100mm,4,18,27,2,44
HAND-001396,Wrench Heavy Duty,39,1,18,18,1
HAND-001397,Hand Saw 12mm,10,16,13,35,29
GARD-001398,Garden Hose 3/4in,12,7,20,31,11
POWR-001399,Circular Saw 5L,29,11,36,37,39
WELD-001400,Welding Wire 12mm,7,31,42,16,23
ADHE-001401,Silicone Sealant 1L,45,28,12,37,38
FAST-001402,Machine Bolt Pro,25,5,24,8,40
MEAS-001403,Tape Measure 1L,26,13,6,18,34
HAND-001404,Hammer 8mm,22,36,30,1,25
WELD-001405,Welding Rod 8mm,41,16,40,43,28
ADHE-001406,Super Glue Pro,33,39,26,41,38
ELEC-001407,Wall Socket 150mm,23,26,9,8,7
ADHE-001408,Epoxy 100mm,11,26,26,15,24
SAFE-001409,Ear Muffs 1in,18,6,16,1,22
SAFE-001410,Ear Muffs Large,7,12,11,36,28
SAFE-001411,Work Gloves 8mm,35,40,6,15,29
ADHE-001412,Silicone Sealant 6mm,40,19,43,36,14
ELEC-001413,Wall Socket 8mm,14,25,42,18,36
HAND-001414,Hand Saw 25kg,7,21,7,34,35
POWR-001415,Impact Driver Red,32,22,19,5,25
WELD-001416,Welding Mask 100mm,19,35,36,31,18
ELEC-001417,LED Bulb 12mm,27,12,37,28,3
MEAS-001418,Spirit Level Medium,10,2,14,32,25
FAST-001419,Machine Bolt 25kg,0,35,29,2,25
GARD-001420,Rake Heavy Duty,14,31,16,28,30
MEAS-001421,Caliper Large,22,12,33,23,41
MEAS-001422,Caliper Box of 50,10,8,24,35,21
ADHE-001423,PU Foam 100mm,32,5,24,30,37
WELD-001424,Welding Wire 100mm,40,15,22,41,33
WELD-001425,Gas Regulator Red,27,41,4,15,3
GARD-001426,Pruning Shears 1/2in,4,30,31,36,18
HAND-001427,Chisel Blue,14,0,31,17,26
WELD-001428,Welding Rod Red,37,33,18,3,9
PLUM-001429,Ball Valve Blue,13,8,0,33,26
ELEC-001430,Cable 2.5mm 8mm,22,40,2,5,45
ADHE-001431,PU Foam 1L,26,3,17,2,17
WELD-001432,Welding Rod Box of 100,19,42,26,33,33
ELEC-001433,Cable 2.5mm 1L,2,6,32,10,13
PAINT-001434,Paint Roller 1/2in,20,11,42,6,40
FAST-001435,Self-Tapping Screw 25kg,40,20,5,21,22
SAFE-001436,Dust Mask Box of 50,42,16,39,21,18
ABRA-001437,Grinding Wheel 1L,13,36,4,32,18
PLUM-001438,Pipe Fitting Box of 100,18,25,17,15,17
HAND-001439,Utility Knife 25kg,12,8,33,5,15
ADHE-001440,Silicone Sealant Box of 100,17,41,9,6,8
POWR-001441,Circular Saw Blue,6,24,25,35,26
MEAS-001442,Tape Measure 150mm,2,30,5,16,24
FAST-001443,Hex Nut Box of 50,40,19,30,38,3
ABRA-001444,Grinding Wheel 1in,38,17,42,45,8
ABRA-001445,Wire Brush Medium,2,10,14,13,37
WELD-001446,Gas Regulator Box of 50,12,36,39,31,36
ABRA-001447,Grinding Wheel Pro,38,45,3,38,20
POWR-001448,Impact Driver 1in,44,39,2,27,44
ABRA-001449,Flap Disc Medium,15,5,3,11,28
SAFE-001450,Work Gloves 150mm,43,23,35,33,37
SAFE-001451,Dust Mask 8mm,5,31,31,26,33
PLUM-001452,Pipe Clamp Small,22,33,32,33,31
WELD-001453,Gas Regulator Red,42,24,25,16,27
ABRA-001454,Grinding Wheel Box of 50,39,39,9,26,22
POWR-001455,Sander 10mm,29,4,8,7,35
POWR-001456,Jigsaw Heavy Duty,24,37,1,6,16
GARD-001457,Garden Hose Pro,28,10,32,27,11
ABRA-001458,Cutting Disc Blue,21,44,41,15,37
WELD-001459,Welding Rod Small,5,9,17,30,44
ELEC-001460,LED Bulb Box of 100,27,18,45,16,38
ABRA-001461,Grinding Wheel Yellow,5,38,9,44,21
ELEC-001462,Circuit Breaker Pro,16,42,27,12,36
PAINT-001463,Brush Pro,16,32,6,11,42
GARD-001464,Garden Hose 1in,0,13,35,42,18
HAND-001465,Utility Knife 150mm,43,5,0,40,6
ELEC-001466,LED Bulb Pro,21,5,41,22,23
SAFE-001467,Safety Goggles 1/2in,5,39,5,44,11
GARD-001468,Pruning Shears 100mm,4,16,3,31,43
HAND-001469,Utility Knife 1in,22,34,9,33,36
POWR-001470,Drill Medium,40,25,34,9,41
GARD-001471,Shovel Box of 100,24,36,26,11,42
SAFE-001472,Safety Goggles 1L,34,38,39,27,12
POWR-001473,Sander 1L,45,18,25,16,5
ADHE-001474,Epoxy Red,42,40,19,18,12
HAND-001475,Screwdriver 8mm,0,40,8,35,10
PAINT-001476,Masking Tape Yellow,8,13,18,40,4
MEAS-001477,Tape Measure Medium,2,14,41,0,36
POWR-001478,Heat Gun 100mm,3,27,10,8,44
ELEC-001479,Cable 2.5mm 8mm,31,4,41,16,6
HAND-001480,Utility Knife 1in,13,33,27,37,33
MEAS-001481,Tape Measure 6mm,26,6,0,1,0
POWR-001482,Heat Gun Yellow,42,31,23,7,14
ADHE-001483,Super Glue 10mm,45,27,20,20,4
GARD-001484,Pruning Shears 1/2in,39,26,32,11,41
SAFE-001485,Ear Muffs Medium,26,28,25,8,38
ABRA-001486,Sandpaper Box of 100,34,6,27,7,31
GARD-001487,Rake 12mm,3,27,43,17,20
ADHE-001488,Super Glue Box of 50,3,15,45,21,4
GARD-001489,Shovel Pro,2,19,13,5,33
GARD-001490,Wheelbarrow Pro,41,17,23,39,24
WELD-001491,Welding Mask 1L,24,32,22,17,42
ELEC-001492,LED Bulb 12mm,8,43,45,24,19
HAND-001493,Spanner Set Medium,2,30,3,37,34
PLUM-001494,Tap Mixer 6mm,22,25,33,0,6
PLUM-001495,Tap Mixer 5L,28,5,12,24,29
PLUM-001496,Tap Mixer 12mm,13,4,22,34,28
SAFE-001497,Safety Goggles Pro,34,26,27,13,23
MEAS-001498,Laser Measure Box of 50,33,13,36,16,16
HAND-001499,Hammer 1L,36,21,23,7,40
HAND-001500,Screwdriver 1in,16,19,40,33,26
GARD-001501,Rake Small,13,37,11,0,39
PAINT-001502,Primer Medium,9,37,23,20,31
PLUM-001503,Flexible Hose Red,43,14,2,9,26
POWR-001504,Heat Gun Box of 100,38,28,6,1,30
GARD-001505,Wheelbarrow 1in,1,41,43,21,2
POWR-001506,Drill 1in,6,29,13,19,31
ABRA-001507,Cutting Disc 150mm,16,4,2,43,4
ADHE-001508,Epoxy 25kg,37,37,0,10,18
SAFE-001509,Safety Helmet Yellow,14,10,19,2,8
ABRA-001510,Grinding Wheel 5L,23,30,11,16,18
ELEC-001511,Junction Box Box of 50,8,33,7,18,42
WELD-001512,Gas Regulator Red,6,29,14,15,38
FAST-001513,Rivet 150mm,35,16,6,28,5
PLUM-001514,Pipe Clamp 12mm,34,20,21,27,27
ABRA-001515,Cutting Disc 100mm,12,25,34,7,29
HAND-001516,Pliers Yellow,12,43,38,16,24
MEAS-001517,Laser Measure Box of 50,12,2,25,34,15
SAFE-001518,Dust Mask 6mm,34,8,18,29,10
SAFE-001519,Hi-Vis Vest Box of 50,26,45,42,9,13
WELD-001520,Welding Wire 3/4in,14,12,12,1,30
FAST-001521,Wood Screw Small,42,14,40,0,11
PAINT-001522,Emulsion Paint 1in,1,39,28,6,37
MEAS-001523,Tape Measure Large,14,24,32,15,20
HAND-001524,Spanner Set Yellow,32,41,37,32,12
ELEC-001525,Circuit Breaker Large,1,40,40,4,16
GARD-001526,Rake Yellow,31,14,18,31,34
SAFE-001527,Safety Goggles Medium,45,32,35,22,2
SAFE-001528,Safety Helmet 150mm,16,5,8,20,25
POWR-001529,Heat Gun Small,15,30,44,19,25
ELEC-001530,Junction Box Blue,30,25,5,20,27
FAST-001531,Washer Red,4,17,12,36,41
HAND-001532,Hammer Box of 50,39,3,21,3,14
ELEC-001533,Switch Red,27,40,21,17,2
MEAS-001534,Laser Measure 100mm,5,36,3,1,43
FAST-001535,Hex Nut Large,36,4,34,17,27
ELEC-001536,Wall Socket Large,0,0,6,12,38
SAFE-001537,Ear Muffs Medium,8,36,6,45,2
WELD-001538,Welding Mask Box of 100,8,6,27,28,25
ADHE-001539,Silicone Sealant Heavy Duty,10,39,33,32,23
HAND-001540,Pliers 1/2in,7,34,32,45,42
ABRA-001541,Wire Brush 8mm,43,35,45,5,12
PLUM-001542,PVC Pipe Medium,25,37,5,29,4
FAST-001543,Machine Bolt 6mm,27,8,18,10,43
WELD-001544,Welding Mask Box of 50,22,41,16,27,23
POWR-001545,Sander Box of 50,38,20,10,44,19
ADHE-001546,PU Foam 6mm,23,30,4,21,34
ELEC-001547,Junction Box 1in,35,5,8,44,14
GARD-001548,Garden Hose Large,28,41,39,41,14
PAINT-001549,Paint Roller Blue,40,40,12,5,14
MEAS-001550,Spirit Level Box of 50,21,42,14,20,29
WELD-001551,Welding Wire Heavy Duty,36,6,44,17,30
GARD-001552,Shovel Small,26,1,24,16,11
PAINT-001553,Primer Medium,17,23,8,11,39
ABRA-001554,Cutting Disc 100mm,38,13,1,23,23
ELEC-001555,LED Bulb 10mm,16,22,4,26,23
SAFE-001556,Hi-Vis Vest Medium,17,42,13,25,40
HAND-001557,Hand Saw 8mm,2,0,0,26,12
MEAS-001558,Laser Measure 8mm,39,3,21,6,10
ADHE-001559,Silicone Sealant 100mm,45,35,16,44,37
SAFE-001560,Safety Goggles Small,34,39,41,40,9
WELD-001561,Welding Rod 5L,41,28,25,41,39
HAND-001562,Pliers Heavy Duty,6,41,11,20,21
ELEC-001563,Cable 2.5mm Box of 100,24,23,3,20,10
POWR-001564,Jigsaw Blue,45,6,27,29,30
MEAS-001565,Square Heavy Duty,33,25,16,12,10
ABRA-001566,Cutting Disc Medium,6,32,20,45,21
HAND-001567,Hammer Box of 100,2,29,11,39,40
POWR-001568,Circular Saw 150mm,23,8,23,24,40
GARD-001569,Wheelbarrow 1in,42,45,20,23,21
SAFE-001570,Work Gloves 1in,33,0,21,45,39
POWR-001571,Impact Driver Small,4,24,33,3,21
FAST-001572,Machine Bolt 1in,41,24,13,7,4
SAFE-001573,Ear Muffs Yellow,7,41,9,21,42
ABRA-001574,Sandpaper 5L,31,6,10,32,3
MEAS-001575,Tape Measure Yellow,25,7,29,24,31
HAND-001576,Hand Saw Red,29,15,1,34,8
ELEC-001577,LED Bulb 3/4in,28,24,1,13,12
PAINT-001578,Primer Pro,12,16,40,16,44
FAST-001579,Rivet 12mm,35,9,38,10,44
PLUM-001580,PVC Pipe 10mm,15,28,23,17,3
POWR-001581,Angle Grinder 1L,35,39,6,0,34
ABRA-001582,Grinding Wheel 1in,12,4,41,45,31
ELEC-001583,Circuit Breaker 1/2in,38,1,17,39,34
ABRA-001584,Sandpaper 3/4in,3,15,38,33,17
ELEC-001585,Switch 1in,16,11,28,17,2
POWR-001586,Angle Grinder 5L,17,25,14,3,12
GARD-001587,Shovel Yellow,11,21,10,6,29
ADHE-001588,Super Glue 12mm,12,40,41,2,20
POWR-001589,Impact Driver 150mm,3,11,43,22,21
FAST-001590,Self-Tapping Screw 5L,9,34,10,11,5
ADHE-001591,PU Foam 5L,28,22,41,37,31
PLUM-001592,Flexible Hose Medium,33,17,24,4,35
POWR-001593,Impact Driver 5L,4,7,18,7,27
GARD-001594,Shovel 1in,9,18,43,2,27
MEAS-001595,Square Blue,20,42,39,6,19
PAINT-001596,Primer Box of 100,26,14,43,27,41
MEAS-001597,Laser Measure Red,8,24,1,40,34
MEAS-001598,Caliper 1/2in,40,15,33,42,9
SAFE-001599,Safety Helmet Box of 50,9,2,6,18,22
PLUM-001600,Flexible Hose Blue,16,18,2,40,15
WELD-001601,Welding Wire Yellow,19,11,40,7,23
ABRA-001602,Flap Disc 12mm,42,12,15,4,28
POWR-001603,Drill 1/2in,40,29,26,28,34
HAND-001604,Utility Knife Small,40,10,39,39,44
PAINT-001605,Thinner 8mm,31,40,18,30,30
PAINT-001606,Emulsion Paint 3/4in,26,20,35,17,37
FAST-001607,Rivet Heavy Duty,31,16,19,25,25
