Item Code,Description,Description (AR),Barcode,Category,UOM,Cost,Retail,Re-Order Qty,Notes,Mfr Part No,Brand
HW-100881,Ridgid Grinding Disc Medium,أقراص جلخ Medium,6259826565715,"GRINDING DISCS,",PCS,KD 10.001,15.346,25,Ridgid Grinding Discs - RID-62410,RID-62410,Ridgid
HW-100882,Ridgid Hi-Vis Safety Vest 18 Gauge,سترات عاكسة 18 Gauge,6430919855142,HIGH VISIBILITY VESTS,PC,14.367,19.552,5,Ridgid High Visibility Vests - RID-37092,RID-37092,Ridgid
HW-100883,Tolsen Inverter Generator 22 Gauge,مولدات كهرباء 22 Gauge,6810055289578,Generators,PCS,11.454,16.024,10,,TOL-14527,Tolsen
HW-100884,Stanley Combination Wrench 1200W,مفاتيح ربط 1200W,6682061248481,Wrenches,PC,13.291,18.462,20,Stanley Wrenches - STA-81042,,Stanley
HW-100885,Stanley Pop Rivet 24 Gauge,,6723202058477,Rivets,PCS,11.104,16.787,20,Stanley Rivets - STA-2757,STA-2757,Stanley
HW-100886,  Gulf Star Enamel Paint Medium,,6417746758018,Enamel Paint,PCS,11.284,14.733,10,,GUL-96193,Gulf Star
HW-100887,Total Safety Goggles Small,نظارات واقية Small,6234816950385,Eye Protection,PCS,KD 18.399,25.213,15,Total Eye Protection - TOT-48835,TOT-48835,Total
HW-100888,Al-Fanar Flat Washer 24 Gauge,حلقات 24 Gauge,6792812356078,Washers,Pieces,22.793,32.898,10,Al-Fanar Washers - AL--65985,AL--65985,Al-Fanar
HW-100889,Metabo Scaffolding Frame XL,سقالات XL,6396942650217,"Scaffolding,",Nos,11.913,14.531,15,Metabo Scaffolding - MET-1989,,Metabo
HW-100890,Makita Flat Washer 1200W,حلقات 1200W,6269411211370,Washers,PCS,261.639,308.836,'25,Makita Washers - MAK-24240,,Makita
HW-100891,Al-Fanar Laser Level 1kg,,6828726327645,Laser Levels,PCS,13.537,20.535,20,,AL--81703,Al-Fanar
HW-100892,Stanley Tile Adhesive Bag 10kg,لاصق بلاط 10kg,6590683064272,Tiles Adhesive,PCS,17.171,26.525,10,Stanley Tiles Adhesive - STA-33920,STA-33920,Stanley
HW-100893,Hitachi Hammer Drill 1L,مثاقب 1L,6645438908795,Drills & Drivers,PCS,22.286,30.730,20,Hitachi Drills & Drivers - HIT-10920,HIT-10920,Hitachi
HW-100894,"Makita Tape Measure 1/4 inch,",,6503665019870,Tape Measures,PCS,11.699,16.251,25,,MAK-51797,Makita
HW-100895,Skil Hi-Vis Safety Vest 10mm,سترات عاكسة 10mm,6868018209741,high visibility vests,PCS,13.840,20.199,20,,SKI-11436,Skil
HW-100896,sata welding electrode 10kg,أسياخ لحام 10kg,6300596553250,Welding Rods,PCS,0.423,0.644,20,,SAT-39314,Sata
HW-100897,Yato MCB Circuit Breaker 1L,قواطع كهربائية 1L,6890967600646,Circuit Breakers,PCS,3.960,5.542,5,,YAT-95084,Yato
HW-100898,Yato Digging Spade 750W,مجارف 750W,6541140778682,Shovels & Spades,PCS,17.312,KD 21.744,15,Yato Shovels & Spades - YAT-26935,,Yato
HW-100899,Crown Welding Mask 25Kg,ملحقات لحام 25kg,6243027138188, WELDING ACCESSORIES ,PCS,0.532,0.778,25,,CRO-91736,Crown
HW-100900,Al-Fanar Laser Level 3/4 inch,ميزان ليزر 3/4 inch,6849813211481,Laser Levels,PCS,0.462,0.627,5,Al-Fanar Laser Levels - AL--20519,AL--20519,Al-Fanar
HW-100901, Sata Plastic Water Tank 6mm ,خزانات مياه 6mm,6943474255707,Water Tanks,PCS,KD 16.309,24.950,50,,SAT-57515,Sata
HW-100902,  Ingco Steel Toe Safety Boots 24 Gauge,أحذية سلامة 24 Gauge,6460665900251,Safety Boots,PCS,18.792,22.698,25,,,Ingco
HW-100903,"Ridgid Digging Spade 650W,",,6858937142974,  Shovels & Spades,PCS,14.450,17.286,50,Ridgid Shovels & Spades - RID-42134,RID-42134,Ridgid
HW-100904,Total Galvanized Metal Sheet 18L,صفائح معدنية 18L,6419906181749,"Metal Sheets,",PCS,KD 8.911,10.711,25,,TOT-60017,Total
HW-100905,Crown Jigsaw 18L,مناشير منحنية 18L,6612490485934,Jigsaws,pcs,8.842,11.740,25,Crown Jigsaws - CRO-70175,CRO-70175,Crown
HW-100906,Truper Laser Level 450W,ميزان ليزر 450W,6570334018544,Laser Levels,PCS,15.797,22.047,'20,Truper Laser Levels - TRU-9209,TRU-9209,Truper
HW-100907,Tolsen Step Stool 1L,مقاعد درج 1L,6539161804885,Step Stools,PCS,23.834,29.149,5,Tolsen Step Stools - TOL-32922,TOL-32922,Tolsen
HW-100908,Hilti Hex Nut 18L,صواميل وبراغي 18L,6518840556826,Bolts & Nuts,PCS,20.035,28.240,50,Hilti Bolts & Nuts - HIL-10383,HIL-10383,Hilti
HW-100909,Makita Kitchen Mixer 22 Gauge,حنفيات وخلاطات 22 Gauge,6805420954000,taps & mixers,PCS,1.423,2.197,10,Makita Taps & Mixers - MAK-32150,MAK-32150,Makita
HW-100910,Ridgid Paint Thinner 50kg,تنر 50kg,6331513246388,Thinners,PCS,11.032,15.836,25,Ridgid Thinners - RID-85082,RID-85082,Ridgid
HW-100911,Ridgid Jigsaw 25mm,مناشير منحنية 25mm,6478032329974,Jigsaws.,Pieces,8.838,12.121,'20,Ridgid Jigsaws - RID-72489,,Ridgid
HW-100912,Gulf Star Flat Washer 16mm,حلقات 16mm,6571735570618,Washers,PCS,10.618,15.998,15,Gulf Star Washers - GUL-63491,,Gulf Star
HW-100913,Karcher Pop Rivet XL,مسامير برشام XL,6132080122015,Rivets,PCS,0.283,0.349,15,,,Karcher
HW-100914,Stanley Grinding Disc 25kg,,6143078736356,Grinding Discs,pc,195.448,301.458,50,Stanley Grinding Discs - STA-45694,STA-45694,Stanley
HW-100915,  Tolsen Digging Spade Small,مجارف Small,6198025904487,Shovels & Spades,PCS,11.228,16.383,10,Tolsen Shovels & Spades - TOL-48095,TOL-48095,Tolsen
HW-100916,Ingco Hammer Drill 1500W,مثاقب 1500W,6682451768377,drills & drivers,PCS,4.447,5.978,10,Ingco Drills & Drivers - ING-29987,ING-29987,Ingco
HW-100917, Stanley Silicone Sealant Tube 20L ,سيليكون 20L,6971453284326,Silicone Sealant,pcs,142.560,176.678,20,Stanley Silicone Sealant - STA-87892,,Stanley
HW-100918,Tolsen Sandpaper Sheet 22 Gauge,ورق صنفرة 22 Gauge,6691278511082,SANDPAPER,PCS,4.061,5.429,10,Tolsen Sandpaper - TOL-9007,TOL-9007,Tolsen
HW-100919,Karcher Steel Chain XL,سلاسل XL,6390471312100,Chains,PCS,5.613,6.936,15,Karcher Chains - KAR-11366,KAR-11366,Karcher
HW-100920,Hitachi Welding Mask 1500W,ملحقات لحام 1500W,6481334634502,Welding Accessories,PCS,24.013,30.692,5,Hitachi Welding Accessories - HIT-59588,HIT-59588,Hitachi
HW-100921,Total Expansion Anchor 1/4 inch,مثبتات جدارية 1/4 inch,6781447332131,Anchors & Plugs,PCS,21.218,28.953,20,,TOT-83385,Total
HW-100922,Ingco Hex Bolt Medium,صواميل وبراغي Medium,6443200708120,BOLTS & NUTS,PCS,22.681,30.023,5,Ingco Bolts & Nuts - ING-99156,,Ingco
HW-100923,Yato Safety Goggles 1 inch.,نظارات واقية 1 inch,6831525021445,Eye Protection,PC,3.125,4.566,25,Yato Eye Protection - YAT-11130,YAT-11130,Yato
HW-100924,Tolsen Dust Mask Respirator 1kg,أقنعة تنفس 1kg,6243637598485,Respirators,PCS,21.590,28.118,20,Tolsen Respirators - TOL-58190,,Tolsen
HW-100925,Black+Decker Wall Primer 16mm,برايمر 16mm,6972065542910,Primers,PCS,4.332,6.344,5,Black+Decker Primers - BLA-2701,BLA-2701,Black+Decker
HW-100926,Ridgid Flat Washer 1kg,حلقات 1kg,6808969426578,Washers,Nos,9.290,13.147,5,Ridgid Washers - RID-34399,,Ridgid
HW-100927,Total Self Tapping Screw 20L,براغي ذاتية التنصيت 20L,6574407571252,Self Tapping Screws,PCS,0.722,0.952,5,Total Self Tapping Screws - TOT-27525,TOT-27525,Total
HW-100928,Black+Decker Basin Tap 5kg,حنفيات وخلاطات 5kg,6634575528281,Taps & Mixers,PCS,8.786,13.591,'5,Black+Decker Taps & Mixers - BLA-83716,BLA-83716,Black+Decker
HW-100929,Ridgid Aluminium Ladder Small,سلالم ألمنيوم Small,6173005681562,Aluminium Ladders,PCS,21.997,32.783,'50,,RID-61153,Ridgid
HW-100930,DeWalt Sandpaper Sheet 6mm,ورق صنفرة 6mm,6781621022134,Sandpaper,PCS,17.227,22.182,25,DeWalt Sandpaper - DEW-60119,DEW-60119,DeWalt
HW-100931,Black+Decker Work Gloves 16 Gauge,قفازات 16 Gauge,6285920437138,Gloves,PCS,KWD 7.699,11.747,20,Black+Decker Gloves - BLA-8984,BLA-8984,Black+Decker
HW-100932,Al-Fanar Cold Chisel 1/4 inch,إزميل 1/4 inch,6287313151760,Chisels,PCS,13.441,17.602,10,Al-Fanar Chisels - AL--6746,AL--6746,Al-Fanar
HW-100933,Makita Wheelbarrow 1L,عربات يدوية 1L,6281403895053,Wheelbarrows,PC,17.641,26.533,10,,MAK-61602,Makita
HW-100934,Total Flexible Wire 1L,كابلات وأسلاك 1L,6509976007383,Cables & Wires,pc,8.669,12.033,'25,Total Cables & Wires - TOT-52917,,Total
HW-100935,Al-Fanar Wire Brush 1200W,,6256529703296,Wire Brushes,PCS,2.712,KWD 3.383,'50,,AL--41966,Al-Fanar
HW-100936,Yato Garden Cart 12Mm,عربات حديقة 12mm,6598567109376,Wheelbarrows & Carts,PCS,211.602,268.427,10,Yato Wheelbarrows & Carts - YAT-34560,YAT-34560,Yato
HW-100937,Tolsen Grinding Disc Small,,6816625316967,Grinding Discs,PCS,17.972,24.558,5,Tolsen Grinding Discs - TOL-79603,,Tolsen
HW-100938,Stanley Cold Chisel 20mm,إزميل 20mm,6456828883620,Chisels,PCS,1.990,2.713,5,Stanley Chisels - STA-92862,STA-92862,Stanley
HW-100939,DeWalt Spirit Level 50kg,ميزان مياه 50kg,6534048675866,Spirit Levels,PCS,1.184,1.497,15,DeWalt Spirit Levels - DEW-84061,DEW-84061,DeWalt
HW-100940,Yato Wall Switch 9L,,6699368358073,Switches & Sockets,PCS,10.597,13.954,20,Yato Switches & Sockets - YAT-5679,,Yato
HW-100941,Bosch Cement Bag 25kg,أسمنت وملاط 25kg,6706814798781,Cement & Mortar,pc,21.723,31.882,25,,,Bosch
HW-100942,"hitachi  aluminium ladder 32mm,",سلالم ألمنيوم 32mm,6409286361543,Aluminium Ladders,PCS,20.843,28.466,20,Hitachi Aluminium Ladders - HIT-16952,,Hitachi
HW-100943,Truper Circular Saw 16 Gauge,مناشير دائرية 16 Gauge,6444911078028,Circular Saws,PCS,19.426,26.092,50,,TRU-68802,Truper
HW-100944,Ingco Adjustable Wrench 25kg,مفاتيح ربط 25kg,6841181427291,Wrenches,PCS,KD 22.985,28.429,25,Ingco Wrenches - ING-12015,ING-12015,Ingco
HW-100945,DeWalt Epoxy Adhesive 1500W,,6567859374572,  EPOXY,PCS,16.091,22.220,10,DeWalt Epoxy - DEW-35278,DEW-35278,DeWalt
HW-100946,Total Locking Pliers XL,زرادية XL,6952118112006,Pliers,PCS,4.590,5.680,25,,TOT-56064,Total
HW-100947,Bosch Digging Spade 20L,مجارف 20L,6325177344833,Shovels & Spades,PCS,17.210,22.351,15,Bosch Shovels & Spades - BOS-38648,BOS-38648,Bosch
HW-100948,Crown Safety Goggles 1200W,,6206207764733,Eye Protection,PCS,1.501,1.790,15,Crown Eye Protection - CRO-5945,CRO-5945,Crown
HW-100949,Truper Wall Switch 24 Gauge,,6901866356527, Switches & Sockets ,PCS,6.700,KD 10.259,50,Truper Switches & Sockets - TRU-35511,TRU-35511,Truper
HW-100950,Total Concrete Nail 18L,مسامير 18L,6830040010709,Nails,PC,2.926,3.846,20,,TOT-60862,Total
HW-100951,Al-Fanar Platform Ladder 1L,,6475618328092,"Platform  Ladders,",PCS,110.091,131.588,5,Al-Fanar Platform Ladders - AL--55196,AL--55196,Al-Fanar
HW-100952,yato combination wrench 650w,مفاتيح ربط 650W,6396869331939,Wrenches,PC,20.149,KWD 30.185,20,Yato Wrenches - YAT-19641,YAT-19641,Yato
HW-100953,Hitachi  Hex Bolt 16 Gauge,صواميل وبراغي 16 Gauge,6207410286059,Bolts & Nuts,PC,23.557,31.189,10,Hitachi Bolts & Nuts - HIT-91908,HIT-91908,Hitachi
HW-100954,Stanley MCB Circuit Breaker Medium,قواطع كهربائية Medium,6803199044224,Circuit Breakers,PCS,0.271,0.359,5,,STA-74558,Stanley
HW-100955,Al-Fanar Cutting Disc Medium,أقراص قطع Medium,6448600947551,cutting discs,PCS,4.885,6.667,15,,AL--31722,Al-Fanar
HW-100956,Tolsen Mini Grinder Large,صنفرة زاوية Large,6974657487435,Angle Grinders,PCS,7.347,8.735,10,Tolsen Angle Grinders - TOL-79009,TOL-79009,Tolsen
HW-100957, Skil Super Glue 1L ,لاصق سريع 1L,6165601142263,Super Glue,PCS,15.168,19.337,25,Skil Super Glue - SKI-12601,SKI-12601,Skil
HW-100958,Sata Hacksaw 9L,مناشير يدوية 9L,6415073332437,hand saws,PCS,7.729,10.884,25,Sata Hand Saws - SAT-44395,,Sata
HW-100959,Yato Paint Thinner 20mm,تنر 20mm,6474222269432,Thinners,PCS,0.226,0.320,50,,,Yato
HW-100960,Makita Spirit Level Medium,,6479638632321,Spirit Levels,PCS,22.210,27.034,15,,MAK-53246,Makita
HW-100961,Yato Galvanized Metal Sheet 24 Gauge,,6500421048429,Metal Sheets,PCS,24.392,32.928,25,,YAT-98396,Yato
HW-100962,Crown Sandpaper Sheet 3/8 inch  ,ورق صنفرة 3/8 inch,6211910365740,Sandpaper,PCS,13.119,KWD 16.476,20,Crown Sandpaper - CRO-69086,CRO-69086,Crown
HW-100963,Crown Laser Level 1kg,ميزان ليزر 1kg,6687054810330,Laser Levels.,PCS,3.072,4.242,15,Crown Laser Levels - CRO-5347,CRO-5347,Crown
HW-100964,Yato Cutting Disc 25kg,,6812050544595,Cutting Discs,PCS,13.136,20.176,25,Yato Cutting Discs - YAT-31102,YAT-31102,Yato
HW-100965,Tolsen Enamel Paint 8mm,دهان زيتي 8mm,6749280100451,Enamel Paint,PCS,22.019,32.568,15,Tolsen Enamel Paint - TOL-36998,TOL-36998,Tolsen
HW-100966,Total Aluminium Ladder 8mm,سلالم ألمنيوم 8mm,6778343835392,Aluminium Ladders,PCS,24.663,33.556,20,Total Aluminium Ladders - TOT-39929,TOT-39929,Total
HW-100967,Sata Portable Generator Small,مولدات كهرباء Small,6614109599468,Generators,PCS,24.542,31.050,25,,SAT-28296,Sata
HW-100968,Black+Decker Scaffolding Frame 20 Gauge,سقالات 20 Gauge,6318510053788,Scaffolding,PCS,17.304,21.872,10,Black+Decker Scaffolding - BLA-30513,,Black+Decker
HW-100969,Stanley Step Stool 1L.,مقاعد درج 1L,6109883097233,Step Stools,PCS,15.178,KWD 18.339,10,Stanley Step Stools - STA-25374,,Stanley
HW-100970,Total Ball Valve 20L.,صمامات 20L,6531891922973,Valves,Nos,23.880,36.150,5,Total Valves - TOT-62443,TOT-62443,Total
HW-100971,Stanley Hand Saw 12mm,مناشير يدوية 12mm,6473540718374,Hand Saws,PCS,5.700,8.471,25,Stanley Hand Saws - STA-37762,STA-37762,Stanley
HW-100972," Ridgid Garden Cart Small ,",عربات حديقة Small,6783021082942,Wheelbarrows & Carts,PCS,267.717,360.554,15,Ridgid Wheelbarrows & Carts - RID-81933,RID-81933,Ridgid
HW-100973,GULF STAR ENAMEL PAINT 1KG  ,,6947721933441,Enamel Paint,PCS,6.492,8.694,5,Gulf Star Enamel Paint - GUL-71292,,Gulf Star
HW-100974,Black+Decker PVC Conduit Pipe 20L,مواسير كهرباء 20L,6979450540042,Conduits,PC,24.989,36.802,50,,BLA-29658,Black+Decker
HW-100975,Al-Fanar Work Gloves 1L,,6910132188461,Gloves,PCS,2.218,2.927,5,,AL--75132,Al-Fanar
HW-100976,GULF STAR BASIN TAP 22 GAUGE,حنفيات وخلاطات 22 Gauge,6526695750151,Taps & Mixers,PCS,4.203,5.741,20,,GUL-50827,Gulf Star
HW-100977,Gulf Star Basin Tap 650W,حنفيات وخلاطات 650W,6917441413881,Taps & Mixers.,PC,2.957,3.551,50,Gulf Star Taps & Mixers - GUL-89724,,Gulf Star
HW-100978,MAKITA WHEELBARROW 650W,,6591471643927,Wheelbarrows,PCS,19.400,26.467,20,Makita Wheelbarrows - MAK-32158,MAK-32158,Makita
HW-100979,"Hitachi Spirit Level 20L,",ميزان مياه 20L,6570570523192,Spirit  Levels,PCS,23.228,35.154,5,,HIT-54635,Hitachi
HW-100980,HITACHI SCAFFOLDING FRAME 9L,سقالات 9L,6305143674864,Scaffolding,Nos,11.437,13.752,20,,,Hitachi
HW-100981,Total Kitchen Mixer 10kg,حنفيات وخلاطات 10kg,6867400962391,Taps & Mixers,PCS,15.611,23.255,20,Total Taps & Mixers - TOT-67283,,Total
HW-100982,Black+Decker Plastic Water Tank 20mm,خزانات مياه 20mm,6946433985501,Water Tanks,PCS,24.621,35.650,25,Black+Decker Water Tanks - BLA-48447,BLA-48447,Black+Decker
HW-100983,Bosch Pruning Shears 25kg,مقصات تقليم 25kg,6485388451434,Pruning Shears  ,PCS,0.605,0.878,5,Bosch Pruning Shears - BOS-92167,BOS-92167,Bosch
HW-100984,Black+Decker Spirit Level 50kg,ميزان مياه 50kg,6325081779600,Spirit Levels,PCS,8.477,12.231,50,Black+Decker Spirit Levels - BLA-94032,BLA-94032,Black+Decker
HW-100985,Ingco Cold Chisel Large,,6929459013225,Chisels,PCS,0.357,0.448,5,Ingco Chisels - ING-95718,ING-95718,Ingco
HW-100986,Al-Fanar Enamel Paint 16 Gauge,دهان زيتي 16 Gauge,6368520170605,Enamel Paint,Nos,16.738,21.209,5,Al-Fanar Enamel Paint - AL--42712,AL--42712,Al-Fanar
HW-100987,Hitachi Extension Cord 50mm,وصلات كهرباء 50mm,6535116586839,Extension Cords,Nos,16.188,22.115,50,Hitachi Extension Cords - HIT-87350,HIT-87350,Hitachi
HW-100988,ridgid pvc conduit pipe 50kg,مواسير كهرباء 50kg,6133151989273,  Conduits,PCS,KD 73.000,104.443,5,Ridgid Conduits - RID-85472,RID-85472,Ridgid
HW-100989,Tolsen Basin Tap 50kg,حنفيات وخلاطات 50kg,6668373541908,Taps & Mixers,pcs,KWD 12.791,16.711,10,,TOL-26700,Tolsen
HW-100990,STANLEY ENAMEL PAINT 24 GAUGE  ,دهان زيتي 24 Gauge,6301158529265,Enamel Paint,PCS,12.217,17.910,10,,STA-6929,Stanley
HW-100991,Total Galvanized Metal Sheet 50mm  ,,6158541034468,Metal Sheets,PCS,16.352,19.327,10,Total Metal Sheets - TOT-27521,TOT-27521,Total
HW-100992,Hilti Long Nose Pliers 50kg,,6133882208947,Pliers,PCS,7.899,KWD 10.019,20,Hilti Pliers - HIL-2517,HIL-2517,Hilti
HW-100993,Crown  Pop Rivet 50kg,مسامير برشام 50kg,6186036131162,Rivets,PCS,23.159,31.318,25,Crown Rivets - CRO-18023,CRO-18023,Crown
HW-100994, Truper Mini Grinder 1 inch ,صنفرة زاوية 1 inch,6851742143255,Angle Grinders,PCS,KD 9.922,11.799,'50,Truper Angle Grinders - TRU-61816,TRU-61816,Truper
HW-100995,Skil Laser Level Small,ميزان ليزر Small,6365748103484,Laser Levels,PCS,15.808,19.077,50,,SKI-18160,Skil
HW-100996,ingco laser level 16mm,ميزان ليزر 16mm,6202686206625,Laser  Levels,PCS,0.711,0.953,10,Ingco Laser Levels - ING-58340,ING-58340,Ingco
HW-100997,DeWalt Thermal Insulation Sheet 10kg,عزل 10kg,6786124761422,Insulation,PCS,7.134,10.886,25,DeWalt Insulation - DEW-28003,DEW-28003,DeWalt
HW-100998,Truper Super Glue 750W,لاصق سريع 750W,6633961882497,Super Glue  ,PCS,5.348,6.511,15,Truper Super Glue - TRU-82943,,Truper
HW-100999,Black+Decker Pruning Shears 18L,,6165253509511,"Pruning Shears,",PC,9.981,KWD 12.945,10,,BLA-39187,Black+Decker
HW-101000,Gulf Star ARC Welding Machine 1kg,ماكينات لحام 1kg,6171341888046,Welding Machines,PCS,20.948,31.921,25,Gulf Star Welding Machines - GUL-13890,GUL-13890,Gulf Star
HW-101001,MAKITA HAND SAW XL,مناشير يدوية XL,6893699357737,Hand Saws,PCS,10.604,15.873,20,Makita Hand Saws - MAK-85890,,Makita
HW-101002,Ridgid Laser Level 20 Gauge,ميزان ليزر 20 Gauge,6292464102273,Laser Levels,PC,4.896,6.647,20,,RID-68554,Ridgid
HW-101003,Crown Enamel Paint 40mm  ,دهان زيتي 40mm,6115671088361,Enamel Paint,PCS,20.173,KD 29.221,50,Crown Enamel Paint - CRO-73068,CRO-73068,Crown
HW-101004,Black+Decker Mini Grinder Large,,6138417490469,Angle Grinders,PCS,19.521,23.607,15,Black+Decker Angle Grinders - BLA-28564,BLA-28564,Black+Decker
HW-101005,Sata Wood Screw 22 Gauge,,6191235327859,Wood Screws,PCS,10.077,13.757,10,Sata Wood Screws - SAT-60888,,Sata
HW-101006,Crown  Laser Level 1kg,ميزان ليزر 1kg,6367787280580,Laser Levels,pc,1.357,1.892,'15,,CRO-24754,Crown
HW-101007,Yato Cement Bag 10kg,أسمنت وملاط 10kg,6984630465429,Cement & Mortar,PCS,14.928,18.282,25,Yato Cement & Mortar - YAT-94713,YAT-94713,Yato
HW-101008,Ingco Hi-Vis Safety Vest 1/2 inch,,6395238976205,High Visibility Vests,PCS,11.373,15.993,15,Ingco High Visibility Vests - ING-44515,ING-44515,Ingco
HW-101009,Crown Plastic Water Tank XL,خزانات مياه XL,6308919940441,Water Tanks,PCS,16.716,22.159,25,Crown Water Tanks - CRO-47618,,Crown
HW-101010,Metabo Vernier Caliper 22 Gauge,فرجار قياس 22 Gauge,6762892598990,Calipers,pc,18.699,KD 27.625,'50,Metabo Calipers - MET-99275,MET-99275,Metabo
HW-101011,Karcher Safety Goggles 9L,,6119892138053,Eye Protection,PCS,9.470,13.873,50,Karcher Eye Protection - KAR-64855,KAR-64855,Karcher
HW-101012,  Ridgid Padlock 32mm,أقفال 32mm,6632755586807,Locks & Padlocks  ,Nos,8.654,12.045,20,Ridgid Locks & Padlocks - RID-56935,RID-56935,Ridgid
HW-101013,Sata Grinding Disc 1500W,أقراص جلخ 1500W,6264703601165,Grinding Discs,PCS,5.239,6.392,15,Sata Grinding Discs - SAT-9655,,Sata
HW-101014,Skil PVC Pipe 1/2 inch,مواسير بي في سي 1/2 inch,6434506325140,PVC Pipes,pc,7.608,9.698,20,,,Skil
HW-101015,Hitachi Flat Screwdriver 750W,مفكات 750W,6281519815192,Screwdrivers,Pieces,7.309,10.010,20,,HIT-20228,Hitachi
HW-101016,Black+Decker Laser Level 750W,ميزان ليزر 750W,6385369038246,Laser Levels,Pieces,16.205,19.995,20,Black+Decker Laser Levels - BLA-65261,BLA-65261,Black+Decker
HW-101017,Makita Spirit Level 10kg,ميزان مياه 10kg,6554053464051,Spirit Levels,PCS,12.323,15.397,20,Makita Spirit Levels - MAK-44348,,Makita
HW-101018,Truper Jigsaw 1 inch,مناشير منحنية 1 inch,6273099059822,"jigsaws,",PC,9.933,12.371,15,Truper Jigsaws - TRU-80911,TRU-80911,Truper
HW-101019,Black+Decker Hex Bolt 50mm,صواميل وبراغي 50mm,6674880564119,Bolts & Nuts,PCS,20.868,27.473,20,,,Black+Decker
HW-101020,Tolsen Paint Brush 20 Gauge,فرش ورولات 20 Gauge,6974233922472,Brushes & Rollers,PC,11.545,16.839,50,Tolsen Brushes & Rollers - TOL-82950,TOL-82950,Tolsen
HW-101021,Crown Construction Adhesive 16 Gauge,لاصق إنشائي 16 Gauge,6674613575734,Construction Adhesive,PCS,8.956,10.738,5,Crown Construction Adhesive - CRO-73118,CRO-73118,Crown
HW-101022,Tolsen Grinding Disc XL,,6993786446993,Grinding Discs,PCS,KWD 17.050,25.391,25,,TOL-54714,Tolsen
HW-101023, Karcher Steel Toe Safety Boots 12mm ,أحذية سلامة 12mm,6783204711893,Safety Boots,PCS,277.708,402.418,15,Karcher Safety Boots - KAR-33586,KAR-33586,Karcher
HW-101024,Stanley Door Hinge XL,مفصلات أبواب XL,6107394650927,Door Hinges,PCS,17.623,25.353,5,,,Stanley
HW-101025,Metabo Garden Cart 1L,,6844142738192,Wheelbarrows & Carts,PCS,24.836,35.674,15,Metabo Wheelbarrows & Carts - MET-49600,MET-49600,Metabo
HW-101026,Yato Impact Driver 10kg,مثاقب 10kg,6849122509269,Drills & Drivers,PCS,286.387,369.806,5,,YAT-14666,Yato
HW-101027,Black+Decker Led Bulb Small,إنارة Small,6645095780425,Lighting,PCS,1.764,2.566,50,Black+Decker Lighting - BLA-9028,BLA-9028,Black+Decker
HW-101028,Black+Decker Hex Nut 5kg.,صواميل وبراغي 5kg,6686989443604,Bolts & Nuts  ,PCS,20.928,KD 29.671,25,Black+Decker Bolts & Nuts - BLA-3281,BLA-3281,Black+Decker
HW-101029,Skil Flexible Wire 9L,كابلات وأسلاك 9L,6354626784348,Cables & Wires,PCS,22.877,35.347,10,Skil Cables & Wires - SKI-85750,,Skil
HW-101030,Black+Decker Dust Mask Respirator 32Mm,,6632776855404,Respirators,PCS,10.954,14.798,10,,,Black+Decker
HW-101031,Hitachi Scaffolding Frame 20 Gauge,سقالات 20 Gauge,6576058470962,Scaffolding,PCS,9.210,13.148,10,,HIT-49231,Hitachi
HW-101032,Al-Fanar Work Gloves 8mm  ,قفازات 8mm,6209202381094,Gloves,PCS,17.569,KWD 26.893,20,Al-Fanar Gloves - AL--96350,AL--96350,Al-Fanar
HW-101033, al-fanar sandpaper sheet 18l ,ورق صنفرة 18L,6673940961748,Sandpaper,PCS,8.769,KD 12.502,5,Al-Fanar Sandpaper - AL--91083,,Al-Fanar
HW-101034,Hitachi Door Handle 18 Gauge,مقابض أبواب 18 Gauge,6296764574546,Door Handles,PCS,36.287,52.959,50,Hitachi Door Handles - HIT-82033,,Hitachi
HW-101035,"Hitachi Step Stool 1/4 Inch,",مقاعد درج 1/4 inch,6420807469986,STEP STOOLS,PCS,KD 16.978,25.011,15,Hitachi Step Stools - HIT-45419,,Hitachi
HW-101036,Dewalt Door Hinge 12Mm,مفصلات أبواب 12mm,6615880658169,Door Hinges,PC,5.272,7.303,20,DeWalt Door Hinges - DEW-6274,,DeWalt
HW-101037,Hilti Spring Washer 3/4 inch,,6859219404844,Washers,PCS,KD 6.871,8.453,50,,HIL-57125,Hilti
HW-101038,Stanley Galvanized Metal Sheet 25mm,,6665927894828,METAL SHEETS,PCS,7.495,KD 10.079,15,,STA-14923,Stanley
HW-101039,Truper Sandpaper Sheet 20 Gauge,ورق صنفرة 20 Gauge,6460989774419,Sandpaper,PCS,5.647,7.475,10,Truper Sandpaper - TRU-38167,TRU-38167,Truper
HW-101040,Hitachi Step Stool Medium,مقاعد درج Medium,6420372049394,step stools,Pieces,5.659,7.547,25,Hitachi Step Stools - HIT-62618,HIT-62618,Hitachi
HW-101041,Total Safety Helmet 32mm,خوذات 32mm,6362957977592,Helmets,PCS,22.613,31.853,5,Total Helmets - TOT-3968,TOT-3968,Total
HW-101042,Yato Plastic Water Tank 20 Gauge,,6879812454138,water tanks,Pieces,19.721,25.030,5,Yato Water Tanks - YAT-31117,YAT-31117,Yato
HW-101043,Tolsen Jigsaw 10Kg,,6874917891142,Jigsaws,PCS,11.958,17.328,50,Tolsen Jigsaws - TOL-89782,TOL-89782,Tolsen
