SKU,Product Name,Brand,Category,Unit,Cost (KWD),Retail Price,Opening Qty,Expiry,Batch
LC-00260,Dune Matte Lipstick - 04 Crimson,Dune,Lip,Each,33.38,60.39,22,,
LC-00261,Velvet Skin Mascara - Fair,Velvet Skin,Eye Makeup,Each,26.27,55.90,17,,
LC-00262,Rouge Caprice Cushion Foundation - 02 Rose,Rouge Caprice,Foundation,Each,31.70,72.05,42,,
LC-00263,Noor Beauty Liquid Foundation - Medium,Noor Beauty,Face,Each,32.01,66.22,49,,
LC-00264,Dune Vitamin C Serum - 06 Berry,Dune,skincare,Each,30.57,69.44,52,,
LC-00265,Ohud Night Serum - Medium,Ohud,Skin Care,Each,8.14,16.53,59,,
LC-00266,Lumiere Day Cream - 02 Rose,Lumiere,skincare,Each,22.05,40.82,3,,
LC-00267,Ohud Tweezers - Deep,Ohud,Tools,Each,9.31,20.91,44,,
LC-00268,Velvet Skin Satin Lipstick - 01 Nude,Velvet Skin,Lip,Each,15.64,33.41,50,,
LC-00269,Dune Satin Lipstick - Fair,Dune,Lipstick,Each,15.13,37.50,19,,
LC-00270,Velvet Skin Cushion Foundation - 04 Crimson,Velvet Skin,Foundation,Each,25.33,59.85,8,,
LC-00271,Velvet Skin Liquid Lip - Medium,Velvet Skin,Lipstick,Each,5.23,11.91,42,,
LC-00272,Dune Toner - 01 Nude,Dune,skincare,Each,11.14,26.86,15,,
LC-00273,Velvet Skin Matte Lipstick - 03 Coral,Velvet Skin,Lip,Each,15.62,33.39,41,,
LC-00274,Velvet Skin Eau de Parfum 100ml - 04 Crimson,Velvet Skin,Fragrances,Each,24.04,60.21,13,,
LC-00275,Noor Beauty Eyeshadow Palette - Medium,Noor Beauty,Eye Makeup,Each,6.76,16.14,23,,
LC-00276,Ohud Concealer - 04 Crimson,Ohud,Face,Each,27.07,54.22,44,,
LC-00277,Lumiere Eau de Parfum 50ml - Fair,Lumiere,Fragrances,Each,26.91,50.82,45,,
LC-00278,Rouge Caprice Beauty Sponge - Fair,Rouge Caprice,Tools,Each,25.00,45.33,43,,
LC-00279,Lumiere Mascara - 03 Coral,Lumiere,Eye Makeup,Each,11.98,28.12,30,,
LC-00280,Lumiere Vitamin C Serum - Fair,Lumiere,skincare,Each,9.72,17.81,20,,
LC-00281,Dune Tweezers - 05 Mauve,Dune,Accessories,Each,21.84,54.89,44,,
LC-00282,Noor Beauty Brow Gel - Deep,Noor Beauty,Eyes,Each,16.16,36.95,31,,
LC-00283,Noor Beauty Night Serum - Medium,Noor Beauty,skincare,Each,24.66,57.35,4,,
LC-00284,Ohud Liquid Lip - 05 Mauve,Ohud,Lip,Each,24.94,64.84,35,,
LC-00285,Lumiere Eau de Parfum 50ml - 01 Nude,Lumiere,Fragrances,Each,30.51,68.37,18,,
LC-00286,Dune Beauty Sponge - 04 Crimson,Dune,Tools,Each,11.36,27.01,14,,
LC-00287,Ohud Eyeliner - 02 Rose,Ohud,Eyes,Each,18.29,39.71,53,,
LC-00288,Rouge Caprice Matte Lipstick - Fair,Rouge Caprice,Lip,Each,8.79,19.56,57,,
LC-00289,Velvet Skin Tweezers - 03 Coral,Velvet Skin,Tools,Each,4.01,8.91,38,,
LC-00290,Ohud Satin Lipstick - Fair,Ohud,Lipstick,Each,28.08,64.57,47,,
LC-00291,Velvet Skin Tweezers - Deep,Velvet Skin,Accessories,Each,13.10,31.89,8,,
LC-00292,Rouge Caprice Cushion Foundation - Medium,Rouge Caprice,Foundation,Each,22.39,55.17,39,,
LC-00293,Dune Satin Lipstick - 02 Rose,Dune,Lip,Each,26.41,66.74,51,,
LC-00294,Dune Makeup Brush Set - Medium,Dune,Accessories,Each,32.46,63.14,29,,
LC-00295,Velvet Skin Body Mist - 04 Crimson,Velvet Skin,Fragrance,Each,6.20,12.26,52,,
LC-00296,Velvet Skin Cushion Foundation - 01 Nude,Velvet Skin,Foundation,Each,16.52,35.09,37,,
LC-00297,Lumiere Eyeshadow Palette - Medium,Lumiere,Eyes,Each,25.26,57.05,22,,
LC-00298,Noor Beauty Mascara - Medium,Noor Beauty,Eye Makeup,Each,8.51,20.38,5,,
LC-00299,Ohud Cleanser - 05 Mauve,Ohud,Skincare,Each,16.99,37.10,12,,
LC-00300,Noor Beauty Liquid Foundation - 03 Coral,Noor Beauty,Foundation,Each,23.41,53.66,58,,
LC-00301,Lumiere Eyeshadow Palette - Fair,Lumiere,Eyes,Each,20.31,43.48,4,,
LC-00302,Ohud Matte Lipstick - 02 Rose,Ohud,Lip,Each,31.37,70.90,3,,
LC-00303,Noor Beauty Satin Lipstick - 03 Coral,Noor Beauty,Lip,Each,27.57,64.52,10,,
LC-00304,Dune Vitamin C Serum - Fair,Dune,skincare,Each,16.37,32.74,31,,
LC-00305,Ohud Vitamin C Serum - 02 Rose,Ohud,Skin Care,Each,7.30,18.90,4,,
LC-00306,Dune Mascara - 02 Rose,Dune,Eyes,Each,33.84,61.34,28,,
LC-00307,Noor Beauty Satin Lipstick - 01 Nude,Noor Beauty,Lip,Each,33.21,65.33,55,,
LC-00308,Rouge Caprice Eau de Parfum 100ml - Fair,Rouge Caprice,Perfumes,Each,28.27,65.83,35,,
LC-00309,Velvet Skin Brow Gel - 01 Nude,Velvet Skin,Eye Makeup,Each,21.71,44.07,55,,
LC-00310,Dune Liquid Foundation - Deep,Dune,Face,Each,21.92,53.71,49,,
LC-00311,Ohud Eyeshadow Palette - 05 Mauve,Ohud,Eyes,Each,30.74,62.32,2,,
LC-00312,Lumiere Makeup Brush Set - 02 Rose,Lumiere,Tools,Each,20.71,39.15,40,,
LC-00313,Ohud Cushion Foundation - 03 Coral,Ohud,Foundation,Each,23.24,49.73,51,,
LC-00314,Noor Beauty Eyeliner - 01 Nude,Noor Beauty,Eye Makeup,Each,9.63,24.12,1,,
LC-00315,Rouge Caprice Eyeshadow Palette - 05 Mauve,Rouge Caprice,Eyes,Each,10.63,20.60,12,,
LC-00316,Noor Beauty Body Mist - 05 Mauve,Noor Beauty,Fragrances,Each,29.55,71.46,28,,
LC-00317,Velvet Skin Cleanser - Medium,Velvet Skin,skincare,Each,24.45,50.00,18,,
LC-00318,Ohud Eau de Parfum 50ml - Fair,Ohud,Perfumes,Each,28.00,56.08,52,,
LC-00319,Rouge Caprice Toner - 02 Rose,Rouge Caprice,Skin Care,Each,24.60,49.53,43,,
LC-00320,Dune Tweezers - 02 Rose,Dune,Tools,Each,27.40,67.88,24,,
LC-00321,Noor Beauty Concealer - 02 Rose,Noor Beauty,Face,Each,23.06,57.04,56,,
LC-00322,Noor Beauty Beauty Sponge - 03 Coral,Noor Beauty,Accessories,Each,19.83,51.45,16,,
LC-00323,Velvet Skin Cushion Foundation - 03 Coral,Velvet Skin,Foundation,Each,18.14,41.78,41,,
LC-00324,Dune Liquid Foundation - Fair,Dune,Foundation,Each,21.83,42.07,59,,
LC-00325,Ohud Brow Gel - Fair,Ohud,Eye Makeup,Each,15.09,38.10,15,,
LC-00326,Rouge Caprice Cushion Foundation - 01 Nude,Rouge Caprice,Foundation,Each,27.90,57.42,45,,
LC-00327,Velvet Skin Vitamin C Serum - 01 Nude,Velvet Skin,skincare,Each,10.52,19.08,33,,
LC-00328,Dune Concealer - Medium,Dune,Face,Each,28.56,56.79,48,,
LC-00329,Ohud Liquid Foundation - 06 Berry,Ohud,Foundation,Each,27.38,63.10,28,,
LC-00330,Noor Beauty Body Mist - 01 Nude,Noor Beauty,Perfumes,Each,29.48,61.81,1,,
LC-00331,Ohud Matte Lipstick - Fair,Ohud,Lipstick,Each,20.60,40.24,9,,
LC-00332,Velvet Skin Liquid Foundation - Medium,Velvet Skin,Face,Each,23.68,60.10,20,,
LC-00333,Lumiere Liquid Foundation - 05 Mauve,Lumiere,Foundation,Each,30.15,73.15,3,,
LC-00334,Lumiere Body Mist - 06 Berry,Lumiere,Fragrances,Each,24.49,44.11,11,,
LC-00335,Ohud Beauty Sponge - 06 Berry,Ohud,Accessories,Each,12.62,25.82,21,,
LC-00336,Velvet Skin Body Mist - 06 Berry,Velvet Skin,Perfumes,Each,21.24,50.63,25,,
LC-00337,Ohud Tweezers - 02 Rose,Ohud,Accessories,Each,32.58,58.70,7,,
LC-00338,Dune Body Mist - Deep,Dune,Fragrances,Each,31.09,59.52,33,,
LC-00339,Rouge Caprice Concealer - 02 Rose,Rouge Caprice,Face,Each,11.24,24.95,31,,
LC-00340,Lumiere Toner - Deep,Lumiere,Skincare,Each,11.90,28.48,36,,
LC-00341,Noor Beauty Body Mist - Deep,Noor Beauty,Fragrance,Each,7.64,18.10,20,,
LC-00342,Dune Eyeliner - Fair,Dune,Eye Makeup,Each,15.66,37.15,9,,
LC-00343,Noor Beauty Tweezers - 03 Coral,Noor Beauty,Accessories,Each,32.43,59.39,20,,
LC-00344,Dune Liquid Lip - 01 Nude,Dune,Lipstick,Each,26.90,58.61,54,,
LC-00345,Lumiere Liquid Lip - 05 Mauve,Lumiere,Lipstick,Each,4.75,11.41,28,,
LC-00346,Dune Mascara - 02 Rose,Dune,Eye Makeup,Each,3.04,7.81,57,,
LC-00347,Rouge Caprice Beauty Sponge - 04 Crimson,Rouge Caprice,Tools,Each,5.10,9.52,11,,
LC-00348,Velvet Skin Liquid Lip - Fair,Velvet Skin,Lipstick,Each,33.32,62.66,45,,
LC-00349,Lumiere Eau de Parfum 50ml - 06 Berry,Lumiere,Perfumes,Each,16.55,37.54,50,,
LC-00350,Velvet Skin Concealer - 06 Berry,Velvet Skin,Face,Each,23.98,46.20,24,,
LC-00351,Rouge Caprice Concealer - Fair,Rouge Caprice,Foundation,Each,30.83,79.33,22,,
LC-00352,Noor Beauty Toner - 04 Crimson,Noor Beauty,Skincare,Each,20.14,38.85,3,,
LC-00353,Ohud Mascara - 06 Berry,Ohud,Eyes,Each,13.37,29.69,48,,
LC-00354,Rouge Caprice Eyeshadow Palette - 06 Berry,Rouge Caprice,Eyes,Each,33.04,70.35,44,,
LC-00355,Noor Beauty Eau de Parfum 100ml - 01 Nude,Noor Beauty,Fragrance,Each,17.00,30.89,26,,
LC-00356,Dune Body Mist - Medium,Dune,Fragrances,Each,29.95,68.21,25,,
LC-00357,Noor Beauty Makeup Brush Set - 02 Rose,Noor Beauty,Accessories,Each,15.00,36.92,35,,
LC-00358,Noor Beauty Matte Lipstick - 06 Berry,Noor Beauty,Lipstick,Each,29.68,74.44,1,,
LC-00359,Velvet Skin Vitamin C Serum - 01 Nude,Velvet Skin,skincare,Each,8.22,18.33,28,,
LC-00360,Lumiere Makeup Brush Set - 06 Berry,Lumiere,Tools,Each,8.73,17.57,26,,
LC-00361,Dune Eau de Parfum 100ml - Deep,Dune,Perfumes,Each,23.94,62.24,34,,
LC-00362,Ohud Eyeshadow Palette - 04 Crimson,Ohud,Eyes,Each,30.82,75.52,27,,
LC-00363,Rouge Caprice Satin Lipstick - Medium,Rouge Caprice,Lipstick,Each,20.80,44.61,53,,
LC-00364,Ohud Vitamin C Serum - 02 Rose,Ohud,skincare,Each,25.28,60.38,30,,
LC-00365,Lumiere Eyeliner - Fair,Lumiere,Eyes,Each,31.01,79.67,42,,
LC-00366,Dune Liquid Lip - Fair,Dune,Lip,Each,25.50,53.16,16,,
LC-00367,Lumiere Eau de Parfum 50ml - Fair,Lumiere,Perfumes,Each,27.92,54.75,13,,
LC-00368,Dune Eau de Parfum 100ml - 01 Nude,Dune,Fragrance,Each,29.12,69.61,42,,
LC-00369,Rouge Caprice Cleanser - 01 Nude,Rouge Caprice,Skincare,Each,13.37,32.84,30,,
LC-00370,Velvet Skin Vitamin C Serum - Fair,Velvet Skin,Skin Care,Each,16.12,34.22,11,,
LC-00371,Velvet Skin Tweezers - Deep,Velvet Skin,Tools,Each,18.59,42.13,54,,
LC-00372,Ohud Eau de Parfum 100ml - 01 Nude,Ohud,Fragrances,Each,33.55,64.76,39,,
LC-00373,Dune Body Mist - 04 Crimson,Dune,Fragrance,Each,12.47,30.51,30,,
LC-00374,Dune Toner - 01 Nude,Dune,Skincare,Each,28.92,71.64,19,,
LC-00375,Noor Beauty Makeup Brush Set - 06 Berry,Noor Beauty,Tools,Each,7.27,18.38,35,,
LC-00376,Lumiere Satin Lipstick - 03 Coral,Lumiere,Lip,Each,8.28,17.11,50,,
LC-00377,Velvet Skin Beauty Sponge - 01 Nude,Velvet Skin,Tools,Each,21.99,43.41,48,,
LC-00378,Velvet Skin Tweezers - Medium,Velvet Skin,Tools,Each,20.67,44.95,34,,
LC-00379,Lumiere Eau de Parfum 50ml - Medium,Lumiere,Fragrances,Each,12.83,26.92,52,,
LC-00380,Ohud Body Mist - 05 Mauve,Ohud,Perfumes,Each,30.04,61.97,43,,
LC-00381,Dune Concealer - 02 Rose,Dune,Face,Each,18.54,46.24,31,,
LC-00382,Noor Beauty Tweezers - 04 Crimson,Noor Beauty,Accessories,Each,22.65,47.46,37,,
LC-00383,Velvet Skin Day Cream - 06 Berry,Velvet Skin,Skincare,Each,13.23,27.58,42,,
LC-00384,Rouge Caprice Concealer - 01 Nude,Rouge Caprice,Face,Each,24.39,58.12,44,,
LC-00385,Noor Beauty Eyeliner - 01 Nude,Noor Beauty,Eye Makeup,Each,34.13,66.02,49,,
LC-00386,Dune Liquid Foundation - 04 Crimson,Dune,Face,Each,16.85,34.19,24,,
LC-00387,Noor Beauty Liquid Lip - 03 Coral,Noor Beauty,Lip,Each,5.98,15.09,30,,
LC-00388,Lumiere Tweezers - Medium,Lumiere,Accessories,Each,16.91,39.96,4,,
LC-00389,Rouge Caprice Tweezers - Deep,Rouge Caprice,Tools,Each,20.58,49.46,40,,
LC-00390,Rouge Caprice Brow Gel - Deep,Rouge Caprice,Eyes,Each,31.14,66.36,13,,
LC-00391,Ohud Concealer - Medium,Ohud,Foundation,Each,23.74,51.74,36,,
LC-00392,Dune Beauty Sponge - 06 Berry,Dune,Accessories,Each,27.18,61.55,26,,
LC-00393,Lumiere Body Mist - 01 Nude,Lumiere,Perfumes,Each,20.39,41.94,37,,
LC-00394,Rouge Caprice Tweezers - 01 Nude,Rouge Caprice,Tools,Each,15.61,37.61,14,,
LC-00395,Rouge Caprice Matte Lipstick - 06 Berry,Rouge Caprice,Lipstick,Each,29.37,61.94,29,,
LC-00396,Dune Liquid Foundation - 01 Nude,Dune,Foundation,Each,23.51,46.93,54,,
LC-00397,Rouge Caprice Toner - Medium,Rouge Caprice,Skin Care,Each,2.08,4.22,31,,
LC-00398,Dune Toner - Fair,Dune,Skin Care,Each,19.09,46.75,0,,
LC-00399,Noor Beauty Makeup Brush Set - Fair,Noor Beauty,Accessories,Each,26.43,56.20,17,,
LC-00400,Rouge Caprice Concealer - 02 Rose,Rouge Caprice,Foundation,Each,32.71,69.72,46,,
LC-00401,Dune Liquid Foundation - Deep,Dune,Foundation,Each,27.17,52.04,31,,
LC-00402,Noor Beauty Satin Lipstick - 04 Crimson,Noor Beauty,Lip,Each,5.31,9.69,1,,
LC-00403,Dune Matte Lipstick - 01 Nude,Dune,Lip,Each,33.90,78.73,35,,
LC-00404,Dune Eyeshadow Palette - 05 Mauve,Dune,Eyes,Each,30.57,79.09,24,,
LC-00405,Lumiere Mascara - 02 Rose,Lumiere,Eyes,Each,8.85,18.04,45,,
LC-00406,Rouge Caprice Tweezers - 02 Rose,Rouge Caprice,Accessories,Each,29.52,69.23,12,,
LC-00407,Lumiere Eyeliner - 04 Crimson,Lumiere,Eyes,Each,2.25,5.79,55,,
LC-00408,Ohud Tweezers - 04 Crimson,Ohud,Tools,Each,17.64,35.20,32,,
LC-00409,Ohud Vitamin C Serum - Fair,Ohud,skincare,Each,12.00,26.27,51,,
LC-00410,Dune Cleanser - Fair,Dune,Skin Care,Each,4.58,11.00,40,,
LC-00411,Lumiere Matte Lipstick - 06 Berry,Lumiere,Lip,Each,11.33,21.10,7,,
LC-00412,Dune Beauty Sponge - Fair,Dune,Accessories,Each,23.01,53.93,24,,
LC-00413,Lumiere Concealer - 01 Nude,Lumiere,Face,Each,29.97,65.01,1,,
LC-00414,Lumiere Eau de Parfum 100ml - Medium,Lumiere,Fragrances,Each,24.40,59.55,32,,
LC-00415,Velvet Skin Matte Lipstick - 04 Crimson,Velvet Skin,Lip,Each,13.51,29.27,58,,
LC-00416,Dune Brow Gel - Fair,Dune,Eyes,Each,23.77,47.46,57,,
LC-00417,Ohud Concealer - 06 Berry,Ohud,Face,Each,25.80,63.33,58,,
LC-00418,Velvet Skin Beauty Sponge - Medium,Velvet Skin,Tools,Each,21.75,55.83,59,,
LC-00419,Velvet Skin Matte Lipstick - Medium,Velvet Skin,Lipstick,Each,3.51,8.23,37,,
LC-00420,Noor Beauty Liquid Lip - 03 Coral,Noor Beauty,Lipstick,Each,2.53,6.15,22,,
LC-00421,Noor Beauty Eau de Parfum 100ml - Medium,Noor Beauty,Fragrances,Each,18.06,41.75,59,,
LC-00422,Dune Body Mist - 01 Nude,Dune,Fragrances,Each,9.46,17.35,55,,
LC-00423,Ohud Cushion Foundation - 06 Berry,Ohud,Foundation,Each,14.22,32.54,11,,
LC-00424,Ohud Makeup Brush Set - 06 Berry,Ohud,Tools,Each,31.32,59.52,11,,
LC-00425,Ohud Eyeliner - 05 Mauve,Ohud,Eye Makeup,Each,31.91,59.18,21,,
LC-00426,Lumiere Satin Lipstick - Fair,Lumiere,Lipstick,Each,8.92,19.99,31,,
LC-00427,Rouge Caprice Beauty Sponge - 05 Mauve,Rouge Caprice,Accessories,Each,8.89,21.61,17,,
LC-00428,Ohud Beauty Sponge - Deep,Ohud,Accessories,Each,9.57,21.15,49,,
LC-00429,Velvet Skin Eyeshadow Palette - 05 Mauve,Velvet Skin,Eyes,Each,8.76,18.90,21,,
LC-00430,Lumiere Mascara - 01 Nude,Lumiere,Eye Makeup,Each,13.20,30.26,9,,
LC-00431,Lumiere Satin Lipstick - 03 Coral,Lumiere,Lipstick,Each,19.29,48.69,14,,
LC-00432,Noor Beauty Eau de Parfum 50ml - Deep,Noor Beauty,Perfumes,Each,29.19,55.10,31,,
LC-00433,Dune Eyeliner - Fair,Dune,Eye Makeup,Each,2.07,4.46,49,,
LC-00434,Rouge Caprice Concealer - 05 Mauve,Rouge Caprice,Face,Each,16.53,34.49,2,,
LC-00435,Lumiere Cleanser - 03 Coral,Lumiere,skincare,Each,21.74,43.60,15,,
LC-00436,Dune Body Mist - Medium,Dune,Perfumes,Each,10.38,21.89,15,,
LC-00437,Velvet Skin Liquid Foundation - Fair,Velvet Skin,Face,Each,31.00,59.31,4,,
LC-00438,Velvet Skin Beauty Sponge - Fair,Velvet Skin,Tools,Each,33.35,85.13,35,,
LC-00439,Rouge Caprice Liquid Lip - Medium,Rouge Caprice,Lipstick,Each,12.16,27.34,1,,
LC-00440,Velvet Skin Day Cream - Fair,Velvet Skin,Skincare,Each,24.78,60.00,29,,
LC-00441,Velvet Skin Beauty Sponge - 02 Rose,Velvet Skin,Accessories,Each,8.75,20.74,58,,
LC-00442,Noor Beauty Satin Lipstick - 05 Mauve,Noor Beauty,Lip,Each,33.27,78.16,8,,
LC-00443,Rouge Caprice Liquid Lip - 01 Nude,Rouge Caprice,Lipstick,Each,14.66,35.56,60,,
LC-00444,Velvet Skin Liquid Lip - Fair,Velvet Skin,Lip,Each,23.22,48.65,46,,
LC-00445,Rouge Caprice Makeup Brush Set - 03 Coral,Rouge Caprice,Accessories,Each,27.78,67.81,17,,
LC-00446,Lumiere Night Serum - 03 Coral,Lumiere,skincare,Each,24.79,48.79,11,,
LC-00447,Rouge Caprice Tweezers - 06 Berry,Rouge Caprice,Tools,Each,25.98,50.55,6,,
LC-00448,Velvet Skin Mascara - 06 Berry,Velvet Skin,Eye Makeup,Each,23.04,58.75,10,,
LC-00449,Ohud Liquid Lip - 05 Mauve,Ohud,Lipstick,Each,28.37,69.63,5,,
LC-00450,Lumiere Concealer - 01 Nude,Lumiere,Foundation,Each,28.03,51.92,14,,
LC-00451,Ohud Day Cream - Fair,Ohud,Skincare,Each,20.32,48.10,12,,
LC-00452,Rouge Caprice Beauty Sponge - Medium,Rouge Caprice,Tools,Each,5.45,13.48,1,,
LC-00453,Lumiere Satin Lipstick - Medium,Lumiere,Lipstick,Each,31.91,67.24,19,,
LC-00454,Rouge Caprice Night Serum - 05 Mauve,Rouge Caprice,Skincare,Each,30.94,73.19,39,,
LC-00455,Rouge Caprice Eau de Parfum 50ml - 06 Berry,Rouge Caprice,Perfumes,Each,16.67,32.48,40,,
LC-00456,Velvet Skin Liquid Lip - Deep,Velvet Skin,Lipstick,Each,24.06,48.61,26,,
LC-00457,Lumiere Beauty Sponge - Deep,Lumiere,Accessories,Each,34.75,81.81,26,,
LC-00458,Rouge Caprice Toner - 03 Coral,Rouge Caprice,skincare,Each,29.02,66.97,53,,
LC-00459,Rouge Caprice Cushion Foundation - Fair,Rouge Caprice,Foundation,Each,22.14,46.51,28,,
LC-00460,Dune Brow Gel - 06 Berry,Dune,Eye Makeup,Each,30.78,76.86,41,,
LC-00461,Lumiere Eyeshadow Palette - Medium,Lumiere,Eye Makeup,Each,18.90,42.31,56,,
LC-00462,Dune Eau de Parfum 100ml - 03 Coral,Dune,Fragrance,Each,28.66,64.91,44,,
LC-00463,Ohud Cushion Foundation - Medium,Ohud,Foundation,Each,10.90,23.42,10,,
LC-00464,Lumiere Night Serum - 05 Mauve,Lumiere,skincare,Each,5.26,10.16,8,,
LC-00465,Velvet Skin Toner - 02 Rose,Velvet Skin,skincare,Each,7.68,17.77,40,,
LC-00466,Velvet Skin Cleanser - Medium,Velvet Skin,Skin Care,Each,5.68,11.66,10,,
LC-00467,Rouge Caprice Eyeshadow Palette - 02 Rose,Rouge Caprice,Eyes,Each,25.99,65.73,24,,
LC-00468,Noor Beauty Day Cream - 04 Crimson,Noor Beauty,Skin Care,Each,22.38,56.53,47,,
LC-00469,Dune Concealer - 04 Crimson,Dune,Face,Each,30.94,79.78,33,,
LC-00470,Noor Beauty Cleanser - 01 Nude,Noor Beauty,skincare,Each,20.26,47.25,18,,
LC-00471,Velvet Skin Tweezers - Fair,Velvet Skin,Tools,Each,7.50,18.49,37,,
LC-00472,Velvet Skin Concealer - 04 Crimson,Velvet Skin,Foundation,Each,9.27,22.25,58,,
LC-00473,Lumiere Toner - 02 Rose,Lumiere,skincare,Each,10.39,26.30,36,,
LC-00474,Dune Concealer - 04 Crimson,Dune,Foundation,Each,13.41,28.86,45,,
LC-00475,Dune Day Cream - 02 Rose,Dune,Skincare,Each,34.27,87.59,5,,
LC-00476,Noor Beauty Eyeshadow Palette - 03 Coral,Noor Beauty,Eyes,Each,20.35,37.75,0,,
LC-00477,Lumiere Eyeshadow Palette - 04 Crimson,Lumiere,Eyes,Each,26.43,54.69,34,,
LC-00478,Dune Beauty Sponge - 03 Coral,Dune,Tools,Each,35.00,63.21,9,,
LC-00479,Rouge Caprice Day Cream - 05 Mauve,Rouge Caprice,Skin Care,Each,18.40,42.67,7,,
LC-00480,Rouge Caprice Makeup Brush Set - 05 Mauve,Rouge Caprice,Tools,Each,4.94,9.86,47,,
LC-00481,Noor Beauty Liquid Foundation - 01 Nude,Noor Beauty,Face,Each,13.85,29.33,9,,
LC-00482,Ohud Makeup Brush Set - 06 Berry,Ohud,Accessories,Each,14.20,35.06,55,,
LC-00483,Rouge Caprice Cleanser - 06 Berry,Rouge Caprice,Skincare,Each,19.74,39.15,23,,
LC-00484,Noor Beauty Eau de Parfum 50ml - 01 Nude,Noor Beauty,Fragrances,Each,24.38,46.89,1,,
LC-00485,Velvet Skin Eau de Parfum 50ml - 05 Mauve,Velvet Skin,Fragrances,Each,12.29,22.29,0,,
LC-00486,Ohud Toner - 04 Crimson,Ohud,Skincare,Each,31.05,76.82,56,,
LC-00487,Lumiere Vitamin C Serum - 03 Coral,Lumiere,Skin Care,Each,5.32,11.68,47,,
LC-00488,Velvet Skin Eau de Parfum 100ml - 02 Rose,Velvet Skin,Fragrances,Each,3.07,7.17,8,,
LC-00489,Lumiere Satin Lipstick - 05 Mauve,Lumiere,Lipstick,Each,23.62,59.51,40,,
LC-00490,Ohud Cleanser - 03 Coral,Ohud,skincare,Each,7.75,14.49,32,,
LC-00491,Velvet Skin Night Serum - 06 Berry,Velvet Skin,Skin Care,Each,9.79,24.96,59,,
LC-00492,Dune Makeup Brush Set - 01 Nude,Dune,Tools,Each,7.29,15.75,34,,
LC-00493,Lumiere Eau de Parfum 50ml - 04 Crimson,Lumiere,Fragrance,Each,21.72,43.30,37,,
LC-00494,Rouge Caprice Eyeliner - 06 Berry,Rouge Caprice,Eye Makeup,Each,22.75,46.96,27,,
LC-00495,Ohud Day Cream - Medium,Ohud,Skincare,Each,26.76,59.60,20,,
LC-00496,Velvet Skin Eau de Parfum 50ml - 03 Coral,Velvet Skin,Fragrances,Each,10.48,24.73,39,,
LC-00497,Velvet Skin Liquid Foundation - 04 Crimson,Velvet Skin,Face,Each,24.39,54.10,44,,
LC-00498,Noor Beauty Makeup Brush Set - 03 Coral,Noor Beauty,Tools,Each,9.69,22.91,9,,
LC-00499,Lumiere Tweezers - Fair,Lumiere,Tools,Each,21.98,42.17,0,,
LC-00500,Lumiere Cushion Foundation - Fair,Lumiere,Face,Each,33.09,71.71,55,,
LC-00501,Lumiere Cleanser - 06 Berry,Lumiere,skincare,Each,22.13,48.60,8,,
LC-00502,Ohud Brow Gel - Medium,Ohud,Eye Makeup,Each,28.36,55.71,24,,
LC-00503,Dune Makeup Brush Set - 05 Mauve,Dune,Tools,Each,20.15,37.23,20,,
LC-00504,Rouge Caprice Tweezers - 03 Coral,Rouge Caprice,Accessories,Each,6.54,12.21,55,,
LC-00505,Rouge Caprice Makeup Brush Set - 04 Crimson,Rouge Caprice,Tools,Each,9.69,25.16,22,,
LC-00506,Velvet Skin Liquid Lip - 04 Crimson,Velvet Skin,Lipstick,Each,28.65,60.53,17,,
LC-00507,Noor Beauty Body Mist - 06 Berry,Noor Beauty,Fragrance,Each,15.13,35.06,2,,
LC-00508,Ohud Cushion Foundation - Fair,Ohud,Face,Each,10.38,23.54,36,,
LC-00509,Velvet Skin Eyeliner - 06 Berry,Velvet Skin,Eyes,Each,12.53,28.25,41,,
LC-00510,Dune Tweezers - 06 Berry,Dune,Tools,Each,33.95,73.59,37,,
LC-00511,Ohud Satin Lipstick - 05 Mauve,Ohud,Lipstick,Each,30.77,67.28,44,,
LC-00512,Velvet Skin Day Cream - 05 Mauve,Velvet Skin,Skincare,Each,30.31,72.80,30,,
LC-00513,Velvet Skin Concealer - 05 Mauve,Velvet Skin,Face,Each,26.94,64.49,19,,
LC-00514,Lumiere Liquid Lip - 05 Mauve,Lumiere,Lip,Each,9.07,18.23,13,,
LC-00515,Lumiere Eau de Parfum 50ml - Medium,Lumiere,Fragrance,Each,8.07,14.65,30,,
LC-00516,Rouge Caprice Liquid Lip - 04 Crimson,Rouge Caprice,Lipstick,Each,14.04,28.09,27,,
LC-00517,Ohud Cleanser - 04 Crimson,Ohud,Skin Care,Each,25.72,62.24,54,,
LC-00518,Dune Satin Lipstick - 05 Mauve,Dune,Lip,Each,20.03,39.75,3,,
LC-00519,Rouge Caprice Liquid Foundation - 03 Coral,Rouge Caprice,Foundation,Each,19.11,48.65,32,,
LC-00520,Dune Cushion Foundation - Deep,Dune,Face,Each,18.30,33.76,50,,
LC-00521,Dune Liquid Foundation - 03 Coral,Dune,Foundation,Each,4.96,12.26,47,,
LC-00522,Velvet Skin Makeup Brush Set - Medium,Velvet Skin,Tools,Each,28.25,60.97,25,,
LC-00523,Rouge Caprice Mascara - Medium,Rouge Caprice,Eye Makeup,Each,20.99,39.55,36,,
LC-00524,Lumiere Body Mist - 05 Mauve,Lumiere,Fragrance,Each,15.33,35.15,50,,
