sku,warehouse,quantity,unitCost,trackingType,partNumber,serialNumbers
HW-101019,Ardiya Warehouse,5,20.868,none,BLA-55676,
HW-101020,Ardiya Warehouse,2,11.545,none,TOL-82950,
HW-101021,Ardiya Warehouse,3,8.956,batch,CRO-73118,
HW-101022,Fahaheel Branch,4,17.050,none,,
HW-101023,Shuwaikh Main,3,277.708,none,KAR-33586,
HW-101024,Fahaheel Branch,0,17.623,none,STA-81992,
HW-101025,Fahaheel Branch,0,KWD 24.836,none,MET-49600,
HW-101026,Ardiya Warehouse,2,286.387,serial,YAT-14666,SN-HW-101026-1;SN-HW-101026-2
HW-101027,Fahaheel Branch,0,1.764,none,BLA-9028,
HW-101028,Fahaheel Branch,1,20.928,none,BLA-3281,
HW-101029,Rai Branch,0,22.877,none,SKI-85750,
HW-101030,Ardiya Warehouse,5,10.954,none,BLA-75493,
HW-101031,Shuwaikh Main,4,9.210,none,HIT-49231,
HW-101032,Fahaheel Branch,0,17.569,none,AL--96350,
HW-101033,Ardiya Warehouse,5,KWD 8.769,none,AL--91083,
HW-101034,Shuwaikh Main,0,36.287,none,HIT-82033,
HW-101035,Rai Branch,1,KWD 16.978,none,HIT-45419,
HW-101036,Fahaheel Branch,0,5.272,none,DEW-6274,
HW-101037,Fahaheel Branch,0,6.871,none,HIL-57125,
HW-101038,Ardiya Warehouse,0,7.495,none,STA-14923,
HW-101039,Shuwaikh Main,0,5.647,none,TRU-38167,
HW-101040,Rai Branch,0,5.659,none,HIT-62618,
HW-101041,Shuwaikh Main,0,22.613,none,,
HW-101042,Ardiya Warehouse,4,19.721,none,YAT-31117,
HW-101043,Ardiya Warehouse,3,11.958,serial,TOL-89782,SN-HW-101043-1;SN-HW-101043-2;SN-HW-101043-3
HW-101044,Fahaheel Branch,2,10.824,none,RID-82513,
HW-101045,Rai Branch,2,12.601,none,HIL-47343,
HW-101046,Shuwaikh Main,2,KD 10.414,none,GUL-98959,
HW-101047,Shuwaikh Main,5,8.094,none,YAT-36381,
HW-101048,Shuwaikh Main,5,2.963,none,TOT-40971,
HW-101049,Fahaheel Branch,0,13.213,none,SKI-12184,
HW-101050,Rai Branch,1,20.967,none,KAR-14078,
HW-101051,Ardiya Warehouse,1,22.679,none,KAR-68324,
HW-101052,Rai Branch,0,24.656,none,BOS-53936,
HW-101053,Ardiya Warehouse,0,4.691,none,SKI-3763,
HW-101054,Ardiya Warehouse,2,20.150,none,KAR-39730,
HW-101055,Rai Branch,0,239.390,none,AL--38856,
HW-101056,Fahaheel Branch,4,10.149,none,MET-49251,
HW-101057,Ardiya Warehouse,2,7.908,none,GUL-24801,
HW-101058,Ardiya Warehouse,4,0.659,none,TOL-45665,
HW-101059,Ardiya Warehouse,3,12.899,none,MET-53381,
HW-101060,Shuwaikh Main,1,11.114,none,YAT-56452,
HW-101061,Shuwaikh Main,4,2.390,none,RID-54800,
HW-101062,Ardiya Warehouse,3,4.037,none,STA-54961,
HW-101063,Fahaheel Branch,3,10.452,batch,SKI-16669,
HW-101064,Rai Branch,4,1.616,serial,ING-4358,SN-HW-101064-1;SN-HW-101064-2;SN-HW-101064-3;SN-HW-101064-4
HW-101065,Shuwaikh Main,2,2.398,none,TOL-89795,
HW-101066,Fahaheel Branch,3,21.028,none,KAR-26183,
HW-101067,Ardiya Warehouse,3,14.660,none,BLA-9287,
HW-101068,Rai Branch,5,KWD 7.087,none,RID-11650,
HW-101069,Rai Branch,5,232.400,serial,,SN-HW-101069-1;SN-HW-101069-2;SN-HW-101069-3;SN-HW-101069-4;SN-HW-101069-5
HW-101070,Rai Branch,4,16.887,none,DEW-92857,
HW-101071,Rai Branch,0,16.649,none,DEW-92216,
HW-101072,Fahaheel Branch,5,11.562,none,HIT-32963,
HW-101073,Rai Branch,1,17.847,none,MAK-65441,
HW-101074,Fahaheel Branch,4,12.459,none,SAT-21227,
HW-101075,Shuwaikh Main,0,6.041,batch,RID-32954,
HW-101076,Ardiya Warehouse,2,3.878,none,STA-64489,
HW-101077,Rai Branch,5,1.195,none,DEW-46513,
HW-101078,Fahaheel Branch,4,10.650,none,KAR-35506,
HW-101079,Rai Branch,0,KD 19.939,none,BLA-84867,
HW-101080,Ardiya Warehouse,3,19.735,none,TRU-20857,
HW-101081,Shuwaikh Main,5,21.151,none,MET-25823,
HW-101082,Ardiya Warehouse,0,22.881,none,BOS-88331,
HW-101083,Shuwaikh Main,4,23.721,serial,CRO-46644,SN-HW-101083-1;SN-HW-101083-2;SN-HW-101083-3;SN-HW-101083-4
HW-101084,Ardiya Warehouse,0,5.439,none,GUL-21454,
HW-101085,Shuwaikh Main,2,24.957,none,,
HW-101086,Rai Branch,1,8.780,none,YAT-10386,
HW-101087,Rai Branch,1,16.928,serial,MET-99874,SN-HW-101087-1
HW-101088,Fahaheel Branch,1,22.425,none,KAR-78252,
HW-101089,Ardiya Warehouse,5,17.255,none,SKI-14417,
HW-101090,Shuwaikh Main,0,4.840,none,SKI-78612,
HW-101091,Rai Branch,4,KD 24.782,batch,,
HW-101092,Shuwaikh Main,0,14.320,none,STA-27325,
HW-101093,Shuwaikh Main,4,8.043,none,DEW-99631,
HW-101094,Shuwaikh Main,0,95.927,none,KAR-31941,
HW-101095,Shuwaikh Main,0,5.395,none,HIT-26659,
HW-101096,Rai Branch,3,1.749,none,CRO-63088,
HW-101097,Fahaheel Branch,0,10.017,none,GUL-20198,
HW-101098,Shuwaikh Main,0,15.716,none,MET-43937,
HW-101099,Shuwaikh Main,0,58.800,none,TRU-6156,
HW-101100,Shuwaikh Main,5,6.295,batch,TOT-2801,
HW-101101,Rai Branch,3,7.870,none,TOL-2472,
HW-101102,Shuwaikh Main,0,1.851,none,CRO-22702,
HW-101103,Rai Branch,0,2.652,none,DEW-27633,
HW-101104,Shuwaikh Main,3,13.498,serial,,SN-HW-101104-1;SN-HW-101104-2;SN-HW-101104-3
HW-101105,Shuwaikh Main,1,10.600,none,DEW-10686,
HW-101106,Shuwaikh Main,1,KD 22.411,none,HIT-51158,
HW-101107,Fahaheel Branch,2,17.019,none,TOT-53186,
HW-101108,Fahaheel Branch,4,12.313,batch,RID-85522,
HW-101109,Fahaheel Branch,0,14.370,none,ING-98226,
HW-101110,Fahaheel Branch,3,22.545,none,STA-68498,
HW-101111,Fahaheel Branch,2,16.341,serial,HIT-36674,SN-HW-101111-1;SN-HW-101111-2
HW-101112,Rai Branch,1,0.963,none,MET-35630,
HW-101113,Rai Branch,4,17.196,none,MAK-11752,
HW-101114,Ardiya Warehouse,3,6.493,none,BLA-99997,
HW-101115,Shuwaikh Main,3,2.282,none,BOS-82828,
HW-101116,Rai Branch,0,20.055,none,KAR-35377,
HW-101117,Ardiya Warehouse,1,17.936,none,HIL-38754,
HW-101118,Ardiya Warehouse,3,2.007,none,SAT-30502,
HW-101119,Ardiya Warehouse,4,4.306,none,HIL-22207,
HW-101120,Shuwaikh Main,3,14.679,serial,,SN-HW-101120-1;SN-HW-101120-2;SN-HW-101120-3
HW-101121,Rai Branch,3,22.614,none,DEW-90448,
HW-101122,Shuwaikh Main,3,12.169,none,YAT-98550,
HW-101123,Fahaheel Branch,3,KD 16.202,none,SKI-57561,
HW-101124,Shuwaikh Main,4,42.894,serial,TOL-53391,SN-HW-101124-1;SN-HW-101124-2;SN-HW-101124-3;SN-HW-101124-4
HW-101125,Ardiya Warehouse,5,6.567,none,YAT-60624,
HW-101126,Shuwaikh Main,3,8.012,serial,HIT-33470,SN-HW-101126-1;SN-HW-101126-2;SN-HW-101126-3
HW-101127,Fahaheel Branch,3,7.889,none,MAK-34829,
HW-101128,Shuwaikh Main,3,3.796,none,,
HW-101129,Ardiya Warehouse,2,2.426,serial,YAT-72223,SN-HW-101129-1;SN-HW-101129-2
HW-101130,Rai Branch,5,KD 4.994,none,SKI-37058,
HW-101131,Fahaheel Branch,5,15.449,serial,DEW-88180,SN-HW-101131-1;SN-HW-101131-2;SN-HW-101131-3;SN-HW-101131-4;SN-HW-101131-5
HW-101132,Ardiya Warehouse,0,16.738,serial,HIT-64352,
HW-101133,Ardiya Warehouse,1,15.161,none,YAT-66517,
HW-101134,Ardiya Warehouse,0,KD 2.892,none,,
HW-101135,Shuwaikh Main,3,15.632,none,GUL-64057,
HW-101136,Shuwaikh Main,2,15.023,none,DEW-1852,
HW-101137,Shuwaikh Main,4,8.623,none,DEW-19964,
HW-101138,Fahaheel Branch,0,23.768,none,TRU-21999,
HW-101139,Shuwaikh Main,0,22.233,none,GUL-61728,
HW-101140,Rai Branch,0,0.305,batch,SAT-32886,
HW-101141,Ardiya Warehouse,5,108.669,none,,
HW-101142,Shuwaikh Main,0,2.316,batch,TOT-96686,
HW-101143,Fahaheel Branch,2,0.393,none,HIL-49889,
HW-101144,Shuwaikh Main,0,20.869,none,YAT-12878,
HW-101145,Shuwaikh Main,5,5.240,none,STA-58592,
HW-101146,Rai Branch,0,0.645,none,MET-51678,
HW-101147,Rai Branch,3,20.519,none,HIL-9116,
HW-101148,Ardiya Warehouse,0,3.068,none,DEW-60237,
HW-101149,Fahaheel Branch,2,3.843,none,ING-59835,
HW-101150,Fahaheel Branch,4,6.412,none,RID-4432,
HW-101151,Rai Branch,5,20.857,none,AL--64251,
HW-101152,Fahaheel Branch,4,19.051,none,HIT-14263,
HW-101153,Shuwaikh Main,5,3.660,none,MAK-70452,
HW-101154,Fahaheel Branch,0,121.211,none,TOT-6172,
HW-101155,Ardiya Warehouse,4,18.158,none,,
HW-101156,Fahaheel Branch,2,7.204,none,HIL-42512,
HW-101157,Ardiya Warehouse,0,14.747,serial,SKI-39131,
HW-101158,Rai Branch,4,15.876,none,BOS-24723,
HW-101159,Fahaheel Branch,5,24.325,none,KAR-15279,
HW-101160,Rai Branch,0,281.905,none,,
HW-101161,Shuwaikh Main,2,KWD 20.151,none,,
HW-101162,Ardiya Warehouse,0,10.032,none,SAT-15397,
HW-101163,Shuwaikh Main,1,6.776,none,HIL-62117,
HW-101164,Shuwaikh Main,2,23.508,none,AL--93820,
HW-101165,Ardiya Warehouse,2,7.390,none,TOL-64127,
HW-101166,Ardiya Warehouse,5,19.419,none,AL--53502,
HW-101167,Ardiya Warehouse,1,0.443,none,,
HW-101168,Fahaheel Branch,0,11.354,none,,
HW-101169,Rai Branch,0,5.431,none,RID-82885,
HW-101170,Fahaheel Branch,3,7.415,none,TRU-33148,
HW-101171,Rai Branch,4,20.869,none,,
HW-101172,Shuwaikh Main,0,13.971,none,AL--59198,
HW-101173,Shuwaikh Main,1,24.553,none,GUL-4408,
HW-101174,Shuwaikh Main,0,16.695,batch,AL--6364,
HW-101175,Shuwaikh Main,4,KWD 24.618,batch,BOS-34509,
HW-101176,Rai Branch,0,15.709,batch,STA-10346,
HW-101177,Rai Branch,5,7.030,batch,TOL-86192,
HW-101178,Fahaheel Branch,3,20.230,none,GUL-49204,
HW-101179,Fahaheel Branch,2,KD 21.266,none,RID-67988,
HW-101180,Shuwaikh Main,0,0.861,batch,HIT-23088,
HW-101181,Fahaheel Branch,0,3.697,none,TOT-82399,
HW-101182,Fahaheel Branch,3,16.936,none,CRO-71135,
HW-101183,Shuwaikh Main,2,6.223,none,TRU-69414,
HW-101184,Fahaheel Branch,0,19.620,none,CRO-68185,
HW-101185,Ardiya Warehouse,1,24.288,none,YAT-80030,
HW-101186,Ardiya Warehouse,3,0.886,none,CRO-57409,
HW-101187,Ardiya Warehouse,2,10.966,none,TRU-53940,
HW-101188,Rai Branch,0,21.346,none,TRU-84189,
HW-101189,Shuwaikh Main,0,16.407,batch,MAK-90778,
HW-101190,Fahaheel Branch,4,7.774,none,MET-97704,
HW-101191,Ardiya Warehouse,3,14.251,none,BOS-87171,
HW-101192,Rai Branch,4,21.083,none,SAT-48230,
HW-101193,Rai Branch,3,KWD 280.668,none,TOL-72417,
HW-101194,Rai Branch,0,4.394,none,SKI-38882,
HW-101195,Shuwaikh Main,1,23.633,batch,TOL-42724,
HW-101196,Rai Branch,4,6.563,none,SAT-74761,
HW-101197,Shuwaikh Main,0,17.030,none,TRU-49723,
HW-101198,Fahaheel Branch,0,14.772,none,ING-80303,
HW-101199,Shuwaikh Main,5,6.683,batch,YAT-14620,
HW-101200,Ardiya Warehouse,3,3.136,none,MET-71239,
HW-101201,Rai Branch,4,21.313,batch,BOS-72055,
HW-101202,Fahaheel Branch,3,13.158,none,HIL-89304,
HW-101203,Fahaheel Branch,0,12.553,none,,
HW-101204,Ardiya Warehouse,3,23.245,none,TOT-23555,
HW-101205,Shuwaikh Main,5,1.071,none,,
HW-101206,Rai Branch,5,15.877,none,SKI-89110,
HW-101207,Shuwaikh Main,1,5.340,batch,BOS-91590,
HW-101208,Shuwaikh Main,5,21.309,none,AL--18612,
HW-101209,Ardiya Warehouse,0,0.138,none,HIT-81456,
HW-101210,Shuwaikh Main,3,KWD 13.409,none,TRU-84065,
HW-101211,Ardiya Warehouse,4,18.737,none,TRU-27613,
HW-101212,Ardiya Warehouse,0,9.861,none,GUL-33260,
HW-101213,Fahaheel Branch,2,153.125,none,SAT-58586,
HW-101214,Rai Branch,0,KWD 20.204,none,RID-11491,
HW-101215,Shuwaikh Main,3,17.682,none,STA-80638,
HW-101216,Rai Branch,0,13.867,batch,BLA-12297,
HW-101217,Shuwaikh Main,2,14.585,none,SAT-33010,
HW-101218,Fahaheel Branch,0,9.282,none,AL--96268,
HW-101219,Rai Branch,4,11.649,none,DEW-54003,
HW-101220,Shuwaikh Main,0,8.922,none,HIT-57548,
HW-101221,Rai Branch,4,6.033,none,CRO-81250,
HW-101222,Ardiya Warehouse,2,23.891,none,SAT-78707,
HW-101223,Ardiya Warehouse,5,4.698,none,DEW-19943,
HW-101224,Shuwaikh Main,0,14.387,none,BLA-60459,
HW-101225,Ardiya Warehouse,3,1.236,none,TOL-96578,
HW-101226,Ardiya Warehouse,2,KWD 9.000,none,STA-29570,
HW-101227,Shuwaikh Main,0,8.744,none,DEW-45344,
HW-101228,Rai Branch,0,19.857,none,TOT-11235,
HW-101229,Shuwaikh Main,2,KD 1.814,none,ING-80899,
HW-101230,Shuwaikh Main,4,0.417,none,TRU-62727,
HW-101231,Ardiya Warehouse,3,3.995,none,AL--5869,
HW-101232,Fahaheel Branch,0,12.782,batch,BOS-76907,
HW-101233,Fahaheel Branch,3,0.463,batch,SKI-27663,
HW-101234,Rai Branch,4,5.807,none,SAT-26904,
HW-101235,Ardiya Warehouse,4,KWD 21.306,none,TOT-31039,
HW-101236,Shuwaikh Main,5,KWD 14.166,none,BOS-37488,
HW-101237,Shuwaikh Main,0,KWD 6.059,batch,AL--73520,
HW-101238,Fahaheel Branch,0,19.389,none,ING-49180,
HW-101239,Ardiya Warehouse,4,12.632,batch,GUL-60955,
HW-101240,Rai Branch,4,KWD 4.656,none,TRU-39353,
HW-101241,Rai Branch,3,15.522,none,CRO-23758,
HW-101242,Shuwaikh Main,3,6.388,none,TOT-50901,
HW-101243,Ardiya Warehouse,2,261.019,none,MET-22755,
HW-101244,Shuwaikh Main,0,22.637,none,GUL-91709,
HW-101245,Shuwaikh Main,3,19.955,none,SKI-45133,
HW-101246,Rai Branch,1,13.491,none,,
HW-101247,Fahaheel Branch,1,20.049,none,DEW-94464,
HW-101248,Rai Branch,0,24.115,none,YAT-76478,
HW-101249,Rai Branch,5,11.221,batch,MAK-19113,
HW-101250,Ardiya Warehouse,0,12.304,none,HIL-19949,
HW-101251,Ardiya Warehouse,1,KD 15.020,none,,
HW-101252,Rai Branch,2,24.446,none,HIL-68192,
HW-101253,Ardiya Warehouse,1,21.482,none,HIL-94773,
HW-101254,Shuwaikh Main,2,17.547,none,YAT-43659,
HW-101255,Shuwaikh Main,0,2.882,none,TOT-58476,
HW-101256,Fahaheel Branch,5,7.693,none,MET-70196,
HW-101257,Shuwaikh Main,0,4.092,none,GUL-25081,
HW-101258,Ardiya Warehouse,0,17.181,none,,
HW-101259,Shuwaikh Main,1,13.711,none,HIL-51472,
HW-101260,Fahaheel Branch,1,21.103,none,CRO-46127,
HW-101261,Fahaheel Branch,4,20.467,none,MAK-85521,
HW-101262,Shuwaikh Main,4,24.057,none,MET-57869,
HW-101263,Rai Branch,1,22.169,batch,ING-70691,
HW-101264,Rai Branch,1,5.315,none,SAT-65702,
HW-101265,Shuwaikh Main,1,KWD 24.156,none,GUL-73605,
HW-101266,Shuwaikh Main,0,17.635,none,SAT-58209,
HW-101267,Ardiya Warehouse,0,14.565,none,SAT-90946,
HW-101268,Ardiya Warehouse,0,23.055,batch,GUL-25204,
HW-101269,Fahaheel Branch,1,15.875,batch,TOT-86196,
HW-101270,Fahaheel Branch,3,0.473,none,SKI-27799,
HW-101271,Shuwaikh Main,0,3.198,batch,BLA-27183,
HW-101272,Fahaheel Branch,4,13.475,none,SAT-52360,
HW-101273,Ardiya Warehouse,0,215.358,none,MET-2952,
HW-101274,Ardiya Warehouse,4,7.109,batch,,
HW-101275,Ardiya Warehouse,4,4.009,none,KAR-41122,
HW-101276,Shuwaikh Main,3,KWD 23.505,none,BLA-28825,
HW-101277,Shuwaikh Main,4,206.555,none,TRU-20833,
HW-101278,Rai Branch,1,18.240,none,CRO-97981,
HW-101279,Rai Branch,5,3.255,none,STA-68951,
HW-101280,Ardiya Warehouse,0,276.403,none,,
HW-101281,Ardiya Warehouse,0,11.209,none,SAT-40918,
HW-101282,Fahaheel Branch,4,5.888,none,BLA-40353,
HW-101283,Ardiya Warehouse,2,KD 10.860,none,GUL-75150,
HW-101284,Ardiya Warehouse,0,23.350,batch,BLA-7619,
HW-101285,Rai Branch,3,14.147,none,RID-81128,
HW-101286,Rai Branch,1,19.907,none,MAK-92505,
HW-101287,Fahaheel Branch,0,12.411,none,GUL-28015,
HW-101288,Fahaheel Branch,1,23.679,none,ING-66416,
HW-101289,Shuwaikh Main,0,16.279,none,HIT-40870,
HW-101290,Shuwaikh Main,5,5.727,none,TOL-97746,
HW-101291,Rai Branch,4,20.177,none,HIL-69257,
HW-101292,Shuwaikh Main,0,20.037,batch,MET-71639,
HW-101293,Fahaheel Branch,0,20.920,batch,,
HW-101294,Fahaheel Branch,4,23.983,none,,
HW-101295,Ardiya Warehouse,4,16.362,none,BOS-11063,
HW-101296,Fahaheel Branch,4,KD 4.072,none,TOL-32735,
HW-101297,Rai Branch,1,15.695,none,HIL-17723,
HW-101298,Shuwaikh Main,5,16.718,none,HIL-54691,
HW-101299,Shuwaikh Main,5,1.822,none,ING-99842,
HW-101300,Shuwaikh Main,5,23.453,batch,,
HW-101301,Ardiya Warehouse,0,KD 17.783,none,AL--85256,
HW-101302,Rai Branch,2,15.820,batch,HIL-51663,
HW-101303,Ardiya Warehouse,1,5.063,batch,STA-85171,
HW-101304,Fahaheel Branch,0,24.477,batch,GUL-29676,
HW-101305,Rai Branch,0,57.193,none,MET-86584,
HW-101306,Ardiya Warehouse,1,1.142,batch,,
HW-101307,Fahaheel Branch,3,7.558,none,BLA-39545,
HW-101308,Fahaheel Branch,4,6.782,none,HIL-22168,
HW-101309,Ardiya Warehouse,1,48.706,none,CRO-90250,
HW-101310,Rai Branch,1,12.367,none,TRU-70459,
HW-101311,Rai Branch,3,16.663,none,KAR-23581,
HW-101312,Rai Branch,0,21.217,batch,TOL-41440,
HW-101313,Rai Branch,0,20.187,none,CRO-96248,
HW-101314,Shuwaikh Main,0,24.599,none,MET-46635,
HW-101315,Ardiya Warehouse,0,22.748,none,ING-15629,
HW-101316,Ardiya Warehouse,2,7.129,batch,AL--66279,
HW-101317,Shuwaikh Main,5,4.399,none,RID-34273,
HW-101318,Fahaheel Branch,3,16.535,none,MET-98891,
HW-101319,Fahaheel Branch,0,21.143,none,SKI-71981,
HW-101320,Shuwaikh Main,1,13.597,none,MET-87238,
HW-101321,Shuwaikh Main,1,22.961,none,,
HW-101322,Ardiya Warehouse,5,22.834,none,SAT-95913,
HW-101323,Rai Branch,4,7.967,none,BOS-97021,
HW-101324,Ardiya Warehouse,1,10.768,none,MAK-62277,
HW-101325,Rai Branch,5,21.797,none,STA-95787,
HW-101326,Fahaheel Branch,4,16.643,none,STA-76639,
HW-101327,Rai Branch,2,KD 113.627,none,GUL-26856,
HW-101328,Shuwaikh Main,2,146.187,none,AL--13452,
HW-101329,Ardiya Warehouse,2,159.066,none,HIT-71012,
HW-101330,Ardiya Warehouse,3,10.401,none,MET-86896,
HW-101331,Fahaheel Branch,0,23.862,none,SAT-28725,
HW-101332,Shuwaikh Main,0,24.308,none,CRO-31465,
HW-101333,Rai Branch,1,4.230,batch,HIL-11131,
HW-101334,Ardiya Warehouse,0,KD 18.838,batch,YAT-9159,
HW-101335,Ardiya Warehouse,5,KD 5.442,none,AL--52320,
HW-101336,Shuwaikh Main,1,12.594,none,KAR-83982,
HW-101337,Rai Branch,0,12.535,none,SAT-13204,
HW-101338,Shuwaikh Main,1,0.610,none,TRU-79853,
HW-101339,Rai Branch,1,77.520,none,BOS-66843,
HW-101340,Shuwaikh Main,1,KWD 22.748,none,STA-19559,
HW-101341,Rai Branch,2,19.974,none,KAR-79611,
HW-101342,Shuwaikh Main,1,KD 18.189,none,,
HW-101343,Shuwaikh Main,4,22.734,none,MET-22400,
HW-101344,Ardiya Warehouse,3,5.658,none,HIT-82452,
HW-101345,Ardiya Warehouse,0,20.662,none,GUL-24275,
HW-101346,Shuwaikh Main,0,KWD 4.082,none,MAK-52065,
HW-101347,Ardiya Warehouse,1,23.052,none,YAT-69111,
HW-101348,Ardiya Warehouse,1,18.788,none,RID-2291,
HW-101349,Ardiya Warehouse,1,20.491,none,ING-10139,
HW-101350,Shuwaikh Main,2,12.388,none,BLA-43464,
HW-101351,Shuwaikh Main,2,7.721,none,TOT-79075,
HW-101352,Rai Branch,4,9.247,none,GUL-23543,
HW-101353,Rai Branch,5,257.466,none,SKI-96533,
HW-101354,Shuwaikh Main,4,14.110,none,DEW-84028,
HW-101355,Shuwaikh Main,1,4.439,none,ING-23490,
HW-101356,Shuwaikh Main,0,16.896,batch,YAT-28676,
HW-101357,Ardiya Warehouse,4,KWD 20.455,none,HIL-77494,
HW-101358,Ardiya Warehouse,5,21.787,none,,
HW-101359,Ardiya Warehouse,4,3.177,none,MET-8485,
HW-101360,Ardiya Warehouse,3,17.626,none,TOL-65866,
HW-101361,Ardiya Warehouse,0,117.067,none,KAR-63223,
HW-101362,Ardiya Warehouse,2,13.172,none,,
HW-101363,Fahaheel Branch,4,8.071,none,MAK-62798,
HW-101364,Fahaheel Branch,0,8.544,none,MET-47381,
HW-101365,Rai Branch,4,12.798,none,MET-21788,
HW-101366,Ardiya Warehouse,0,14.270,none,HIL-94715,
HW-101367,Rai Branch,5,23.222,none,KAR-15981,
HW-101368,Rai Branch,5,9.541,none,GUL-57232,
HW-101369,Shuwaikh Main,3,15.190,none,MAK-98582,
HW-101370,Shuwaikh Main,5,16.582,none,BLA-2674,
HW-101371,Fahaheel Branch,5,5.319,none,TOL-89497,
HW-101372,Rai Branch,0,24.589,none,TRU-38983,
HW-101373,Shuwaikh Main,4,20.033,none,TOT-1227,
HW-101374,Ardiya Warehouse,0,20.547,none,MET-86217,
HW-101375,Rai Branch,3,191.585,batch,GUL-5424,
HW-101376,Rai Branch,0,11.061,none,AL--99596,
HW-101377,Ardiya Warehouse,5,KD 9.465,none,TOT-57930,
HW-101378,Ardiya Warehouse,4,KWD 8.401,none,DEW-68940,
HW-101379,Fahaheel Branch,3,1.882,batch,YAT-40065,
HW-101380,Ardiya Warehouse,1,KWD 10.191,none,YAT-55236,
HW-101381,Shuwaikh Main,3,10.157,none,MET-82453,
HW-101382,Ardiya Warehouse,1,6.048,none,TOL-13807,
HW-101383,Shuwaikh Main,0,10.607,none,HIL-81865,
HW-101384,Fahaheel Branch,2,4.482,none,CRO-37207,
HW-101385,Ardiya Warehouse,5,KD 18.999,none,DEW-21897,
HW-101386,Shuwaikh Main,4,18.681,none,RID-81586,
HW-101387,Fahaheel Branch,3,9.978,none,TOL-26191,
HW-101388,Shuwaikh Main,4,18.924,batch,HIT-85990,
HW-101389,Shuwaikh Main,0,4.626,none,TOT-4468,
HW-101390,Shuwaikh Main,3,13.023,none,,
HW-101391,Ardiya Warehouse,0,2.449,none,SAT-29956,
HW-101392,Fahaheel Branch,3,19.303,none,YAT-28878,
HW-101393,Fahaheel Branch,1,236.617,none,TOL-27257,
HW-101394,Ardiya Warehouse,1,8.001,none,TRU-79665,
HW-101395,Ardiya Warehouse,5,2.108,none,STA-11334,
HW-101396,Rai Branch,2,14.478,none,HIT-56609,
HW-101397,Rai Branch,0,1.039,none,TOT-67762,
HW-101398,Rai Branch,2,3.055,none,MAK-42157,
HW-101399,Shuwaikh Main,2,2.677,none,HIL-39888,
HW-101400,Fahaheel Branch,1,4.808,none,ING-75189,
HW-101401,Shuwaikh Main,5,8.208,none,STA-84883,
HW-101402,Shuwaikh Main,0,2.538,none,RID-68678,
HW-101403,Ardiya Warehouse,1,10.472,none,ING-82389,
HW-101404,Shuwaikh Main,1,14.074,none,AL--2048,
HW-101405,Rai Branch,2,KWD 15.896,none,ING-72297,
HW-101406,Rai Branch,1,18.947,none,,
HW-101407,Shuwaikh Main,2,0.778,none,DEW-38154,
HW-101408,Fahaheel Branch,3,5.710,none,DEW-68997,
HW-101409,Shuwaikh Main,0,7.691,none,,
HW-101410,Ardiya Warehouse,3,20.295,none,,
HW-101411,Fahaheel Branch,3,0.232,none,MET-75948,
HW-101412,Shuwaikh Main,5,7.887,none,,
HW-101413,Rai Branch,3,10.374,none,TOL-6139,
HW-101414,Ardiya Warehouse,4,15.252,none,KAR-37713,
HW-101415,Ardiya Warehouse,5,20.806,none,TOT-69523,
HW-101416,Fahaheel Branch,4,239.851,none,STA-47749,
HW-101417,Fahaheel Branch,1,4.768,none,ING-29895,
HW-101418,Fahaheel Branch,0,8.309,batch,CRO-89551,
HW-101419,Fahaheel Branch,0,6.859,none,MAK-31114,
HW-101420,Ardiya Warehouse,4,22.470,none,HIT-9181,
HW-101421,Fahaheel Branch,0,9.003,none,HIL-12131,
HW-101422,Fahaheel Branch,1,11.944,none,TOL-48432,
HW-101423,Shuwaikh Main,1,KWD 23.712,none,DEW-6046,
HW-101424,Ardiya Warehouse,5,11.539,batch,GUL-80203,
HW-101425,Ardiya Warehouse,5,17.295,none,SAT-63111,
HW-101426,Fahaheel Branch,2,24.868,batch,TOT-7563,
HW-101427,Ardiya Warehouse,4,KD 11.093,none,,
HW-101428,Ardiya Warehouse,5,KD 7.690,none,,
HW-101429,Ardiya Warehouse,4,11.450,none,,
HW-101430,Rai Branch,0,12.956,none,,
HW-101431,Fahaheel Branch,0,9.404,none,,
HW-101432,Shuwaikh Main,5,8.336,none,DEW-33046,
HW-101433,Ardiya Warehouse,0,15.592,none,,
HW-101434,Ardiya Warehouse,1,4.810,none,TOL-40182,
HW-101435,Shuwaikh Main,2,KWD 262.442,none,HIT-82189,
HW-101436,Fahaheel Branch,1,14.302,none,HIT-74134,
HW-101437,Ardiya Warehouse,0,6.033,batch,HIL-29504,
HW-101438,Fahaheel Branch,3,KD 16.888,batch,TOL-84952,
HW-101439,Fahaheel Branch,0,14.225,none,TOL-20033,
HW-101440,Ardiya Warehouse,0,0.389,none,HIT-76045,
HW-101441,Shuwaikh Main,0,3.170,none,MET-75755,
HW-101442,Ardiya Warehouse,1,5.917,none,BLA-77383,
HW-101443,Shuwaikh Main,4,9.424,none,MAK-44599,
HW-101444,Rai Branch,4,10.378,none,BOS-17951,
HW-101445,Shuwaikh Main,4,9.817,none,TRU-29062,
HW-101446,Fahaheel Branch,4,19.298,none,GUL-48686,
HW-101447,Fahaheel Branch,5,19.802,none,TOL-79929,
HW-101448,Ardiya Warehouse,0,0.614,none,,
HW-101449,Rai Branch,1,24.773,none,YAT-84455,
