name,nameAlt,code,openingBalance,phone,email,taxNumber,paymentTermDays,creditLimit,status,addressLine1,addressLine2,city,state,postalCode,country,notes
 First Gulf Interiors 4 ,,CUST-1157,1282.729,+965 97471779,first.gulf.interiors157@example.com.kw,,60,22169.577,active,2 Block 17,,Kuwait City,,,Kuwait,Imported opening balance
AL-RASHED VILLAS 4,,CUST-1158,0.000,+965 59149925,alrashed.villas158@example.com.kw,,15,27739.621,active,,,Ardiya,,,Kuwait,
Al-Sanea Property 4,,CUST-1159,0.000,+965 74708131,alsanea.property159@example.com.kw,,0,1035.038,active,23 Block 18,,Shuwaikh,,,Kuwait,
Al-Fahad Contracting 5,,CUST-1160,0.000,+965 54035711,alfahad.contracting160@example.com.kw,,90,17658.301,active,99 St 10,,Jahra,,,Kuwait,
Modern Home Fix-It  Est. 5,,CUST-1161,2600.347,+965 56855976,modern.home.fixit161@example.com.kw,,45,18650.631,active,5 Block 17,,Kuwait City,,,Kuwait,Imported opening balance
Al-Sabah Villa Services 5,,CUST-1162,6297.856,+965 72467213,alsabah.villa.services162@example.com.kw,,45,29245.034,active,49 Block 7,,Jahra,,,Kuwait,
Bayt Al-Jomard 5,,CUST-1163,1919.222,+965 62512279,bayt.aljomard163@example.com.kw,,90,35885.734,active,6 St 16,,Fahaheel,,,Kuwait,Imported opening balance
Al-Duaij Maintenance  Est. 5,,CUST-1164,4345.814,+965 85722032,alduaij.maintenance164@example.com.kw,,30,31103.673,active,85 Bldg 6,,Shuwaikh,,,Kuwait,Imported opening balance
Gulf Builders 5,,CUST-1165,0.000,+965 79854693,gulf.builders165@example.com.kw,,15,27650.091,active,36 Bldg 17,,Rai,,,Kuwait,Imported opening balance
Salem Al-Rashidi 5  ,,CUST-1166,567.108,+965 99150721,salem.alrashidi166@example.com.kw,,45,41275.438,active,18 Block 11,,Jahra,,,Kuwait,
Fahad Al-Otaibi  Est. 5.,,CUST-1167,5364.369,+965 74748712,fahad.alotaibi167@example.com.kw,,45,27034.533,active,9 Bldg 12,,Salmiya,,,Kuwait,
  Al-Mutairi Est. 5,,CUST-1168,3950.169,+965 62538330,almutairi.est.168@example.com.kw,,90,26534.554,active,19 Block 12,,Hawally,,,Kuwait,Imported opening balance
NEW KUWAIT CONTRACTING 5,,CUST-1169,0.000,+965 86588585,,,0,KWD 16038.568,active,,,Jahra,,,Kuwait,Imported opening balance
Al-Ajmi Interiors  Est. 5,,CUST-1170,0.000,+965 63709556,alajmi.interiors170@example.com.kw,,60,49268.639,active,66 St 4,,Kuwait City,,,Kuwait,
Ahmad Al-Kandari 5,,CUST-1171,0.000,+965 95575773,ahmad.alkandari171@example.com.kw,,30,18510.332,active,58 Block 10,,Hawally,,,Kuwait,
Al-Enezi General Maintenance  Est. 5,,CUST-1172,1980.512,+965 81724488,alenezi.general.maintenance172@example.com.kw,,60,30731.554,active,55 Block 5,,Kuwait City,,,Kuwait,
Desert Rose Interiors  Est. 5,,CUST-1173,0.000,+965 83113481,desert.rose.interiors173@example.com.kw,,30,40735.156,active,42 Block 12,,Jahra,,,Kuwait,
Al-Anjari Villas 5,,CUST-1174,0.000,+965 55918302,alanjari.villas174@example.com.kw,,30,1803.571,active,86 St 20,,Farwaniya,,,Kuwait,
Al-Roumi Renovation 5,,CUST-1175,7567.803,+965 90136399,alroumi.renovation175@example.com.kw,,60,9776.795,active,79 Block 18,,Ahmadi,,,Kuwait,
Union Facility Services  Est. 5,,CUST-1176,3542.811,+965 59084929,union.facility.services176@example.com.kw,,15,20240.064,active,,,Hawally,,,Kuwait,
Al-Yaqout Villas 5,,CUST-1177,2217.425,+965 85768899,alyaqout.villas177@example.com.kw,,0,26325.343,active,13 Bldg 14,,Hawally,,,Kuwait,
Al-Qadi Household 5,,CUST-1178,0.000,+965 79369188,alqadi.household178@example.com.kw,,60,"21,074.318",active,,,Fahaheel,,,Kuwait,
"Nasser Al-Hajeri 5,",,CUST-1179,0.000,+965 91915018,nasser.alhajeri179@example.com.kw,,45,14280.615,active,32 Bldg 9,,Hawally,,,Kuwait,Imported opening balance
AL-GHANIM HOME REPAIRS 5,,CUST-1180,2612.537,+965 82107128,alghanim.home.repairs180@example.com.kw,,15,40014.700,active,45 Bldg 18,,Jahra,,,Kuwait,
Al-Bahar Property Services 5,,CUST-1181,0.000,+965 67261404,albahar.property.services181@example.com.kw,,45,7131.331,inactive,74 St 16,,Ahmadi,,,Kuwait,
GULF FACILITY MANAGEMENT 5,,CUST-1182,KWD 3220.422,+965 92690886,gulf.facility.management182@example.com.kw,,0,KD 34625.185,active,,,Ahmadi,,,Kuwait,
Continental  Maintenance Co. 5,,CUST-1183,0.000,+965 88754537,continental.maintenance.co.183@example.com.kw,,15,26076.580,active,20 Block 10,,Ardiya,,,Kuwait,
 Al-Zamil Villas  Est. 5 ,,CUST-1184,5610.132,+965 50762696,alzamil.villas184@example.com.kw,,45,21093.889,active,84 Bldg 4,,Hawally,,,Kuwait,Imported opening balance
Bin Hindi Property  Est. 5,,CUST-1185,0.000,+965 87533034,bin.hindi.property185@example.com.kw,,15,KD 29809.218,active,3 St 20,,Rai,,,Kuwait,
"Al-Wazzan Maintenance 5,",,CUST-1186,"3,752.860",+965 54396972,alwazzan.maintenance186@example.com.kw,,60,8164.649,inactive,83 St 10,,Fahaheel,,,Kuwait,
Al-Marzouq Home 5,,CUST-1187,4820.436,+965 72189730,almarzouq.home187@example.com.kw,,45,KD 30365.891,active,27 Bldg 20,,Farwaniya,,,Kuwait,
Farwaniya Fix-It Center 5,,CUST-1188,696.013,+965 69105211,farwaniya.fixit.center188@example.com.kw,,60,"2,080.739",active,88 St 19,,Rai,,,Kuwait,Imported opening balance
Salmiya Handyman Services 5,,CUST-1189,5564.151,+965 50196060,salmiya.handyman.services189@example.com.kw,,0,5304.681,active,90 Bldg 8,,Kuwait City,,,Kuwait,Imported opening balance
Hawally Repair Shop 5,,CUST-1190,0.000,+965 52098950,hawally.repair.shop190@example.com.kw,,45,27973.235,active,,,Shuwaikh,,,Kuwait,Imported opening balance
Jahra Building Supplies Buyer  Est. 5,,CUST-1191,5285.033,+965 65541702,,,90,35874.198,active,73 Bldg 13,,Ardiya,,,Kuwait,Imported opening balance
Ahmadi Villa Care 5,,CUST-1192,0.000,+965 93488422,ahmadi.villa.care192@example.com.kw,,0,36083.764,active,,,Shuwaikh,,,Kuwait,
Fahaheel Home Services 5,,CUST-1193,0.000,+965 87605557,fahaheel.home.services193@example.com.kw,,30,26016.181,active,63 St 7,,Ahmadi,,,Kuwait,
Al-Khaled General Trading 5,,CUST-1194,344.003,+965 54945769,alkhaled.general.trading194@example.com.kw,,30,10718.505,active,7 Bldg 9,,Shuwaikh,,,Kuwait,
Al-Nasser Renovation 5,,CUST-1195,"4,836.038",+965 75672528,alnasser.renovation195@example.com.kw,,30,"48,943.492",active,55 Block 20,,Hawally,,,Kuwait,
AL-OSAIMI MAINTENANCE  EST. 5,,CUST-1196,0.000,+965 51021925,alosaimi.maintenance196@example.com.kw,,30,"28,854.903",active,45 St 5,,Ahmadi,,,Kuwait,Imported opening balance
First Gulf Interiors  Est. 5,,CUST-1197,5150.642,+965 73989306,first.gulf.interiors197@example.com.kw,,30,20686.984,active,59 Bldg 11,,Ahmadi,,,Kuwait,
Al-Rashed Villas 5,,CUST-1198,0.000,+965 97113485,alrashed.villas198@example.com.kw,,30,39476.335,active,73 Block 14,,Salmiya,,,Kuwait,
Al-Sanea Property 5,,CUST-1199,0.000,+965 50890675,alsanea.property199@example.com.kw,,30,23953.421,active,6 St 6,,Salmiya,,,Kuwait,
Al-Fahad Contracting 6,,CUST-1200,2183.341,+965 96132842,alfahad.contracting200@example.com.kw,,15,26130.797,active,20 Block 15,,Fahaheel,,,Kuwait,Imported opening balance
Modern Home Fix-It  Est. 6,,CUST-1201,0.000,+965 59249134,modern.home.fixit201@example.com.kw,,60,"13,710.647",active,36 St 7,,Ahmadi,,,Kuwait,Imported opening balance
Al-Sabah Villa Services 6,,CUST-1202,0.000,+965 70937904,alsabah.villa.services202@example.com.kw,,30,32422.764,active,79 Bldg 18,,Ahmadi,,,Kuwait,
Bayt Al-Jomard  Est. 6,,CUST-1203,1766.453,+965 57685751,bayt.aljomard203@example.com.kw,,15,"43,710.192",active,92 St 8,,Shuwaikh,,,Kuwait,Imported opening balance
Al-Duaij Maintenance 6,,CUST-1204,5735.461,+965 79926946,alduaij.maintenance204@example.com.kw,,45,"12,013.834",active,11 St 13,,Salmiya,,,Kuwait,Imported opening balance
Gulf Builders  Est. 6.,,CUST-1205,1025.244,+965 51485540,gulf.builders205@example.com.kw,,45,31670.749,active,52 Block 11,,Kuwait City,,,Kuwait,Imported opening balance
SALEM AL-RASHIDI 6,,CUST-1206,0.000,+965 97950242,salem.alrashidi206@example.com.kw,,30,48478.475,active,46 St 12,,Shuwaikh,,,Kuwait,Imported opening balance
Fahad Al-Otaibi 6,,CUST-1207,0.000,+965 82311931,,,30,3262.290,active,10 Block 7,,Ardiya,,,Kuwait,
Al-Mutairi Est. 6,,CUST-1208,0.000,+965 90759493,almutairi.est.208@example.com.kw,,45,25165.301,active,12 Bldg 7,,Kuwait City,,,Kuwait,Imported opening balance
New Kuwait Contracting 6,,CUST-1209,KD 0.000,+965 89452483,new.kuwait.contracting209@example.com.kw,,0,KWD 16347.138,active,41 Block 4,,Ardiya,,,Kuwait,
Al-Ajmi  Interiors 6,,CUST-1210,2149.259,+965 55802416,alajmi.interiors210@example.com.kw,,30,37760.270,active,33 St 18,,Shuwaikh,,,Kuwait,
Ahmad Al-Kandari 6,,CUST-1211,982.265,+965 54391122,ahmad.alkandari211@example.com.kw,,15,41869.142,active,62 St 20,,Farwaniya,,,Kuwait,Imported opening balance
Al-Enezi General Maintenance 6,,CUST-1212,"5,662.812",+965 63788526,alenezi.general.maintenance212@example.com.kw,,90,12508.661,active,99 Bldg 9,,Ahmadi,,,Kuwait,
Desert Rose Interiors 6,,CUST-1213,301.887,+965 54617220,desert.rose.interiors213@example.com.kw,,30,37310.779,active,71 Block 10,,Kuwait City,,,Kuwait,Imported opening balance
Al-Anjari Villas 6,,CUST-1214,3380.346,+965 71396661,alanjari.villas214@example.com.kw,,90,"43,011.787",active,72 Block 11,,Rai,,,Kuwait,Imported opening balance
Al-Roumi Renovation 6,,CUST-1215,"6,196.481",+965 83881628,alroumi.renovation215@example.com.kw,,0,18765.095,active,91 St 1,,Shuwaikh,,,Kuwait,
Union Facility Services 6,,CUST-1216,KD 474.879,+965 87062431,union.facility.services216@example.com.kw,,60,KWD 6167.366,active,20 Block 11,,Farwaniya,,,Kuwait,
Al-Yaqout Villas 6,,CUST-1217,3250.076,+965 78529979,alyaqout.villas217@example.com.kw,,45,KWD 16193.791,active,82 Bldg 2,,Fahaheel,,,Kuwait,Imported opening balance
Al-Qadi Household  Est. 6,,CUST-1218,5155.509,+965 77868716,alqadi.household218@example.com.kw,,60,11362.765,active,78 Bldg 19,,Fahaheel,,,Kuwait,
Nasser Al-Hajeri  Est. 6,,CUST-1219,4181.892,+965 52804405,nasser.alhajeri219@example.com.kw,,90,34787.332,active,86 Bldg 15,,Salmiya,,,Kuwait,
Al-Ghanim Home Repairs 6,,CUST-1220,3463.347,+965 73978729,alghanim.home.repairs220@example.com.kw,,90,18839.576,active,16 Bldg 10,,Ahmadi,,,Kuwait,Imported opening balance
"Al-Bahar Property Services 6,",,CUST-1221,1372.282,+965 98966566,albahar.property.services221@example.com.kw,,45,29644.086,active,51 St 10,,Ahmadi,,,Kuwait,Imported opening balance
Gulf Facility Management 6,,CUST-1222,0.000,+965 81383442,gulf.facility.management222@example.com.kw,,45,44908.784,active,95 Bldg 11,,Shuwaikh,,,Kuwait,Imported opening balance
Continental Maintenance Co. 6,,CUST-1223,KD 15.116,+965 75223424,continental.maintenance.co.223@example.com.kw,,0,22408.647,active,96 St 14,,Salmiya,,,Kuwait,Imported opening balance
Al-Zamil Villas 6,,CUST-1224,"6,897.036",+965 93221724,alzamil.villas224@example.com.kw,,30,16426.220,active,64 St 1,,Jahra,,,Kuwait,
BIN HINDI PROPERTY 6,,CUST-1225,KWD 7184.480,+965 53346523,bin.hindi.property225@example.com.kw,,30,31730.256,inactive,85 Bldg 4,,Kuwait City,,,Kuwait,
Al-Wazzan Maintenance 6,,CUST-1226,0.000,+965 67288857,alwazzan.maintenance226@example.com.kw,,90,29514.402,active,100 St 20,,Hawally,,,Kuwait,Imported opening balance
Al-Marzouq Home 6,,CUST-1227,0.000,+965 84112160,,,15,29039.900,blocked,,,Hawally,,,Kuwait,
Farwaniya Fix-It Center 6,,CUST-1228,0.000,+965 81400277,farwaniya.fixit.center228@example.com.kw,,0,46679.363,active,62 St 3,,Rai,,,Kuwait,Imported opening balance
Salmiya Handyman Services 6,,CUST-1229,800.245,+965 88420702,salmiya.handyman.services229@example.com.kw,,45,7779.383,active,47 Bldg 8,,Hawally,,,Kuwait,
Hawally Repair Shop 6,,CUST-1230,0.000,+965 57612401,hawally.repair.shop230@example.com.kw,,90,18524.260,active,90 Bldg 1,,Rai,,,Kuwait,
Jahra Building Supplies Buyer  Est. 6,,CUST-1231,2653.359,+965 80135783,jahra.building.supplies.buyer231@example.com.kw,,60,25077.207,active,89 St 13,,Ahmadi,,,Kuwait,Imported opening balance
ahmadi villa care 6,,CUST-1232,KD 2761.457,+965 88897941,ahmadi.villa.care232@example.com.kw,,15,38706.621,active,3 Bldg 3,,Rai,,,Kuwait,Imported opening balance
Fahaheel Home Services 6,,CUST-1233,5352.150,+965 60832033,fahaheel.home.services233@example.com.kw,,45,32804.385,blocked,19 Bldg 15,,Ahmadi,,,Kuwait,Imported opening balance
Al-Khaled General Trading 6,,CUST-1234,6551.461,+965 89676092,alkhaled.general.trading234@example.com.kw,,45,39614.052,active,,,Shuwaikh,,,Kuwait,Imported opening balance
Al-Nasser Renovation 6  ,,CUST-1235,"2,490.308",+965 67560619,alnasser.renovation235@example.com.kw,,15,KD 37067.294,inactive,60 Block 20,,Kuwait City,,,Kuwait,
AL-OSAIMI MAINTENANCE 6,,CUST-1236,1614.407,+965 87590605,alosaimi.maintenance236@example.com.kw,,90,41115.151,active,6 St 2,,Jahra,,,Kuwait,Imported opening balance
First Gulf Interiors 6,,CUST-1237,1802.275,+965 52623735,first.gulf.interiors237@example.com.kw,,60,44782.444,active,55 St 8,,Ahmadi,,,Kuwait,Imported opening balance
al-rashed villas  est. 6,,CUST-1238,KD 4846.657,+965 79955284,alrashed.villas238@example.com.kw,,15,KWD 44372.007,active,27 St 6,,Salmiya,,,Kuwait,
Al-Sanea Property 6,,CUST-1239,0.000,+965 76377944,alsanea.property239@example.com.kw,,30,"12,758.672",active,38 Bldg 6,,Rai,,,Kuwait,Imported opening balance
Al-Fahad Contracting 7,,CUST-1240,KWD 6493.720,+965 59100010,alfahad.contracting240@example.com.kw,,0,36385.509,active,97 Block 7,,Hawally,,,Kuwait,
Modern Home Fix-It 7,,CUST-1241,4815.810,+965 92288267,modern.home.fixit241@example.com.kw,,60,12497.648,active,53 St 2,,Fahaheel,,,Kuwait,Imported opening balance
Al-Sabah Villa Services 7,,CUST-1242,5914.763,+965 60246596,alsabah.villa.services242@example.com.kw,,90,"40,167.601",active,,,Farwaniya,,,Kuwait,Imported opening balance
Bayt Al-Jomard 7,,CUST-1243,0.000,+965 76654697,bayt.aljomard243@example.com.kw,,15,22753.867,active,67 Bldg 12,,Hawally,,,Kuwait,
Al-Duaij Maintenance  Est. 7,,CUST-1244,488.677,+965 87576339,alduaij.maintenance244@example.com.kw,,0,32488.099,active,68 Block 17,,Rai,,,Kuwait,
Gulf Builders 7,,CUST-1245,5257.511,+965 65954435,gulf.builders245@example.com.kw,,0,5295.219,active,60 Block 15,,Ardiya,,,Kuwait,
Salem Al-Rashidi 7,,CUST-1246,0.000,+965 53839504,salem.alrashidi246@example.com.kw,,60,2328.626,active,84 St 13,,Rai,,,Kuwait,
Fahad Al-Otaibi  Est. 7,,CUST-1247,1579.220,+965 64088082,fahad.alotaibi247@example.com.kw,,45,6914.141,blocked,56 Bldg 6,,Salmiya,,,Kuwait,
Al-Mutairi Est. 7,,CUST-1248,0.000,+965 62260990,almutairi.est.248@example.com.kw,,0,43340.859,active,,,Farwaniya,,,Kuwait,
New Kuwait Contracting 7,,CUST-1249,0.000,+965 70810900,new.kuwait.contracting249@example.com.kw,,60,1065.508,active,32 Bldg 7,,Hawally,,,Kuwait,
Al-Ajmi Interiors 7,,CUST-1250,0.000,+965 91523508,alajmi.interiors250@example.com.kw,,60,KWD 33888.481,active,2 Block 9,,Fahaheel,,,Kuwait,
Ahmad Al-Kandari 7,,CUST-1251,4652.318,+965 90589787,ahmad.alkandari251@example.com.kw,,30,12234.922,active,99 Block 8,,Ahmadi,,,Kuwait,
Al-Enezi General Maintenance 7,,CUST-1252,KWD 0.000,+965 86648294,alenezi.general.maintenance252@example.com.kw,,60,KWD 19626.780,active,,,Hawally,,,Kuwait,
Desert Rose Interiors 7,,CUST-1253,3808.962,+965 54428505,desert.rose.interiors253@example.com.kw,,30,41215.405,active,20 Block 11,,Hawally,,,Kuwait,
Al-Anjari Villas 7,,CUST-1254,1959.371,+965 97893741,alanjari.villas254@example.com.kw,,30,15391.711,active,66 Bldg 19,,Ahmadi,,,Kuwait,
"Al-Roumi Renovation 7,",,CUST-1255,2201.981,+965 51023209,alroumi.renovation255@example.com.kw,,0,19986.995,active,3 Block 14,,Hawally,,,Kuwait,Imported opening balance
Union Facility Services  Est. 7,,CUST-1256,2044.886,+965 86312133,union.facility.services256@example.com.kw,,0,38612.023,active,,,Farwaniya,,,Kuwait,Imported opening balance
Al-Yaqout Villas  Est. 7,,CUST-1257,7724.716,+965 76651017,,,60,"49,139.985",active,16 St 15,,Jahra,,,Kuwait,Imported opening balance
 Al-Qadi Household  Est. 7 ,,CUST-1258,0.000,+965 79024388,alqadi.household258@example.com.kw,,90,16159.777,active,84 Block 17,,Ahmadi,,,Kuwait,
Nasser Al-Hajeri 7,,CUST-1259,5252.581,+965 79580801,nasser.alhajeri259@example.com.kw,,90,23812.407,active,40 Block 18,,Hawally,,,Kuwait,
Al-Ghanim Home Repairs  Est. 7,,CUST-1260,4204.419,+965 88329155,alghanim.home.repairs260@example.com.kw,,90,2086.003,active,17 Block 1,,Hawally,,,Kuwait,Imported opening balance
Al-Bahar Property Services  Est. 7,,CUST-1261,KD 0.000,+965 93206248,albahar.property.services261@example.com.kw,,45,42246.652,active,34 Bldg 10,,Kuwait City,,,Kuwait,Imported opening balance
Gulf Facility Management 7,,CUST-1262,3755.460,+965 74035281,gulf.facility.management262@example.com.kw,,90,49561.545,active,34 Block 3,,Farwaniya,,,Kuwait,
continental maintenance co.  est. 7,,CUST-1263,"4,329.678",+965 94839586,continental.maintenance.co.263@example.com.kw,,30,3257.772,active,35 St 14,,Jahra,,,Kuwait,
Al-Zamil Villas 7,,CUST-1264,2364.727,+965 84077239,,,90,1722.737,active,46 Block 6,,Jahra,,,Kuwait,
Bin Hindi Property 7,,CUST-1265,0.000,+965 61023883,bin.hindi.property265@example.com.kw,,30,KD 44609.766,active,98 Block 15,,Fahaheel,,,Kuwait,
 Al-Wazzan Maintenance  Est. 7 ,,CUST-1266,877.072,+965 88663404,alwazzan.maintenance266@example.com.kw,,45,8906.899,active,38 Bldg 18,,Fahaheel,,,Kuwait,
Al-Marzouq Home 7,,CUST-1267,7267.870,+965 71299705,almarzouq.home267@example.com.kw,,45,34168.928,active,94 Block 1,,Hawally,,,Kuwait,Imported opening balance
Farwaniya Fix-It Center 7,,CUST-1268,0.000,+965 82390387,farwaniya.fixit.center268@example.com.kw,,15,2646.386,active,13 St 11,,Hawally,,,Kuwait,Imported opening balance
Salmiya Handyman Services 7,,CUST-1269,KWD 0.000,+965 78786559,salmiya.handyman.services269@example.com.kw,,15,40055.097,active,89 Block 17,,Jahra,,,Kuwait,
Hawally Repair Shop 7,,CUST-1270,1804.563,+965 94508343,,,30,9223.066,active,61 Bldg 1,,Farwaniya,,,Kuwait,
Jahra Building Supplies Buyer  Est. 7,,CUST-1271,7135.194,+965 59374164,jahra.building.supplies.buyer271@example.com.kw,,0,35059.794,active,72 Bldg 15,,Fahaheel,,,Kuwait,
Ahmadi Villa Care 7,,CUST-1272,0.000,+965 60423663,ahmadi.villa.care272@example.com.kw,,90,33560.399,active,66 St 3,,Farwaniya,,,Kuwait,
Fahaheel Home Services 7,,CUST-1273,272.663,+965 78910557,fahaheel.home.services273@example.com.kw,,90,24529.499,active,21 St 4,,Fahaheel,,,Kuwait,
Al-Khaled General Trading 7,,CUST-1274,3301.393,+965 53182636,alkhaled.general.trading274@example.com.kw,,60,27915.721,active,27 Bldg 18,,Farwaniya,,,Kuwait,Imported opening balance
Al-Nasser Renovation 7,,CUST-1275,2357.260,+965 85345598,alnasser.renovation275@example.com.kw,,30,2985.454,active,77 Bldg 3,,Rai,,,Kuwait,
Al-Osaimi Maintenance  Est. 7,,CUST-1276,7331.642,+965 76365688,alosaimi.maintenance276@example.com.kw,,45,41788.806,inactive,34 Block 3,,Fahaheel,,,Kuwait,
First Gulf Interiors  Est. 7,,CUST-1277,KD 1651.181,+965 82927573,first.gulf.interiors277@example.com.kw,,90,KWD 26541.616,active,31 St 14,,Farwaniya,,,Kuwait,
Al-Rashed Villas  Est. 7,,CUST-1278,7335.090,+965 66072884,alrashed.villas278@example.com.kw,,0,32921.771,active,33 Bldg 4,,Farwaniya,,,Kuwait,Imported opening balance
Al-Sanea Property  Est. 7,,CUST-1279,0.000,+965 77117806,alsanea.property279@example.com.kw,,60,21050.031,active,61 St 18,,Hawally,,,Kuwait,Imported opening balance
  Al-Fahad Contracting 8,,CUST-1280,0.000,+965 99150355,alfahad.contracting280@example.com.kw,,45,42934.772,active,41 Bldg 7,,Ahmadi,,,Kuwait,
Modern Home Fix-It  Est. 8,,CUST-1281,0.000,+965 89619476,modern.home.fixit281@example.com.kw,,45,18667.338,inactive,4 St 5,,Ardiya,,,Kuwait,
Al-Sabah Villa Services 8,,CUST-1282,1683.146,+965 54933637,alsabah.villa.services282@example.com.kw,,30,KWD 45351.645,active,19 St 3,,Farwaniya,,,Kuwait,Imported opening balance
Bayt Al-Jomard  Est. 8,,CUST-1283,6564.605,+965 51192141,bayt.aljomard283@example.com.kw,,90,KWD 5862.176,active,1 Bldg 2,,Rai,,,Kuwait,Imported opening balance
Al-Duaij Maintenance  Est. 8,,CUST-1284,0.000,+965 57116580,alduaij.maintenance284@example.com.kw,,15,KD 28953.942,active,41 Bldg 5,,Farwaniya,,,Kuwait,
Gulf Builders 8,,CUST-1285,2594.925,+965 54691513,gulf.builders285@example.com.kw,,90,17256.219,active,,,Shuwaikh,,,Kuwait,Imported opening balance
Salem Al-Rashidi 8,,CUST-1286,7176.886,+965 91114870,,,45,38802.610,active,5 Block 10,,Fahaheel,,,Kuwait,Imported opening balance
FAHAD AL-OTAIBI 8,,CUST-1287,KWD 363.508,+965 94781813,fahad.alotaibi287@example.com.kw,,30,36084.039,active,30 Block 19,,Ahmadi,,,Kuwait,
Al-Mutairi Est. 8,,CUST-1288,"6,314.402",+965 56551726,almutairi.est.288@example.com.kw,,0,"17,895.479",active,31 St 10,,Kuwait City,,,Kuwait,
New Kuwait Contracting 8,,CUST-1289,0.000,+965 66519172,new.kuwait.contracting289@example.com.kw,,90,"12,295.897",active,53 St 8,,Shuwaikh,,,Kuwait,Imported opening balance
Al-Ajmi Interiors 8,,CUST-1290,2321.200,+965 51403781,alajmi.interiors290@example.com.kw,,15,20168.003,active,97 Bldg 6,,Salmiya,,,Kuwait,Imported opening balance
Ahmad Al-Kandari 8,,CUST-1291,6447.840,+965 83955077,ahmad.alkandari291@example.com.kw,,90,15832.393,active,14 St 18,,Salmiya,,,Kuwait,
  Al-Enezi General Maintenance  Est. 8,,CUST-1292,2009.209,+965 53122745,alenezi.general.maintenance292@example.com.kw,,0,3554.390,active,15 Block 18,,Ardiya,,,Kuwait,Imported opening balance
Desert Rose Interiors 8,,CUST-1293,7610.080,+965 76183156,desert.rose.interiors293@example.com.kw,,90,"7,875.714",active,28 St 16,,Fahaheel,,,Kuwait,Imported opening balance
Al-Anjari Villas 8,,CUST-1294,KWD 513.261,+965 50352926,alanjari.villas294@example.com.kw,,90,16533.742,active,43 St 2,,Ardiya,,,Kuwait,
Al-Roumi Renovation 8,,CUST-1295,0.000,+965 76074085,alroumi.renovation295@example.com.kw,,30,7556.594,active,19 Bldg 8,,Salmiya,,,Kuwait,
UNION FACILITY SERVICES 8,,CUST-1296,2173.756,+965 50960563,union.facility.services296@example.com.kw,,60,27175.048,active,5 Bldg 17,,Kuwait City,,,Kuwait,
Al-Yaqout Villas 8,,CUST-1297,4064.221,+965 60974518,alyaqout.villas297@example.com.kw,,15,2692.477,active,25 Bldg 20,,Kuwait City,,,Kuwait,
Al-Qadi Household  Est. 8,,CUST-1298,2829.467,+965 99103369,alqadi.household298@example.com.kw,,60,17648.124,active,74 Block 6,,Hawally,,,Kuwait,Imported opening balance
Nasser Al-Hajeri 8,,CUST-1299,0.000,+965 96179643,nasser.alhajeri299@example.com.kw,,30,KWD 36897.438,active,8 St 19,,Ardiya,,,Kuwait,
Al-Ghanim Home Repairs 8,,CUST-1300,0.000,+965 98554999,alghanim.home.repairs300@example.com.kw,,0,22816.214,active,15 Bldg 9,,Salmiya,,,Kuwait,Imported opening balance
Al-Bahar Property Services 8,,CUST-1301,3266.046,+965 83390653,albahar.property.services301@example.com.kw,,60,15660.921,active,38 Bldg 11,,Salmiya,,,Kuwait,
Gulf Facility Management 8,,CUST-1302,0.000,+965 53915738,gulf.facility.management302@example.com.kw,,45,31741.494,inactive,92 St 1,,Rai,,,Kuwait,Imported opening balance
Continental Maintenance Co. 8,,CUST-1303,7053.971,+965 60089816,continental.maintenance.co.303@example.com.kw,,15,26922.939,active,75 Bldg 11,,Ardiya,,,Kuwait,Imported opening balance
Al-Zamil Villas 8,,CUST-1304,0.000,+965 64986879,alzamil.villas304@example.com.kw,,45,6327.161,active,2 St 6,,Salmiya,,,Kuwait,
BIN HINDI PROPERTY  EST. 8,,CUST-1305,0.000,+965 84328590,bin.hindi.property305@example.com.kw,,0,"16,495.421",blocked,94 Block 17,,Ahmadi,,,Kuwait,Imported opening balance
Al-Wazzan Maintenance  Est. 8,,CUST-1306,0.000,+965 91000427,alwazzan.maintenance306@example.com.kw,,30,14298.084,active,,,Farwaniya,,,Kuwait,
Al-Marzouq Home 8,,CUST-1307,4956.984,+965 50021047,almarzouq.home307@example.com.kw,,90,42854.063,active,65 St 20,,Fahaheel,,,Kuwait,Imported opening balance
FARWANIYA FIX-IT CENTER 8,,CUST-1308,1811.898,+965 52095650,farwaniya.fixit.center308@example.com.kw,,15,46723.159,active,,,Rai,,,Kuwait,
Salmiya Handyman Services  Est. 8,,CUST-1309,7657.719,+965 54263960,salmiya.handyman.services309@example.com.kw,,30,6388.909,active,41 Bldg 16,,Hawally,,,Kuwait,
Hawally Repair Shop 8,,CUST-1310,KD 6123.952,+965 82257352,hawally.repair.shop310@example.com.kw,,60,28073.407,active,,,Fahaheel,,,Kuwait,
Jahra Building Supplies Buyer 8,,CUST-1311,KWD 4384.850,+965 65545926,jahra.building.supplies.buyer311@example.com.kw,,0,43660.519,active,73 Bldg 10,,Salmiya,,,Kuwait,
Ahmadi Villa Care 8,,CUST-1312,252.489,+965 78541745,ahmadi.villa.care312@example.com.kw,,60,"30,752.648",active,81 St 11,,Rai,,,Kuwait,
Fahaheel Home Services 8,,CUST-1313,0.000,+965 61159591,fahaheel.home.services313@example.com.kw,,60,"39,097.031",active,55 St 15,,Salmiya,,,Kuwait,
